Verse
 जनमेजय उवाच। <br>कथं विराटनगरे मम पूर्वपितामहाः। <br>अज्ञातवासमुषिता दुर्योधनभयार्दिताः   ॥04-001-001॥
 वैशंपायन उवाच। <br>तथा तु स वराँल्लब्ध्वा धर्माद्धर्मभृतां वरः। <br>गत्वाश्रमं ब्राह्मणेभ्य आचख्यौ सर्वमेव तत्   ॥04-001-002॥
कथयित्वा तु तत्सर्वं ब्राह्मणेभ्यो युधिष्ठिरः। <br>अरणीसहितं तस्मै ब्राह्मणाय न्यवेदयत्   ॥04-001-003॥
ततो युधिष्ठिरो राजा धर्मपुत्रो महामनाः। <br>संनिवर्त्यानुजान्सर्वानिति होवाच भारत   ॥04-001-004॥
द्वादशेमानि वर्षाणि राष्ट्राद्विप्रोषिता वयम्। <br>त्रयोदशोऽयं संप्राप्तः कृच्छ्रः परमदुर्वसः   ॥04-001-005॥
स साधु कौन्तेय इतो वासमर्जुन रोचय। <br>यत्रेमा वसतीः सर्वा वसेमाविदिताः परैः   ॥04-001-006॥
 अर्जुन उवाच। <br>तस्यैव वरदानेन धर्मस्य मनुजाधिप। <br>अज्ञाता विचरिष्यामो नराणां भरतर्षभ   ॥04-001-007॥
किं तु वासाय राष्ट्राणि कीर्तयिष्यामि कानिचित्। <br>रमणीयानि गुप्तानि तेषां किंचित्स्म रोचय   ॥04-001-008॥
सन्ति रम्या जनपदा बह्वन्नाः परितः कुरून्। <br>पाञ्चालाश्चेदिमत्स्याश्च शूरसेनाः पटच्चराः। <br>दशार्णा नवराष्ट्रं च मल्लाः शाल्वा युगंधराः   ॥04-001-009॥
एतेषां कतमो राजन्निवासस्तव रोचते। <br>वत्स्यामो यत्र राजेन्द्र संवत्सरमिमं वयम्   ॥04-001-010॥
 युधिष्ठिर उवाच। <br>एवमेतन्महाबाहो यथा स भगवान्प्रभुः। <br>अब्रवीत्सर्वभूतेशस्तत्तथा न तदन्यथा   ॥04-001-011॥
अवश्यं त्वेव वासार्थं रमणीयं शिवं सुखम्। <br>संमन्त्र्य सहितैः सर्वैर्द्रष्टव्यमकुतोभयम्   ॥04-001-012॥
मत्स्यो विराटो बलवानभिरक्षेत्स पाण्डवान्। <br>धर्मशीलो वदान्यश्च वृद्धश्च सुमहाधनः   ॥04-001-013॥
विराटनगरे तात संवत्सरमिमं वयम्। <br>कुर्वन्तस्तस्य कर्माणि विहरिष्याम भारत   ॥04-001-014॥
यानि यानि च कर्माणि तस्य शक्ष्यामहे वयम्। <br>कर्तुं यो यत्स तत्कर्म ब्रवीतु कुरुनन्दनाः   ॥04-001-015॥
 अर्जुन उवाच। <br>नरदेव कथं कर्म राष्ट्रे तस्य करिष्यसि। <br>विराटनृपतेः साधो रंस्यसे केन कर्मणा   ॥04-001-016॥
मृदुर्वदान्यो ह्रीमांश्च धार्मिकः सत्यविक्रमः। <br>राजंस्त्वमापदा क्लिष्टः किं करिष्यसि पाण्डव   ॥04-001-017॥
न दुःखमुचितं किंचिद्राजन्वेद यथा जनः। <br>स इमामापदं प्राप्य कथं घोरां तरिष्यसि   ॥04-001-018॥
 युधिष्ठिर उवाच। <br>शृणुध्वं यत्करिष्यामि कर्म वै कुरुनन्दनाः। <br>विराटमनुसंप्राप्य राजानं पुरुषर्षभम्   ॥04-001-019॥
सभास्तारो भविष्यामि तस्य राज्ञो महात्मनः। <br>कङ्को नाम द्विजो भूत्वा मताक्षः प्रियदेविता   ॥04-001-020॥
वैडूर्यान्काञ्चनान्दान्तान्फलैर्ज्योतीरसैः सह। <br>कृष्णाक्षाँल्लोहिताक्षांश्च निर्वर्त्स्यामि मनोरमान्   ॥04-001-021॥
आसं युधिष्ठिरस्याहं पुरा प्राणसमः सखा। <br>इति वक्ष्यामि राजानं यदि मामनुयोक्ष्यते   ॥04-001-022॥
इत्येतद्वो मयाख्यातं विहरिष्याम्यहं यथा। <br>वृकोदर विराटे त्वं रंस्यसे केन कर्मणा   ॥04-001-023॥
