Verse
 वैशंपायन उवाच। <br>अथापरोऽदृश्यत पाण्डवः प्रभु;र्विराटराज्ञस्तुरगान्समीक्षतः। <br>तमापतन्तं ददृशे पृथग्जनो; विमुक्तमभ्रादिव सूर्यमण्डलम्   ॥04-011-001॥
स वै हयानैक्षत तांस्ततस्ततः; समीक्षमाणं च ददर्श मत्स्यराट्। <br>ततोऽब्रवीत्ताननुगानमित्रहा; कुतोऽयमायाति नरोऽमरप्रभः   ॥04-011-002॥
अयं हयान्वीक्षति मामकान्दृढं; ध्रुवं हयज्ञो भविता विचक्षणः। <br>प्रवेश्यतामेष समीपमाशु मे; विभाति वीरो हि यथामरस्तथा   ॥04-011-003॥
अभ्येत्य राजानममित्रहाब्रवी;ज्जयोऽस्तु ते पार्थिव भद्रमस्तु च। <br>हयेषु युक्तो नृप संमतः सदा; तवाश्वसूतो निपुणो भवाम्यहम्   ॥04-011-004॥
 विराट उवाच। <br>ददामि यानानि धनं निवेशनं; ममाश्वसूतो भवितुं त्वमर्हसि। <br>कुतोऽसि कस्यासि कथं त्वमागतः; प्रब्रूहि शिल्पं तव विद्यते च यत्   ॥04-011-005॥
 नकुल उवाच। <br>पञ्चानां पाण्डुपुत्राणां ज्येष्ठो राजा युधिष्ठिरः। <br>तेनाहमश्वेषु पुरा प्रकृतः शत्रुकर्शन   ॥04-011-006॥
अश्वानां प्रकृतिं वेद्मि विनयं चापि सर्वशः। <br>दुष्टानां प्रतिपत्तिं च कृत्स्नं चैव चिकित्सितम्   ॥04-011-007॥
न कातरं स्यान्मम जातु वाहनं; न मेऽस्ति दुष्टा वडवा कुतो हयाः। <br>जनस्तु मामाह स चापि पाण्डवो; युधिष्ठिरो ग्रन्थिकमेव नामतः   ॥04-011-008॥
 विराट उवाच। <br>यदस्ति किंचिन्मम वाजिवाहनं; तदस्तु सर्वं त्वदधीनमद्य वै। <br>ये चापि केचिन्मम वाजियोजका;स्त्वदाश्रयाः सारथयश्च सन्तु मे   ॥04-011-009॥
इदं तवेष्टं यदि वै सुरोपम; ब्रवीहि यत्ते प्रसमीक्षितं वसु। <br>न तेऽनुरूपं हयकर्म विद्यते; प्रभासि राजेव हि संमतो मम   ॥04-011-010॥
युधिष्ठिरस्येव हि दर्शनेन मे; समं तवेदं प्रियदर्श दर्शनम्। <br>कथं तु भृत्यैः स विनाकृतो वने; वसत्यनिन्द्यो रमते च पाण्डवः   ॥04-011-011॥
 वैशंपायन उवाच। <br>तथा स गन्धर्ववरोपमो युवा; विराटराज्ञा मुदितेन पूजितः। <br>न चैनमन्येऽपि विदुः कथंचन; प्रियाभिरामं विचरन्तमन्तरा   ॥04-011-012॥
एवं हि मत्स्ये न्यवसन्त पाण्डवा; यथाप्रतिज्ञाभिरमोघदर्शनाः। <br>अज्ञातचर्यां व्यचरन्समाहिताः; समुद्रनेमीपतयोऽतिदुःखिताः   ॥04-011-013॥
