Verse
 वैशंपायन उवाच। <br>ततस्तेषां महाराज तत्रैवामिततेजसाम्। <br>छद्मलिङ्गप्रविष्टानां पाण्डवानां महात्मनाम्   ॥04-030-001॥
व्यतीतः समयः सम्यग्वसतां वै पुरोत्तमे। <br>कुर्वतां तस्य कर्माणि विराटस्य महीपतेः   ॥04-030-002॥
ततस्त्रयोदशस्यान्ते तस्य वर्षस्य भारत। <br>सुशर्मणा गृहीतं तु गोधनं तरसा बहु   ॥04-030-003॥
ततो जवेन महता गोपाः पुरमथाव्रजत्। <br>अपश्यन्मत्स्यराजं च रथात्प्रस्कन्द्य कुण्डली   ॥04-030-004॥
शूरैः परिवृतं योधैः कुण्डलाङ्गदधारिभिः। <br>सद्भिश्च मन्त्रिभिः सार्धं पाण्डवैश्च नरर्षभैः   ॥04-030-005॥
तं सभायां महाराजमासीनं राष्ट्रवर्धनम्। <br>सोऽब्रवीदुपसंगम्य विराटं प्रणतस्तदा   ॥04-030-006॥
अस्मान्युधि विनिर्जित्य परिभूय सबान्धवान्। <br>गवां शतसहस्राणि त्रिगर्ताः कालयन्ति ते। <br>तान्परीप्स मनुष्येन्द्र मा नेशुः पशवस्तव   ॥04-030-007॥
तच्छ्रुत्वा नृपतिः सेनां मत्स्यानां समयोजयत्। <br>रथनागाश्वकलिलां पत्तिध्वजसमाकुलाम्   ॥04-030-008॥
राजानो राजपुत्राश्च तनुत्राण्यत्र भेजिरे। <br>भानुमन्ति विचित्राणि सूपसेव्यानि भागशः   ॥04-030-009॥
सवज्रायसगर्भं तु कवचं तप्तकाञ्चनम्। <br>विराटस्य प्रियो भ्राता शतानीकोऽभ्यहारयत्   ॥04-030-010॥
सर्वपारसवं वर्म कल्याणपटलं दृढम्। <br>शतानीकादवरजो मदिराश्वोऽभ्यहारयत्   ॥04-030-011॥
शतसूर्यं शतावर्तं शतबिन्दु शताक्षिमत्। <br>अभेद्यकल्पं मत्स्यानां राजा कवचमाहरत्   ॥04-030-012॥
उत्सेधे यस्य पद्मानि शतं सौगन्धिकानि च। <br>सुवर्णपृष्ठं सूर्याभं सूर्यदत्तोऽभ्यहारयत्   ॥04-030-013॥
दृढमायसगर्भं तु श्वेतं वर्म शताक्षिमत्। <br>विराटस्य सुतो ज्येष्ठो वीरः शङ्खोऽभ्यहारयत्   ॥04-030-014॥
शतशश्च तनुत्राणि यथास्वानि महारथाः। <br>योत्स्यमानाभ्यनह्यन्त देवरूपाः प्रहारिणः   ॥04-030-015॥
सूपस्करेषु शुभ्रेषु महत्सु च महारथाः। <br>पृथक्काञ्चनसंनाहान्रथेष्वश्वानयोजयन्   ॥04-030-016॥
सूर्यचन्द्रप्रतीकाशो रथे दिव्ये हिरण्मयः। <br>महानुभावो मत्स्यस्य ध्वज उच्छिश्रिये तदा   ॥04-030-017॥
अथान्यान्विविधाकारान्ध्वजान्हेमविभूषितान्। <br>यथास्वं क्षत्रियाः शूरा रथेषु समयोजयन्   ॥04-030-018॥
अथ मत्स्योऽब्रवीद्राजा शतानीकं जघन्यजम्। <br>कङ्कबल्लवगोपाला दामग्रन्थिश्च वीर्यवान्। <br>युध्येयुरिति मे बुद्धिर्वर्तते नात्र संशयः   ॥04-030-019॥
एतेषामपि दीयन्तां रथा ध्वजपताकिनः। <br>कवचानि विचित्राणि दृढानि च मृदूनि च। <br>प्रतिमुञ्चन्तु गात्रेषु दीयन्तामायुधानि च   ॥04-030-020॥
वीराङ्गरूपाः पुरुषा नागराजकरोपमाः। <br>नेमे जातु न युध्येरन्निति मे धीयते मतिः   ॥04-030-021॥
एतच्छ्रुत्वा तु नृपतेर्वाक्यं त्वरितमानसः। <br>शतानीकस्तु पार्थेभ्यो रथान्राजन्समादिशत्। <br>सहदेवाय राज्ञे च भीमाय नकुलाय च   ॥04-030-022॥
तान्प्रहृष्टास्ततः सूता राजभक्तिपुरस्कृताः। <br>निर्दिष्टान्नरदेवेन रथाञ्शीघ्रमयोजयन्   ॥04-030-023॥
कवचानि विचित्राणि दृढानि च मृदूनि च। <br>विराटः प्रादिशद्यानि तेषामक्लिष्टकर्मणाम्। <br>तान्यामुच्य शरीरेषु दंशितास्ते परंतपाः   ॥04-030-024॥
तरस्विनश्छन्नरूपाः सर्वे युद्धविशारदाः। <br>विराटमन्वयुः पश्चात्सहिताः कुरुपुंगवाः। <br>चत्वारो भ्रातरः शूराः पाण्डवाः सत्यविक्रमाः   ॥04-030-025॥
भीमाश्च मत्तमातङ्गाः प्रभिन्नकरटामुखाः। <br>क्षरन्त इव जीमूताः सुदन्ताः षष्टिहायनाः   ॥04-030-026॥
स्वारूढा युद्धकुशलैः शिक्षितैर्हस्तिसादिभिः। <br>राजानमन्वयुः पश्चाच्चलन्त इव पर्वताः   ॥04-030-027॥
विशारदानां वश्यानां हृष्टानां चानुयायिनाम्। <br>अष्टौ रथसहस्राणि दश नागशतानि च। <br>षष्टिश्चाश्वसहस्राणि मत्स्यानामभिनिर्ययुः   ॥04-030-028॥
तदनीकं विराटस्य शुशुभे भरतर्षभ। <br>संप्रयातं महाराज निनीषन्तं गवां पदम्   ॥04-030-029॥
तद्बलाग्र्यं विराटस्य संप्रस्थितमशोभत। <br>दृढायुधजनाकीर्णं गजाश्वरथसंकुलम्   ॥04-030-030॥
