Verse
 वैशंपायन उवाच। <br>भीष्मे तु संग्रामशिरो विहाय; पलायमाने धृतराष्ट्रपुत्रः। <br>उच्छ्रित्य केतुं विनदन्महात्मा; स्वयं विगृह्यार्जुनमाससाद   ॥04-060-001॥
स भीमधन्वानमुदग्रवीर्यं; धनंजयं शत्रुगणे चरन्तम्। <br>आकर्णपूर्णायतचोदितेन; भल्लेन विव्याध ललाटमध्ये   ॥04-060-002॥
स तेन बाणेन समर्पितेन; जाम्बूनदाभेन सुसंशितेन। <br>रराज राजन्महनीयकर्मा; यथैकपर्वा रुचिरैकशृङ्गः   ॥04-060-003॥
अथास्य बाणेन विदारितस्य; प्रादुर्बभूवासृगजस्रमुष्णम्। <br>सा तस्य जाम्बूनदपुष्पचित्रा; मालेव चित्राभिविराजते स्म   ॥04-060-004॥
स तेन बाणाभिहतस्तरस्वी; दुर्योधनेनोद्धतमन्युवेगः। <br>शरानुपादाय विषाग्निकल्पा;न्विव्याध राजानमदीनसत्त्वः   ॥04-060-005॥
दुर्योधनश्चापि तमुग्रतेजाः; पार्थश्च दुर्योधनमेकवीरः। <br>अन्योन्यमाजौ पुरुषप्रवीरौ; समं समाजघ्नतुराजमीढौ   ॥04-060-006॥
ततः प्रभिन्नेन महागजेन; महीधराभेन पुनर्विकर्णः। <br>रथैश्चतुर्भिर्गजपादरक्षैः; कुन्तीसुतं जिष्णुमथाभ्यधावत्   ॥04-060-007॥
तमापतन्तं त्वरितं गजेन्द्रं; धनंजयः कुम्भविभागमध्ये। <br>आकर्णपूर्णेन दृढायसेन; बाणेन विव्याध महाजवेन   ॥04-060-008॥
पार्थेन सृष्टः स तु गार्ध्रपत्र; आ पुङ्खदेशात्प्रविवेश नागम्। <br>विदार्य शैलप्रवरप्रकाशं; यथाशनिः पर्वतमिन्द्रसृष्टः   ॥04-060-009॥
शरप्रतप्तः स तु नागराजः; प्रवेपिताङ्गो व्यथितान्तरात्मा। <br>संसीदमानो निपपात मह्यां; वज्राहतं शृङ्गमिवाचलस्य   ॥04-060-010॥
निपातिते दन्तिवरे पृथिव्यां; त्रासाद्विकर्णः सहसावतीर्य। <br>तूर्णं पदान्यष्टशतानि गत्वा; विविंशतेः स्यन्दनमारुरोह   ॥04-060-011॥
निहत्य नागं तु शरेण तेन; वज्रोपमेनाद्रिवराम्बुदाभम्। <br>तथाविधेनैव शरेण पार्थो; दुर्योधनं वक्षसि निर्बिभेद   ॥04-060-012॥
ततो गजे राजनि चैव भिन्ने; भग्ने विकर्णे च सपादरक्षे। <br>गाण्डीवमुक्तैर्विशिखैः प्रणुन्ना;स्ते योधमुख्याः सहसापजग्मुः   ॥04-060-013॥
दृष्ट्वैव बाणेन हतं तु नागं; योधांश्च सर्वान्द्रवतो निशम्य। <br>रथं समावृत्य कुरुप्रवीरो; रणात्प्रदुद्राव यतो न पार्थः   ॥04-060-014॥
तं भीमरूपं त्वरितं द्रवन्तं; दुर्योधनं शत्रुसहो निषङ्गी। <br>प्राक्ष्वेडयद्योद्धुमनाः किरीटी; बाणेन विद्धं रुधिरं वमन्तम्   ॥04-060-015॥
 अर्जुन उवाच। <br>विहाय कीर्तिं विपुलं यशश्च; युद्धात्परावृत्य पलायसे किम्। <br>न तेऽद्य तूर्याणि समाहतानि; यथावदुद्यान्ति गतस्य युद्धे   ॥04-060-016॥
युधिष्ठिरस्यास्मि निदेशकारी; पार्थस्तृतीयो युधि च स्थिरोऽस्मि। <br>तदर्थमावृत्य मुखं प्रयच्छ; नरेन्द्रवृत्तं स्मर धार्तराष्ट्र   ॥04-060-017॥
मोघं तवेदं भुवि नामधेयं; दुर्योधनेतीह कृतं पुरस्तात्। <br>न हीह दुर्योधनता तवास्ति; पलायमानस्य रणं विहाय   ॥04-060-018॥
न ते पुरस्तादथ पृष्ठतो वा; पश्यामि दुर्योधन रक्षितारम्। <br>परैहि युद्धेन कुरुप्रवीर; प्राणान्प्रियान्पाण्डवतोऽद्य रक्ष   ॥04-060-019॥
