Verse
 वैशंपायन उवाच। <br>ततस्तृतीये दिवसे भ्रातरः पञ्च पाण्डवाः। <br>स्नाताः शुक्लाम्बरधराः समये चरितव्रताः   ॥04-065-001॥
युधिष्ठिरं पुरस्कृत्य सर्वाभरणभूषिताः। <br>अभिपद्मा यथा नागा भ्राजमाना महारथाः   ॥04-065-002॥
विराटस्य सभां गत्वा भूमिपालासनेष्वथ। <br>निषेदुः पावकप्रख्याः सर्वे धिष्ण्येष्विवाग्नयः   ॥04-065-003॥
तेषु तत्रोपविष्टेषु विराटः पृथिवीपतिः। <br>आजगाम सभां कर्तुं राजकार्याणि सर्वशः   ॥04-065-004॥
श्रीमतः पाण्डवान्दृष्ट्वा ज्वलतः पावकानिव। <br>अथ मत्स्योऽब्रवीत्कङ्कं देवरूपमवस्थितम्। <br>मरुद्गणैरुपासीनं त्रिदशानामिवेश्वरम्   ॥04-065-005॥
स किलाक्षातिवापस्त्वं सभास्तारो मया कृतः। <br>अथ राजासने कस्मादुपविष्टोऽस्यलंकृतः   ॥04-065-006॥
परिहासेप्सया वाक्यं विराटस्य निशम्य तत्। <br>स्मयमानोऽर्जुनो राजन्निदं वचनमब्रवीत्   ॥04-065-007॥
इन्द्रस्याप्यासनं राजन्नयमारोढुमर्हति। <br>ब्रह्मण्यः श्रुतवांस्त्यागी यज्ञशीलो दृढव्रतः   ॥04-065-008॥
अयं कुरूणामृषभः कुन्तीपुत्रो युधिष्ठिरः। <br>अस्य कीर्तिः स्थिता लोके सूर्यस्येवोद्यतः प्रभा   ॥04-065-009॥
संसरन्ति दिशः सर्वा यशसोऽस्य गभस्तयः। <br>उदितस्येव सूर्यस्य तेजसोऽनु गभस्तयः   ॥04-065-010॥
एनं दश सहस्राणि कुञ्जराणां तरस्विनाम्। <br>अन्वयुः पृष्ठतो राजन्यावदध्यावसत्कुरून्   ॥04-065-011॥
त्रिंशदेनं सहस्राणि रथाः काञ्चनमालिनः। <br>सदश्वैरुपसंपन्नाः पृष्ठतोऽनुययुः सदा   ॥04-065-012॥
एनमष्टशताः सूताः सुमृष्टमणिकुण्डलाः। <br>अस्तुवन्मागधैः सार्धं पुरा शक्रमिवर्षयः   ॥04-065-013॥
एनं नित्यमुपासन्त कुरवः किंकरा यथा। <br>सर्वे च राजन्राजानो धनेश्वरमिवामराः   ॥04-065-014॥
एष सर्वान्महीपालान्करमाहारयत्तदा। <br>वैश्यानिव महाराज विवशान्स्ववशानपि   ॥04-065-015॥
अष्टाशीतिसहस्राणि स्नातकानां महात्मनाम्। <br>उपजीवन्ति राजानमेनं सुचरितव्रतम्   ॥04-065-016॥
एष वृद्धाननाथांश्च व्यङ्गान्पङ्गूंश्च मानवान्। <br>पुत्रवत्पालयामास प्रजा धर्मेण चाभिभो   ॥04-065-017॥
एष धर्मे दमे चैव क्रोधे चापि यतव्रतः। <br>महाप्रसादो ब्रह्मण्यः सत्यवादी च पार्थिवः   ॥04-065-018॥
श्रीप्रतापेन चैतस्य तप्यते स सुयोधनः। <br>सगणः सह कर्णेन सौबलेनापि वा विभुः   ॥04-065-019॥
न शक्यन्ते ह्यस्य गुणाः प्रसंख्यातुं नरेश्वर। <br>एष धर्मपरो नित्यमानृशंस्यश्च पाण्डवः   ॥04-065-020॥
एवंयुक्तो महाराजः पाण्डवः पार्थिवर्षभः। <br>कथं नार्हति राजार्हमासनं पृथिवीपतिः   ॥04-065-021॥
