Verse
 द्रुपद उवाच। <br>एवमेतन्महाबाहो भविष्यति न संशयः। <br>न हि दुर्योधनो राज्यं मधुरेण प्रदास्यति   ॥05-004-001॥
अनुवर्त्स्यति तं चापि धृतराष्ट्रः सुतप्रियः। <br>भीष्मद्रोणौ च कार्पण्यान्मौर्ख्याद्राधेयसौबलौ   ॥05-004-002॥
बलदेवस्य वाक्यं तु मम ज्ञाने न युज्यते। <br>एतद्धि पुरुषेणाग्रे कार्यं सुनयमिच्छता   ॥05-004-003॥
न तु वाच्यो मृदु वचो धार्तराष्ट्रः कथंचन। <br>न हि मार्दवसाध्योऽसौ पापबुद्धिर्मतो मम   ॥05-004-004॥
गर्दभे मार्दवं कुर्याद्गोषु तीक्ष्णं समाचरेत्। <br>मृदु दुर्योधने वाक्यं यो ब्रूयात्पापचेतसि   ॥05-004-005॥
मृदु वै मन्यते पापो भाष्यमाणमशक्तिजम्। <br>जितमर्थं विजानीयादबुधो मार्दवे सति   ॥05-004-006॥
एतच्चैव करिष्यामो यत्नश्च क्रियतामिह। <br>प्रस्थापयाम मित्रेभ्यो बलान्युद्योजयन्तु नः   ॥05-004-007॥
शल्यस्य धृष्टकेतोश्च जयत्सेनस्य चाभिभोः। <br>केकयानां च सर्वेषां दूता गच्छन्तु शीघ्रगाः   ॥05-004-008॥
स तु दुर्योधनो नूनं प्रेषयिष्यति सर्वशः। <br>पूर्वाभिपन्नाः सन्तश्च भजन्ते पूर्वचोदकम्   ॥05-004-009॥
तत्त्वरध्वं नरेन्द्राणां पूर्वमेव प्रचोदने। <br>महद्धि कार्यं वोढव्यमिति मे वर्तते मतिः   ॥05-004-010॥
शल्यस्य प्रेष्यतां शीघ्रं ये च तस्यानुगा नृपाः। <br>भगदत्ताय राज्ञे च पूर्वसागरवासिने   ॥05-004-011॥
अमितौजसे तथोग्राय हार्दिक्यायाहुकाय च। <br>दीर्घप्रज्ञाय मल्लाय रोचमानाय चाभिभो   ॥05-004-012॥
आनीयतां बृहन्तश्च सेनाबिन्दुश्च पार्थिवः। <br>पापजित्प्रतिविन्ध्यश्च चित्रवर्मा सुवास्तुकः   ॥05-004-013॥
बाह्लीको मुञ्जकेशश्च चैद्याधिपतिरेव च। <br>सुपार्श्वश्च सुबाहुश्च पौरवश्च महारथः   ॥05-004-014॥
शकानां पह्लवानां च दरदानां च ये नृपाः। <br>काम्बोजा ऋषिका ये च पश्चिमानूपकाश्च ये   ॥05-004-015॥
जयत्सेनश्च काश्यश्च तथा पञ्चनदा नृपाः। <br>क्राथपुत्रश्च दुर्धर्षः पार्वतीयाश्च ये नृपाः   ॥05-004-016॥
जानकिश्च सुशर्मा च मणिमान्पौतिमत्स्यकः। <br>पांसुराष्ट्राधिपश्चैव धृष्टकेतुश्च वीर्यवान्   ॥05-004-017॥
औड्रश्च दण्डधारश्च बृहत्सेनश्च वीर्यवान्। <br>अपराजितो निषादश्च श्रेणिमान्वसुमानपि   ॥05-004-018॥
बृहद्बलो महौजाश्च बाहुः परपुरंजयः। <br>समुद्रसेनो राजा च सह पुत्रेण वीर्यवान्   ॥05-004-019॥
अदारिश्च नदीजश्च कर्णवेष्टश्च पार्थिवः। <br>समर्थश्च सुवीरश्च मार्जारः कन्यकस्तथा   ॥05-004-020॥
महावीरश्च कद्रुश्च निकरस्तुमुलः क्रथः। <br>नीलश्च वीरधर्मा च भूमिपालश्च वीर्यवान्   ॥05-004-021॥
दुर्जयो दन्तवक्त्रश्च रुक्मी च जनमेजयः। <br>आषाढो वायुवेगश्च पूर्वपाली च पार्थिवः   ॥05-004-022॥
भूरितेजा देवकश्च एकलव्यस्य चात्मजः। <br>कारूषकाश्च राजानः क्षेमधूर्तिश्च वीर्यवान्   ॥05-004-023॥
उद्भवः क्षेमकश्चैव वाटधानश्च पार्थिवः। <br>श्रुतायुश्च दृढायुश्च शाल्वपुत्रश्च वीर्यवान्   ॥05-004-024॥
कुमारश्च कलिङ्गानामीश्वरो युद्धदुर्मदः। <br>एतेषां प्रेष्यतां शीघ्रमेतद्धि मम रोचते   ॥05-004-025॥
अयं च ब्राह्मणः शीघ्रं मम राजन्पुरोहितः। <br>प्रेष्यतां धृतराष्ट्राय वाक्यमस्मिन्समर्प्यताम्   ॥05-004-026॥
यथा दुर्योधनो वाच्यो यथा शांतनवो नृपः। <br>धृतराष्ट्रो यथा वाच्यो द्रोणश्च विदुषां वरः   ॥05-004-027॥
