Verse
 वैशंपायन उवाच। <br>राज्ञस्तु वचनं श्रुत्वा धृतराष्ट्रस्य संजयः। <br>उपप्लव्यं ययौ द्रष्टुं पाण्डवानमितौजसः   ॥05-023-001॥
स तु राजानमासाद्य धर्मात्मानं युधिष्ठिरम्। <br>प्रणिपत्य ततः पूर्वं सूतपुत्रोऽभ्यभाषत   ॥05-023-002॥
गावल्गणिः संजयः सूतसूनु;रजातशत्रुमवदत्प्रतीतः। <br>दिष्ट्या राजंस्त्वामरोगं प्रपश्ये; सहायवन्तं च महेन्द्रकल्पम्   ॥05-023-003॥
अनामयं पृच्छति त्वाम्बिकेयो; वृद्धो राजा धृतराष्ट्रो मनीषी। <br>कच्चिद्भीमः कुशली पाण्डवाग्र्यो; धनंजयस्तौ च माद्रीतनूजौ   ॥05-023-004॥
कच्चित्कृष्णा द्रौपदी राजपुत्री; सत्यव्रता वीरपत्नी सपुत्रा। <br>मनस्विनी यत्र च वाञ्छसि त्व;मिष्टान्कामान्भारत स्वस्तिकामः   ॥05-023-005॥
 युधिष्ठिर उवाच। <br>गावल्गणे संजय स्वागतं ते; प्रीतात्माहं त्वाभिवदामि सूत। <br>अनामयं प्रतिजाने तवाहं; सहानुजैः कुशली चास्मि विद्वन्   ॥05-023-006॥
चिरादिदं कुशलं भारतस्य; श्रुत्वा राज्ञः कुरुवृद्धस्य सूत। <br>मन्ये साक्षाद्दृष्टमहं नरेन्द्रं; दृष्ट्वैव त्वां संजय प्रीतियोगात्   ॥05-023-007॥
पितामहो नः स्थविरो मनस्वी; महाप्राज्ञः सर्वधर्मोपपन्नः। <br>स कौरव्यः कुशली तात भीष्मो; यथापूर्वं वृत्तिरप्यस्य कच्चित्   ॥05-023-008॥
कच्चिद्राजा धृतराष्ट्रः सपुत्रो; वैचित्रवीर्यः कुशली महात्मा। <br>महाराजो बाह्लिकः प्रातिपेयः; कच्चिद्विद्वान्कुशली सूतपुत्र   ॥05-023-009॥
स सोमदत्तः कुशली तात कच्चि;द्भूरिश्रवाः सत्यसंधः शलश्च। <br>द्रोणः सपुत्रश्च कृपश्च विप्रो; महेष्वासाः कच्चिदेतेऽप्यरोगाः   ॥05-023-010॥
महाप्राज्ञाः सर्वशास्त्रावदाता; धनुर्भृतां मुख्यतमाः पृथिव्याम्। <br>कच्चिन्मानं तात लभन्त एते; धनुर्भृतः कच्चिदेतेऽप्यरोगाः   ॥05-023-011॥
सर्वे कुरुभ्यः स्पृहयन्ति संजय; धनुर्धरा ये पृथिव्यां युवानः। <br>येषां राष्ट्रे निवसति दर्शनीयो; महेष्वासः शीलवान्द्रोणपुत्रः   ॥05-023-012॥
वैश्यापुत्रः कुशली तात कच्चि;न्महाप्राज्ञो राजपुत्रो युयुत्सुः। <br>कर्णोऽमात्यः कुशली तात कच्चि;त्सुयोधनो यस्य मन्दो विधेयः   ॥05-023-013॥
स्त्रियो वृद्धा भारतानां जनन्यो; महानस्यो दासभार्याश्च सूत। <br>वध्वः पुत्रा भागिनेया भगिन्यो; दौहित्रा वा कच्चिदप्यव्यलीकाः   ॥05-023-014॥
कच्चिद्राजा ब्राह्मणानां यथाव;त्प्रवर्तते पूर्ववत्तात वृत्तिम्। <br>कच्चिद्दायान्मामकान्धार्तराष्ट्रो; द्विजातीनां संजय नोपहन्ति   ॥05-023-015॥
कच्चिद्राजा धृतराष्ट्रः सपुत्र; उपेक्षते ब्राह्मणातिक्रमान्वै। <br>कच्चिन्न हेतोरिव वर्त्मभूत; उपेक्षते तेषु स न्यूनवृत्तिम्   ॥05-023-016॥
एतज्ज्योतिरुत्तमं जीवलोके; शुक्लं प्रजानां विहितं विधात्रा। <br>ते चेल्लोभं न नियच्छन्ति मन्दाः; कृत्स्नो नाशो भविता कौरवाणाम्   ॥05-023-017॥
