Verse
 युधिष्ठिर उवाच। <br>उत सन्तमसन्तं च बालं वृद्धं च संजय। <br>उताबलं बलीयांसं धाता प्रकुरुते वशे   ॥05-031-001॥
उत बालाय पाण्डित्यं पण्डितायोत बालताम्। <br>ददाति सर्वमीशानः पुरस्ताच्छुक्रमुच्चरन्   ॥05-031-002॥
अलं विज्ञापनाय स्यादाचक्षीथा यथातथम्। <br>अथो मन्त्रं मन्त्रयित्वा अन्योन्येनातिहृष्टवत्   ॥05-031-003॥
गावल्गणे कुरून्गत्वा धृतराष्ट्रं महाबलम्। <br>अभिवाद्योपसंगृह्य ततः पृच्छेरनामयम्   ॥05-031-004॥
ब्रूयाश्चैनं त्वमासीनं कुरुभिः परिवारितम्। <br>तवैव राजन्वीर्येण सुखं जीवन्ति पाण्डवाः   ॥05-031-005॥
तव प्रसादाद्बालास्ते प्राप्ता राज्यमरिंदम। <br>राज्ये तान्स्थापयित्वाग्रे नोपेक्षीर्विनशिष्यतः   ॥05-031-006॥
सर्वमप्येतदेकस्य नालं संजय कस्यचित्। <br>तात संहत्य जीवामो मा द्विषद्भ्यो वशं गमः   ॥05-031-007॥
तथा भीष्मं शांतनवं भारतानां पितामहम्। <br>शिरसाभिवदेथास्त्वं मम नाम प्रकीर्तयन्   ॥05-031-008॥
अभिवाद्य च वक्तव्यस्ततोऽस्माकं पितामहः। <br>भवता शंतनोर्वंशो निमग्नः पुनरुद्धृतः   ॥05-031-009॥
स त्वं कुरु तथा तात स्वमतेन पितामह। <br>यथा जीवन्ति ते पौत्राः प्रीतिमन्तः परस्परम्   ॥05-031-010॥
तथैव विदुरं ब्रूयाः कुरूणां मन्त्रधारिणम्। <br>अयुद्धं सौम्य भाषस्व हितकामो युधिष्ठिरः   ॥05-031-011॥
अथो सुयोधनं ब्रूया राजपुत्रममर्षणम्। <br>मध्ये कुरूणामासीनमनुनीय पुनः पुनः   ॥05-031-012॥
अपश्यन्मामुपेक्षन्तं कृष्णामेकां सभागताम्। <br>तद्दुःखमतितिक्षाम मा वधीष्म कुरूनिति   ॥05-031-013॥
एवं पूर्वापरान्क्लेशानतितिक्षन्त पाण्डवाः। <br>यथा बलीयसः सन्तस्तत्सर्वं कुरवो विदुः   ॥05-031-014॥
यन्नः प्राव्राजयः सौम्य अजिनैः प्रतिवासितान्। <br>तद्दुःखमतितिक्षाम मा वधीष्म कुरूनिति   ॥05-031-015॥
यत्तत्सभायामाक्रम्य कृष्णां केशेष्वधर्षयत्। <br>दुःशासनस्तेऽनुमते तच्चास्माभिरुपेक्षितम्   ॥05-031-016॥
यथोचितं स्वकं भागं लभेमहि परंतप। <br>निवर्तय परद्रव्ये बुद्धिं गृद्धां नरर्षभ   ॥05-031-017॥
शान्तिरेवं भवेद्राजन्प्रीतिश्चैव परस्परम्। <br>राज्यैकदेशमपि नः प्रयच्छ शममिच्छताम्   ॥05-031-018॥
कुशस्थलं वृकस्थलमासन्दी वारणावतम्। <br>अवसानं भवेदत्र किंचिदेव तु पञ्चमम्   ॥05-031-019॥
भ्रातॄणां देहि पञ्चानां ग्रामान्पञ्च सुयोधन। <br>शान्तिर्नोऽस्तु महाप्राज्ञ ज्ञातिभिः सह संजय   ॥05-031-020॥
भ्राता भ्रातरमन्वेतु पिता पुत्रेण युज्यताम्। <br>स्मयमानाः समायान्तु पाञ्चालाः कुरुभिः सह   ॥05-031-021॥
अक्षतान्कुरुपाञ्चालान्पश्येम इति कामये। <br>सर्वे सुमनसस्तात शाम्याम भरतर्षभ   ॥05-031-022॥
अलमेव शमायास्मि तथा युद्धाय संजय। <br>धर्मार्थयोरलं चाहं मृदवे दारुणाय च   ॥05-031-023॥
