Verse
 विदुर उवाच। <br>सप्तदशेमान्राजेन्द्र मनुः स्वायंभुवोऽब्रवीत्। <br>वैचित्रवीर्य पुरुषानाकाशं मुष्टिभिर्घ्नतः   ॥05-037-001॥
तानेवेन्द्रस्य हि धनुरनाम्यं नमतोऽब्रवीत्। <br>अथो मरीचिनः पादाननाम्यान्नमतस्तथा   ॥05-037-002॥
यश्चाशिष्यं शासति यश्च कुप्यते; यश्चातिवेलं भजते द्विषन्तम्। <br>स्त्रियश्च योऽरक्षति भद्रमस्तु ते; यश्चायाच्यं याचति यश्च कत्थते   ॥05-037-003॥
यश्चाभिजातः प्रकरोत्यकार्यं; यश्चाबलो बलिना नित्यवैरी। <br>अश्रद्दधानाय च यो ब्रवीति; यश्चाकाम्यं कामयते नरेन्द्र   ॥05-037-004॥
वध्वा हासं श्वशुरो यश्च मन्यते; वध्वा वसन्नुत यो मानकामः। <br>परक्षेत्रे निर्वपति यश्च बीजं; स्त्रियं च यः परिवदतेऽतिवेलम्   ॥05-037-005॥
यश्चैव लब्ध्वा न स्मरामीत्युवाच; दत्त्वा च यः कत्थति याच्यमानः। <br>यश्चासतः सान्त्वमुपासतीह; एतेऽनुयान्त्यनिलं पाशहस्ताः   ॥05-037-006॥
यस्मिन्यथा वर्तते यो मनुष्य;स्तस्मिंस्तथा वर्तितव्यं स धर्मः। <br>मायाचारो मायया वर्तितव्यः; साध्वाचारः साधुना प्रत्युदेयः   ॥05-037-007॥
 धृतराष्ट्र उवाच। <br>शतायुरुक्तः पुरुषः सर्ववेदेषु वै यदा। <br>नाप्नोत्यथ च तत्सर्वमायुः केनेह हेतुना   ॥05-037-008॥
 विदुर उवाच। <br>अतिवादोऽतिमानश्च तथात्यागो नराधिप। <br>क्रोधश्चातिविवित्सा च मित्रद्रोहश्च तानि षट्   ॥05-037-009॥
एत एवासयस्तीक्ष्णाः कृन्तन्त्यायूंषि देहिनाम्। <br>एतानि मानवान्घ्नन्ति न मृत्युर्भद्रमस्तु ते   ॥05-037-010॥
विश्वस्तस्यैति यो दारान्यश्चापि गुरुतल्पगः। <br>वृषलीपतिर्द्विजो यश्च पानपश्चैव भारत   ॥05-037-011॥
शरणागतहा चैव सर्वे ब्रह्महणैः समाः। <br>एतैः समेत्य कर्तव्यं प्रायश्चित्तमिति श्रुतिः   ॥05-037-012॥
गृही वदान्योऽनपविद्धवाक्यः; शेषान्नभोक्ताप्यविहिंसकश्च। <br>नानर्थकृत्त्यक्तकलिः कृतज्ञः; सत्यो मृदुः स्वर्गमुपैति विद्वान्   ॥05-037-013॥
सुलभाः पुरुषा राजन्सततं प्रियवादिनः। <br>अप्रियस्य तु पथ्यस्य वक्ता श्रोता च दुर्लभः   ॥05-037-014॥
यो हि धर्मं व्यपाश्रित्य हित्वा भर्तुः प्रियाप्रिये। <br>अप्रियाण्याह पथ्यानि तेन राजा सहायवान्   ॥05-037-015॥
त्यजेत्कुलार्थे पुरुषं ग्रामस्यार्थे कुलं त्यजेत्। <br>ग्रामं जनपदस्यार्थे आत्मार्थे पृथिवीं त्यजेत्   ॥05-037-016॥
आपदर्थं धनं रक्षेद्दारान्रक्षेद्धनैरपि। <br>आत्मानं सततं रक्षेद्दारैरपि धनैरपि   ॥05-037-017॥
उक्तं मया द्यूतकालेऽपि राज;न्नैवं युक्तं वचनं प्रातिपीय। <br>तदौषधं पथ्यमिवातुरस्य; न रोचते तव वैचित्रवीर्य   ॥05-037-018॥
काकैरिमांश्चित्रबर्हान्मयूरा;न्पराजैष्ठाः पाण्डवान्धार्तराष्ट्रैः। <br>हित्वा सिंहान्क्रोष्टुकान्गूहमानः; प्राप्ते काले शोचिता त्वं नरेन्द्र   ॥05-037-019॥
यस्तात न क्रुध्यति सर्वकालं; भृत्यस्य भक्तस्य हिते रतस्य। <br>तस्मिन्भृत्या भर्तरि विश्वसन्ति; न चैनमापत्सु परित्यजन्ति   ॥05-037-020॥
न भृत्यानां वृत्तिसंरोधनेन; बाह्यं जनं संजिघृक्षेदपूर्वम्। <br>त्यजन्ति ह्येनमुचितावरुद्धाः; स्निग्धा ह्यमात्याः परिहीनभोगाः   ॥05-037-021॥
कृत्यानि पूर्वं परिसंख्याय सर्वा;ण्यायव्ययावनुरूपां च वृत्तिम्। <br>संगृह्णीयादनुरूपान्सहाया;न्सहायसाध्यानि हि दुष्कराणि   ॥05-037-022॥
अभिप्रायं यो विदित्वा तु भर्तुः; सर्वाणि कार्याणि करोत्यतन्द्रीः। <br>वक्ता हितानामनुरक्त आर्यः; शक्तिज्ञ आत्मेव हि सोऽनुकम्प्यः   ॥05-037-023॥
