Verse
 धृतराष्ट्र उवाच। <br>सनत्सुजात यदिमां परार्थां; ब्राह्मीं वाचं प्रवदसि विश्वरूपाम्। <br>परां हि कामेषु सुदुर्लभां कथां; तद्ब्रूहि मे वाक्यमेतत्कुमार   ॥05-044-001॥
 सनत्सुजात उवाच। <br>नैतद्ब्रह्म त्वरमाणेन लभ्यं; यन्मां पृच्छस्यभिहृष्यस्यतीव। <br>अव्यक्तविद्यामभिधास्ये पुराणीं; बुद्ध्या च तेषां ब्रह्मचर्येण सिद्धाम्   ॥05-044-002॥
 धृतराष्ट्र उवाच। <br>अव्यक्तविद्यामिति यत्सनातनीं; ब्रवीषि त्वं ब्रह्मचर्येण सिद्धाम्। <br>अनारभ्या वसतीहार्य काले; कथं ब्राह्मण्यममृतत्वं लभेत   ॥05-044-003॥
 सनत्सुजात उवाच। <br>येऽस्मिँल्लोके विजयन्तीह कामा;न्ब्राह्मीं स्थितिमनुतितिक्षमाणाः। <br>त आत्मानं निर्हरन्तीह देहा;न्मुञ्जादिषीकामिव सत्त्वसंस्थाः   ॥05-044-004॥
शरीरमेतौ कुरुतः पिता माता च भारत। <br>आचार्यशास्ता या जातिः सा सत्या साजरामरा   ॥05-044-005॥
आचार्ययोनिमिह ये प्रविश्य; भूत्वा गर्भं ब्रह्मचर्यं चरन्ति। <br>इहैव ते शास्त्रकारा भवन्ति; प्रहाय देहं परमं यान्ति योगम्   ॥05-044-006॥
य आवृणोत्यवितथेन कर्णा;वृतं कुर्वन्नमृतं संप्रयच्छन्। <br>तं मन्येत पितरं मातरं च; तस्मै न द्रुह्येत्कृतमस्य जानन्   ॥05-044-007॥
गुरुं शिष्यो नित्यमभिमन्यमानः; स्वाध्यायमिच्छेच्छुचिरप्रमत्तः। <br>मानं न कुर्यान्न दधीत रोष;मेष प्रथमो ब्रह्मचर्यस्य पादः   ॥05-044-008॥
आचार्यस्य प्रियं कुर्यात्प्राणैरपि धनैरपि। <br>कर्मणा मनसा वाचा द्वितीयः पाद उच्यते   ॥05-044-009॥
समा गुरौ यथा वृत्तिर्गुरुपत्न्यां तथा भवेत्। <br>यथोक्तकारी प्रियकृत्तृतीयः पाद उच्यते   ॥05-044-010॥
नाचार्यायेहोपकृत्वा प्रवादं; प्राज्ञः कुर्वीत नैतदहं करोमि। <br>इतीव मन्येत न भाषयेत; स वै चतुर्थो ब्रह्मचर्यस्य पादः   ॥05-044-011॥
एवं वसन्तं यदुपप्लवेद्धन;माचार्याय तदनुप्रयच्छेत्। <br>सतां वृत्तिं बहुगुणामेवमेति; गुरोः पुत्रे भवति च वृत्तिरेषा   ॥05-044-012॥
एवं वसन्सर्वतो वर्धतीह; बहून्पुत्राँल्लभते च प्रतिष्ठाम्। <br>वर्षन्ति चास्मै प्रदिशो दिशश्च; वसन्त्यस्मिन्ब्रह्मचर्ये जनाश्च   ॥05-044-013॥
एतेन ब्रह्मचर्येण देवा देवत्वमाप्नुवन्। <br>ऋषयश्च महाभागा ब्रह्मलोकं मनीषिणः   ॥05-044-014॥
गन्धर्वाणामनेनैव रूपमप्सरसामभूत्। <br>एतेन ब्रह्मचर्येण सूर्यो अह्नाय जायते   ॥05-044-015॥
य आशयेत्पाटयेच्चापि राज;न्सर्वं शरीरं तपसा तप्यमानः। <br>एतेनासौ बाल्यमत्येति विद्वा;न्मृत्युं तथा रोधयत्यन्तकाले   ॥05-044-016॥
अन्तवन्तः क्षत्रिय ते जयन्ति; लोकाञ्जनाः कर्मणा निर्मितेन। <br>ब्रह्मैव विद्वांस्तेन अभ्येति सर्वं; नान्यः पन्था अयनाय विद्यते   ॥05-044-017॥
 धृतराष्ट्र उवाच। <br>आभाति शुक्लमिव लोहितमिव; अथो कृष्णमथाञ्जनं काद्रवं वा। <br>तद्ब्राह्मणः पश्यति योऽत्र विद्वा;न्कथंरूपं तदमृतमक्षरं पदम्   ॥05-044-018॥
 सनत्सुजात उवाच। <br>नाभाति शुक्लमिव लोहितमिव; अथो कृष्णमायसमर्कवर्णम्। <br>न पृथिव्यां तिष्ठति नान्तरिक्षे; नैतत्समुद्रे सलिलं बिभर्ति   ॥05-044-019॥
न तारकासु न च विद्युदाश्रितं; न चाभ्रेषु दृश्यते रूपमस्य। <br>न चापि वायौ न च देवतासु; न तच्चन्द्रे दृश्यते नोत सूर्ये   ॥05-044-020॥
नैवर्क्षु तन्न यजुःषु नाप्यथर्वसु; न चैव दृश्यत्यमलेषु सामसु। <br>रथंतरे बार्हते चापि राज;न्महाव्रते नैव दृश्येद्ध्रुवं तत्   ॥05-044-021॥
अपारणीयं तमसः परस्ता;त्तदन्तकोऽप्येति विनाशकाले। <br>अणीयरूपं क्षुरधारया त;न्महच्च रूपं त्वपि पर्वतेभ्यः   ॥05-044-022॥
सा प्रतिष्ठा तदमृतं लोकास्तद्ब्रह्म तद्यशः। <br>भूतानि जज्ञिरे तस्मात्प्रलयं यान्ति तत्र च   ॥05-044-023॥
अनामयं तन्महदुद्यतं यशो; वाचो विकारान्कवयो वदन्ति। <br>तस्मिञ्जगत्सर्वमिदं प्रतिष्ठितं; ये तद्विदुरमृतास्ते भवन्ति   ॥05-044-024॥
