Verse
 वैशंपायन उवाच। <br>तथा तु पृच्छन्तमतीव पार्था;न्वैचित्रवीर्यं तमचिन्तयित्वा। <br>उवाच कर्णो धृतराष्ट्रपुत्रं; प्रहर्षयन्संसदि कौरवाणाम्   ॥05-061-001॥
मिथ्या प्रतिज्ञाय मया यदस्त्रं; रामाद्धृतं ब्रह्मपुरं पुरस्तात्। <br>विज्ञाय तेनास्मि तदैवमुक्त;स्तवान्तकालेऽप्रतिभास्यतीति   ॥05-061-002॥
महापराधे ह्यपि संनतेन; महर्षिणाहं गुरुणा च शप्तः। <br>शक्तः प्रदग्धुं ह्यपि तिग्मतेजाः; ससागरामप्यवनिं महर्षिः   ॥05-061-003॥
प्रसादितं ह्यस्य मया मनोऽभू;च्छुश्रूषया स्वेन च पौरुषेण। <br>ततस्तदस्त्रं मम सावशेषं; तस्मात्समर्थोऽस्मि ममैष भारः   ॥05-061-004॥
निमेषमात्रं तमृषिप्रसाद;मवाप्य पाञ्चालकरूषमत्स्यान्। <br>निहत्य पार्थांश्च सपुत्रपौत्राँ;ल्लोकानहं शस्त्रजितान्प्रपत्स्ये   ॥05-061-005॥
पितामहस्तिष्ठतु ते समीपे; द्रोणश्च सर्वे च नरेन्द्रमुख्याः। <br>यथाप्रधानेन बलेन यात्वा; पार्थान्हनिष्यामि ममैष भारः   ॥05-061-006॥
एवं ब्रुवाणं तमुवाच भीष्मः; किं कत्थसे कालपरीतबुद्धे। <br>न कर्ण जानासि यथा प्रधाने; हते हताः स्युर्धृतराष्ट्रपुत्राः   ॥05-061-007॥
यत्खाण्डवं दाहयता कृतं हि; कृष्णद्वितीयेन धनंजयेन। <br>श्रुत्वैव तत्कर्म नियन्तुमात्मा; शक्यस्त्वया वै सह बान्धवेन   ॥05-061-008॥
यां चापि शक्तिं त्रिदशाधिपस्ते; ददौ महात्मा भगवान्महेन्द्रः। <br>भस्मीकृतां तां पतितां विशीर्णां; चक्राहतां द्रक्ष्यसि केशवेन   ॥05-061-009॥
यस्ते शरः सर्पमुखो विभाति; सदाग्र्यमाल्यैर्महितः प्रयत्नात्। <br>स पाण्डुपुत्राभिहतः शरौघैः; सह त्वया यास्यति कर्ण नाशम्   ॥05-061-010॥
बाणस्य भौमस्य च कर्ण हन्ता; किरीटिनं रक्षति वासुदेवः। <br>यस्त्वादृशानां च गरीयसां च; हन्ता रिपूणां तुमुले प्रगाढे   ॥05-061-011॥
 कर्ण उवाच। <br>असंशयं वृष्णिपतिर्यथोक्त;स्तथा च भूयश्च ततो महात्मा। <br>अहं यदुक्तः परुषं तु किंचि;त्पितामहस्तस्य फलं शृणोतु   ॥05-061-012॥
न्यस्यामि शस्त्राणि न जातु संख्ये; पितामहो द्रक्ष्यति मां सभायाम्। <br>त्वयि प्रशान्ते तु मम प्रभावं; द्रक्ष्यन्ति सर्वे भुवि भूमिपालाः   ॥05-061-013॥
 वैशंपायन उवाच। <br>इत्येवमुक्त्वा स महाधनुष्मा;न्हित्वा सभां स्वं भवनं जगाम। <br>भीष्मस्तु दुर्योधनमेव राज;न्मध्ये कुरूणां प्रहसन्नुवाच   ॥05-061-014॥
सत्यप्रतिज्ञः किल सूतपुत्र;स्तथा स भारं विषहेत कस्मात्। <br>व्यूहं प्रतिव्यूह्य शिरांसि भित्त्वा; लोकक्षयं पश्यत भीमसेनात्   ॥05-061-015॥
आवन्त्यकालिङ्गजयद्रथेषु; वेदिध्वजे तिष्ठति बाह्लिके च। <br>अहं हनिष्यामि सदा परेषां; सहस्रशश्चायुतशश्च योधान्   ॥05-061-016॥
यदैव रामे भगवत्यनिन्द्ये; ब्रह्म ब्रुवाणः कृतवांस्तदस्त्रम्। <br>तदैव धर्मश्च तपश्च नष्टं; वैकर्तनस्याधमपूरुषस्य   ॥05-061-017॥
अथोक्तवाक्ये नृपतौ तु भीष्मे; निक्षिप्य शस्त्राणि गते च कर्णे। <br>वैचित्रवीर्यस्य सुतोऽल्पबुद्धि;र्दुर्योधनः शांतनवं बभाषे   ॥05-061-018॥
