Verse
 दुर्योधन उवाच। <br>सदृशानां मनुष्येषु सर्वेषां तुल्यजन्मनाम्। <br>कथमेकान्ततस्तेषां पार्थानां मन्यसे जयम्   ॥05-062-001॥
सर्वे स्म समजातीयाः सर्वे मानुषयोनयः। <br>पितामह विजानीषे पार्थेषु विजयं कथम्   ॥05-062-002॥
नाहं भवति न द्रोणे न कृपे न च बाह्लिके। <br>अन्येषु च नरेन्द्रेषु पराक्रम्य समारभे   ॥05-062-003॥
अहं वैकर्तनः कर्णो भ्राता दुःशासनश्च मे। <br>पाण्डवान्समरे पञ्च हनिष्यामः शितैः शरैः   ॥05-062-004॥
ततो राजन्महायज्ञैर्विविधैर्भूरिदक्षिणैः। <br>ब्राह्मणांस्तर्पयिष्यामि गोभिरश्वैर्धनेन च   ॥05-062-005॥
 विदुर उवाच। <br>शकुनीनामिहार्थाय पाशं भूमावयोजयत्। <br>कश्चिच्छाकुनिकस्तात पूर्वेषामिति शुश्रुम   ॥05-062-006॥
तस्मिन्द्वौ शकुनौ बद्धौ युगपत्समपौरुषौ। <br>तावुपादाय तं पाशं जग्मतुः खचरावुभौ   ॥05-062-007॥
तौ विहायसमाक्रान्तौ दृष्ट्वा शाकुनिकस्तदा। <br>अन्वधावदनिर्विण्णो येन येन स्म गच्छतः   ॥05-062-008॥
तथा तमनुधावन्तं मृगयुं शकुनार्थिनम्। <br>आश्रमस्थो मुनिः कश्चिद्ददर्शाथ कृताह्निकः   ॥05-062-009॥
तावन्तरिक्षगौ शीघ्रमनुयान्तं महीचरम्। <br>श्लोकेनानेन कौरव्य पप्रच्छ स मुनिस्तदा   ॥05-062-010॥
विचित्रमिदमाश्चर्यं मृगहन्प्रतिभाति मे। <br>प्लवमानौ हि खचरौ पदातिरनुधावसि   ॥05-062-011॥
 शाकुनिक उवाच। <br>पाशमेकमुभावेतौ सहितौ हरतो मम। <br>यत्र वै विवदिष्येते तत्र मे वशमेष्यतः   ॥05-062-012॥
 विदुर उवाच। <br>तौ विवादमनुप्राप्तौ शकुनौ मृत्युसंधितौ। <br>विगृह्य च सुदुर्बुद्धी पृथिव्यां संनिपेततुः   ॥05-062-013॥
तौ युध्यमानौ संरब्धौ मृत्युपाशवशानुगौ। <br>उपसृत्यापरिज्ञातो जग्राह मृगयुस्तदा   ॥05-062-014॥
एवं ये ज्ञातयोऽर्थेषु मिथो गच्छन्ति विग्रहम्। <br>तेऽमित्रवशमायान्ति शकुनाविव विग्रहात्   ॥05-062-015॥
संभोजनं संकथनं संप्रश्नोऽथ समागमः। <br>एतानि ज्ञातिकार्याणि न विरोधः कदाचन   ॥05-062-016॥
यस्मिन्काले सुमनसः सर्वे वृद्धानुपासते। <br>सिंहगुप्तमिवारण्यमप्रधृष्या भवन्ति ते   ॥05-062-017॥
येऽर्थं संततमासाद्य दीना इव समासते। <br>श्रियं ते संप्रयच्छन्ति द्विषद्भ्यो भरतर्षभ   ॥05-062-018॥
धूमायन्ते व्यपेतानि ज्वलन्ति सहितानि च। <br>धृतराष्ट्रोल्मुकानीव ज्ञातयो भरतर्षभ   ॥05-062-019॥
इदमन्यत्प्रवक्ष्यामि यथा दृष्टं गिरौ मया। <br>श्रुत्वा तदपि कौरव्य यथा श्रेयस्तथा कुरु   ॥05-062-020॥
वयं किरातैः सहिता गच्छामो गिरिमुत्तरम्। <br>ब्राह्मणैर्देवकल्पैश्च विद्याजम्भकवातिकैः   ॥05-062-021॥
कुञ्जभूतं गिरिं सर्वमभितो गन्धमादनम्। <br>दीप्यमानौषधिगणं सिद्धगन्धर्वसेवितम्   ॥05-062-022॥
तत्र पश्यामहे सर्वे मधु पीतममाक्षिकम्। <br>मरुप्रपाते विषमे निविष्टं कुम्भसंमितम्   ॥05-062-023॥
आशीविषै रक्ष्यमाणं कुबेरदयितं भृशम्। <br>यत्प्राश्य पुरुषो मर्त्यो अमरत्वं निगच्छति   ॥05-062-024॥
अचक्षुर्लभते चक्षुर्वृद्धो भवति वै युवा। <br>इति ते कथयन्ति स्म ब्राह्मणा जम्भसाधकाः   ॥05-062-025॥
ततः किरातास्तद्दृष्ट्वा प्रार्थयन्तो महीपते। <br>विनेशुर्विषमे तस्मिन्ससर्पे गिरिगह्वरे   ॥05-062-026॥
तथैव तव पुत्रोऽयं पृथिवीमेक इच्छति। <br>मधु पश्यति संमोहात्प्रपातं नानुपश्यति   ॥05-062-027॥
दुर्योधनो योद्धुमनाः समरे सव्यसाचिना। <br>न च पश्यामि तेजोऽस्य विक्रमं वा तथाविधम्   ॥05-062-028॥
एकेन रथमास्थाय पृथिवी येन निर्जिता। <br>प्रतीक्षमाणो यो वीरः क्षमते वीक्षितं तव   ॥05-062-029॥
द्रुपदो मत्स्यराजश्च संक्रुद्धश्च धनंजयः। <br>न शेषयेयुः समरे वायुयुक्ता इवाग्नयः   ॥05-062-030॥
अङ्के कुरुष्व राजानं धृतराष्ट्र युधिष्ठिरम्। <br>युध्यतोर्हि द्वयोर्युद्धे नैकान्तेन भवेज्जयः   ॥05-062-031॥
