Verse
 कुन्त्युवाच। <br>अत्राप्युदाहरन्तीममितिहासं पुरातनम्। <br>विदुरायाश्च संवादं पुत्रस्य च परंतप   ॥05-131-001॥
अत्र श्रेयश्च भूयश्च यथा सा वक्तुमर्हति। <br>यशस्विनी मन्युमती कुले जाता विभावरी   ॥05-131-002॥
क्षत्रधर्मरता धन्या विदुरा दीर्घदर्शिनी। <br>विश्रुता राजसंसत्सु श्रुतवाक्या बहुश्रुता   ॥05-131-003॥
विदुरा नाम वै सत्या जगर्हे पुत्रमौरसम्। <br>निर्जितं सिन्धुराजेन शयानं दीनचेतसम्। <br>अनन्दनमधर्मज्ञं द्विषतां हर्षवर्धनम्   ॥05-131-004॥
न मया त्वं न पित्रासि जातः क्वाभ्यागतो ह्यसि। <br>निर्मन्युरुपशाखीयः पुरुषः क्लीबसाधनः   ॥05-131-005॥
यावज्जीवं निराशोऽसि कल्याणाय धुरं वह। <br>मात्मानमवमन्यस्व मैनमल्पेन बीभरः। <br>मनः कृत्वा सुकल्याणं मा भैस्त्वं प्रतिसंस्तभ   ॥05-131-006॥
उत्तिष्ठ हे कापुरुष मा शेष्वैवं पराजितः। <br>अमित्रान्नन्दयन्सर्वान्निर्मानो बन्धुशोकदः   ॥05-131-007॥
सुपूरा वै कुनदिका सुपूरो मूषिकाञ्जलिः। <br>सुसंतोषः कापुरुषः स्वल्पकेनापि तुष्यति   ॥05-131-008॥
अप्यरेरारुजन्दंष्ट्रामाश्वेव निधनं व्रज। <br>अपि वा संशयं प्राप्य जीवितेऽपि पराक्रम   ॥05-131-009॥
अप्यरेः श्येनवच्छिद्रं पश्येस्त्वं विपरिक्रमन्। <br>विनदन्वाथ वा तूष्णीं व्योम्नि वापरिशङ्कितः   ॥05-131-010॥
त्वमेवं प्रेतवच्छेषे कस्माद्वज्रहतो यथा। <br>उत्तिष्ठ हे कापुरुष मा शेष्वैवं पराजितः   ॥05-131-011॥
मास्तं गमस्त्वं कृपणो विश्रूयस्व स्वकर्मणा। <br>मा मध्ये मा जघन्ये त्वं माधो भूस्तिष्ठ चोर्जितः   ॥05-131-012॥
अलातं तिन्दुकस्येव मुहूर्तमपि विज्वल। <br>मा तुषाग्निरिवानर्चिः काकरङ्खा जिजीविषुः। <br>मुहूर्तं ज्वलितं श्रेयो न तु धूमायितं चिरम्   ॥05-131-013॥
मा ह स्म कस्यचिद्गेहे जनी राज्ञः खरीमृदुः। <br>कृत्वा मानुष्यकं कर्म सृत्वाजिं यावदुत्तमम्। <br>धर्मस्यानृण्यमाप्नोति न चात्मानं विगर्हते   ॥05-131-014॥
अलब्ध्वा यदि वा लब्ध्वा नानुशोचन्ति पण्डिताः। <br>आनन्तर्यं चारभते न प्राणानां धनायते   ॥05-131-015॥
