Verse
 वासुदेव उवाच। <br>भीष्मेणोक्ते ततो द्रोणो दुर्योधनमभाषत। <br>मध्ये नृपाणां भद्रं ते वचनं वचनक्षमः   ॥05-146-001॥
प्रातीपः शंतनुस्तात कुलस्यार्थे यथोत्थितः। <br>तथा देवव्रतो भीष्मः कुलस्यार्थे स्थितोऽभवत्   ॥05-146-002॥
ततः पाण्डुर्नरपतिः सत्यसंधो जितेन्द्रियः। <br>राजा कुरूणां धर्मात्मा सुव्रतः सुसमाहितः   ॥05-146-003॥
ज्येष्ठाय राज्यमददाद्धृतराष्ट्राय धीमते। <br>यवीयसस्तथा क्षत्तुः कुरुवंशविवर्धनः   ॥05-146-004॥
ततः सिंहासने राजन्स्थापयित्वैनमच्युतम्। <br>वनं जगाम कौरव्यो भार्याभ्यां सहितोऽनघ   ॥05-146-005॥
नीचैः स्थित्वा तु विदुर उपास्ते स्म विनीतवत्। <br>प्रेष्यवत्पुरुषव्याघ्रो वालव्यजनमुत्क्षिपन्   ॥05-146-006॥
ततः सर्वाः प्रजास्तात धृतराष्ट्रं जनेश्वरम्। <br>अन्वपद्यन्त विधिवद्यथा पाण्डुं नराधिपम्   ॥05-146-007॥
विसृज्य धृतराष्ट्राय राज्यं स विदुराय च। <br>चचार पृथिवीं पाण्डुः सर्वां परपुरंजयः   ॥05-146-008॥
कोशसंजनने दाने भृत्यानां चान्ववेक्षणे। <br>भरणे चैव सर्वस्य विदुरः सत्यसंगरः   ॥05-146-009॥
संधिविग्रहसंयुक्तो राज्ञः संवाहनक्रियाः। <br>अवैक्षत महातेजा भीष्मः परपुरंजयः   ॥05-146-010॥
सिंहासनस्थो नृपतिर्धृतराष्ट्रो महाबलः। <br>अन्वास्यमानः सततं विदुरेण महात्मना   ॥05-146-011॥
कथं तस्य कुले जातः कुलभेदं व्यवस्यसि। <br>संभूय भ्रातृभिः सार्धं भुङ्क्ष्व भोगाञ्जनाधिप   ॥05-146-012॥
ब्रवीम्यहं न कार्पण्यान्नार्थहेतोः कथंचन। <br>भीष्मेण दत्तमश्नामि न त्वया राजसत्तम   ॥05-146-013॥
