Verse
 वैशंपायन उवाच। <br>व्युषितायां रजन्यां तु राजा दुर्योधनस्ततः। <br>व्यभजत्तान्यनीकानि दश चैकं च भारत   ॥05-152-001॥
नरहस्तिरथाश्वानां सारं मध्यं च फल्गु च। <br>सर्वेष्वेतेष्वनीकेषु संदिदेश महीपतिः   ॥05-152-002॥
सानुकर्षाः सतूणीराः सवरूथाः सतोमराः। <br>सोपासङ्गाः सशक्तीकाः सनिषङ्गाः सपोथिकाः   ॥05-152-003॥
सध्वजाः सपताकाश्च सशरासनतोमराः। <br>रज्जुभिश्च विचित्राभिः सपाशाः सपरिस्तराः   ॥05-152-004॥
सकचग्रहविक्षेपाः सतैलगुडवालुकाः। <br>साशीविषघटाः सर्वे ससर्जरसपांसवः   ॥05-152-005॥
सघण्टाफलकाः सर्वे वासीवृक्षादनान्विताः। <br>व्याघ्रचर्मपरीवारा वृताश्च द्वीपिचर्मभिः   ॥05-152-006॥
सवस्तयः सशृङ्गाश्च सप्रासविविधायुधाः। <br>सकुठाराः सकुद्दालाः सतैलक्षौमसर्पिषः   ॥05-152-007॥
चित्रानीकाः सुवपुषो ज्वलिता इव पावकाः। <br>तथा कवचिनः शूराः शस्त्रेषु कृतनिश्रमाः   ॥05-152-008॥
कुलीना हययोनिज्ञाः सारथ्ये विनिवेशिताः। <br>बद्धारिष्टा बद्धकक्ष्या बद्धध्वजपताकिनः   ॥05-152-009॥
चतुर्युजो रथाः सर्वे सर्वे शस्त्रसमायुताः। <br>संहृष्टवाहनाः सर्वे सर्वे शतशरासनाः   ॥05-152-010॥
धुर्ययोर्हययोरेकस्तथान्यौ पार्ष्णिसारथी। <br>तौ चापि रथिनां श्रेष्ठौ रथी च हयवित्तथा   ॥05-152-011॥
नगराणीव गुप्तानि दुरादेयानि शत्रुभिः। <br>आसन्रथसहस्राणि हेममालीनि सर्वशः   ॥05-152-012॥
यथा रथास्तथा नागा बद्धकक्ष्याः स्वलंकृताः। <br>बभूवुः सप्त पुरुषा रत्नवन्त इवाद्रयः   ॥05-152-013॥
द्वावङ्कुशधरौ तेषु द्वावुत्तमधनुर्धरौ। <br>द्वौ वरासिधरौ राजन्नेकः शक्तिपताकधृक्   ॥05-152-014॥
गजैर्मत्तैः समाकीर्णं सवर्मायुधकोशकैः। <br>तद्बभूव बलं राजन्कौरव्यस्य सहस्रशः   ॥05-152-015॥
विचित्रकवचामुक्तैः सपताकैः स्वलंकृतैः। <br>सादिभिश्चोपसंपन्ना आसन्नयुतशो हयाः   ॥05-152-016॥
सुसंग्राहाः सुसंतोषा हेमभाण्डपरिच्छदाः। <br>अनेकशतसाहस्रास्ते च सादिवशे स्थिताः   ॥05-152-017॥
नानारूपविकाराश्च नानाकवचशस्त्रिणः। <br>पदातिनो नरास्तत्र बभूवुर्हेममालिनः   ॥05-152-018॥
रथस्यासन्दश गजा गजस्य दश वाजिनः। <br>नरा दश हयस्यासन्पादरक्षाः समन्ततः   ॥05-152-019॥
रथस्य नागाः पञ्चाशन्नागस्यासञ्शतं हयाः। <br>हयस्य पुरुषाः सप्त भिन्नसंधानकारिणः   ॥05-152-020॥
सेना पञ्चशतं नागा रथास्तावन्त एव च। <br>दशसेना च पृतना पृतना दशवाहिनी   ॥05-152-021॥
वाहिनी पृतना सेना ध्वजिनी सादिनी चमूः। <br>अक्षौहिणीति पर्यायैर्निरुक्ताथ वरूथिनी। <br>एवं व्यूढान्यनीकानि कौरवेयेण धीमता   ॥05-152-022॥
अक्षौहिण्यो दशैका च संख्याताः सप्त चैव ह। <br>अक्षौहिण्यस्तु सप्तैव पाण्डवानामभूद्बलम्। <br>अक्षौहिण्यो दशैका च कौरवाणामभूद्बलम्   ॥05-152-023॥
नराणां पञ्चपञ्चाशदेषा पत्तिर्विधीयते। <br>सेनामुखं च तिस्रस्ता गुल्म इत्यभिसंज्ञितः   ॥05-152-024॥
दश गुल्मा गणस्त्वासीद्गणास्त्वयुतशोऽभवन्। <br>दुर्योधनस्य सेनासु योत्स्यमानाः प्रहारिणः   ॥05-152-025॥
तत्र दुर्योधनो राजा शूरान्बुद्धिमतो नरान्। <br>प्रसमीक्ष्य महाबाहुश्चक्रे सेनापतींस्तदा   ॥05-152-026॥
पृथगक्षौहिणीनां च प्रणेतॄन्नरसत्तमान्। <br>विधिपूर्वं समानीय पार्थिवानभ्यषेचयत्   ॥05-152-027॥
कृपं द्रोणं च शल्यं च सैन्धवं च महारथम्। <br>सुदक्षिणं च काम्बोजं कृतवर्माणमेव च   ॥05-152-028॥
द्रोणपुत्रं च कर्णं च भूरिश्रवसमेव च। <br>शकुनिं सौबलं चैव बाह्लीकं च महारथम्   ॥05-152-029॥
दिवसे दिवसे तेषां प्रतिवेलं च भारत। <br>चक्रे स विविधाः संज्ञाः प्रत्यक्षं च पुनः पुनः   ॥05-152-030॥
तथा विनियताः सर्वे ये च तेषां पदानुगाः। <br>बभूवुः सैनिका राजन्राज्ञः प्रियचिकीर्षवः   ॥05-152-031॥
