Verse
 संजय उवाच। <br>उलूकस्त्वर्जुनं भूयो यथोक्तं वाक्यमब्रवीत्। <br>आशीविषमिव क्रुद्धं तुदन्वाक्यशलाकया   ॥05-159-001॥
तस्य तद्वचनं श्रुत्वा रुषिताः पाण्डवा भृशम्। <br>प्रागेव भृशसंक्रुद्धाः कैतव्येन प्रधर्षिताः   ॥05-159-002॥
नासनेष्ववतिष्ठन्त बाहूंश्चैव विचिक्षिपुः। <br>आशीविषा इव क्रुद्धा वीक्षां चक्रुः परस्परम्   ॥05-159-003॥
अवाक्शिरा भीमसेनः समुदैक्षत केशवम्। <br>नेत्राभ्यां लोहितान्ताभ्यामाशीविष इव श्वसन्   ॥05-159-004॥
आर्तं वातात्मजं दृष्ट्वा क्रोधेनाभिहतं भृशम्। <br>उत्स्मयन्निव दाशार्हः कैतव्यं प्रत्यभाषत   ॥05-159-005॥
प्रयाहि शीघ्रं कैतव्य ब्रूयाश्चैव सुयोधनम्। <br>श्रुतं वाक्यं गृहीतोऽर्थो मतं यत्ते तथास्तु तत्   ॥05-159-006॥
मद्वचश्चापि भूयस्ते वक्तव्यः स सुयोधनः। <br>श्व इदानीं प्रदृश्येथाः पुरुषो भव दुर्मते   ॥05-159-007॥
मन्यसे यच्च मूढ त्वं न योत्स्यति जनार्दनः। <br>सारथ्येन वृतः पार्थैरिति त्वं न बिभेषि च   ॥05-159-008॥
जघन्यकालमप्येतद्भवेद्यत्सर्वपार्थिवान्। <br>निर्दहेयमहं क्रोधात्तृणानीव हुताशनः   ॥05-159-009॥
युधिष्ठिरनियोगात्तु फल्गुनस्य महात्मनः। <br>करिष्ये युध्यमानस्य सारथ्यं विदितात्मनः   ॥05-159-010॥
यद्युत्पतसि लोकांस्त्रीन्यद्याविशसि भूतलम्। <br>तत्र तत्रार्जुनरथं प्रभाते द्रक्ष्यसेऽग्रतः   ॥05-159-011॥
यच्चापि भीमसेनस्य मन्यसे मोघगर्जितम्। <br>दुःशासनस्य रुधिरं पीतमित्यवधार्यताम्   ॥05-159-012॥
न त्वां समीक्षते पार्थो नापि राजा युधिष्ठिरः। <br>न भीमसेनो न यमौ प्रतिकूलप्रभाषिणम्   ॥05-159-013॥
