Verse
 भीष्म उवाच। <br>समुद्यतोऽयं भारो मे सुमहान्सागरोपमः। <br>धार्तराष्ट्रस्य संग्रामे वर्षपूगाभिचिन्तितः   ॥05-166-001॥
तस्मिन्नभ्यागते काले प्रतप्ते लोमहर्षणे। <br>मिथोभेदो न मे कार्यस्तेन जीवसि सूतज   ॥05-166-002॥
न ह्यहं नाद्य विक्रम्य स्थविरोऽपि शिशोस्तव। <br>युद्धश्रद्धां रणे छिन्द्यां जीवितस्य च सूतज   ॥05-166-003॥
जामदग्न्येन रामेण महास्त्राणि प्रमुञ्चता। <br>न मे व्यथाभवत्काचित्त्वं तु मे किं करिष्यसि   ॥05-166-004॥
कामं नैतत्प्रशंसन्ति सन्तोऽऽत्मबलसंस्तवम्। <br>वक्ष्यामि तु त्वां संतप्तो निहीन कुलपांसन   ॥05-166-005॥
समेतं पार्थिवं क्षत्रं काशिराज्ञः स्वयंवरे। <br>निर्जित्यैकरथेनैव यत्कन्यास्तरसा हृताः   ॥05-166-006॥
ईदृशानां सहस्राणि विशिष्टानामथो पुनः। <br>मयैकेन निरस्तानि ससैन्यानि रणाजिरे   ॥05-166-007॥
त्वां प्राप्य वैरपुरुषं कुरूणामनयो महान्। <br>उपस्थितो विनाशाय यतस्व पुरुषो भव   ॥05-166-008॥
युध्यस्व पार्थं समरे येन विस्पर्धसे सह। <br>द्रक्ष्यामि त्वां विनिर्मुक्तमस्माद्युद्धात्सुदुर्मते   ॥05-166-009॥
 संजय उवाच। <br>तमुवाच ततो राजा धार्तराष्ट्रो महामनाः। <br>मामवेक्षस्व गाङ्गेय कार्यं हि महदुद्यतम्   ॥05-166-010॥
चिन्त्यतामिदमेवाग्रे मम निःश्रेयसं परम्। <br>उभावपि भवन्तौ मे महत्कर्म करिष्यतः   ॥05-166-011॥
भूयश्च श्रोतुमिच्छामि परेषां रथसत्तमान्। <br>ये चैवातिरथास्तत्र तथैव रथयूथपाः   ॥05-166-012॥
बलाबलममित्राणां श्रोतुमिच्छामि कौरव। <br>प्रभातायां रजन्यां वै इदं युद्धं भविष्यति   ॥05-166-013॥
 भीष्म उवाच। <br>एते रथास्ते संख्यातास्तथैवातिरथा नृप। <br>ये चाप्यर्धरथा राजन्पाण्डवानामतः शृणु   ॥05-166-014॥
यदि कौतूहलं तेऽद्य पाण्डवानां बले नृप। <br>रथसंख्यां महाबाहो सहैभिर्वसुधाधिपैः   ॥05-166-015॥
स्वयं राजा रथोदारः पाण्डवः कुन्तिनन्दनः। <br>अग्निवत्समरे तात चरिष्यति न संशयः   ॥05-166-016॥
भीमसेनस्तु राजेन्द्र रथोऽष्टगुणसंमितः। <br>नागायुतबलो मानी तेजसा न स मानुषः   ॥05-166-017॥
