Verse
 भीष्म उवाच। <br>शिखण्डिवाक्यं श्रुत्वाथ स यक्षो भरतर्षभ। <br>प्रोवाच मनसा चिन्त्य दैवेनोपनिपीडितः। <br>भवितव्यं तथा तद्धि मम दुःखाय कौरव   ॥05-193-001॥
भद्रे कामं करिष्यामि समयं तु निबोध मे। <br>किंचित्कालान्तरं दास्ये पुंलिङ्गं स्वमिदं तव। <br>आगन्तव्यं त्वया काले सत्यमेतद्ब्रवीमि ते   ॥05-193-002॥
प्रभुः संकल्पसिद्धोऽस्मि कामरूपी विहंगमः। <br>मत्प्रसादात्पुरं चैव त्राहि बन्धूंश्च केवलान्   ॥05-193-003॥
स्त्रीलिङ्गं धारयिष्यामि त्वदीयं पार्थिवात्मजे। <br>सत्यं मे प्रतिजानीहि करिष्यामि प्रियं तव   ॥05-193-004॥
 शिखण्ड्युवाच। <br>प्रतिदास्यामि भगवँल्लिङ्गं पुनरिदं तव। <br>किंचित्कालान्तरं स्त्रीत्वं धारयस्व निशाचर   ॥05-193-005॥
प्रतिप्रयाते दाशार्णे पार्थिवे हेमवर्मणि। <br>कन्यैवाहं भविष्यामि पुरुषस्त्वं भविष्यसि   ॥05-193-006॥
 भीष्म उवाच। <br>इत्युक्त्वा समयं तत्र चक्राते तावुभौ नृप। <br>अन्योन्यस्यानभिद्रोहे तौ संक्रामयतां ततः   ॥05-193-007॥
स्त्रीलिङ्गं धारयामास स्थूणो यक्षो नराधिप। <br>यक्षरूपं च तद्दीप्तं शिखण्डी प्रत्यपद्यत   ॥05-193-008॥
ततः शिखण्डी पाञ्चाल्यः पुंस्त्वमासाद्य पार्थिव। <br>विवेश नगरं हृष्टः पितरं च समासदत्। <br>यथावृत्तं तु तत्सर्वमाचख्यौ द्रुपदस्य च   ॥05-193-009॥
द्रुपदस्तस्य तच्छ्रुत्वा हर्षमाहारयत्परम्। <br>सभार्यस्तच्च सस्मार महेश्वरवचस्तदा   ॥05-193-010॥
ततः संप्रेषयामास दशार्णाधिपतेर्नृप। <br>पुरुषोऽयं मम सुतः श्रद्धत्तां मे भवानिति   ॥05-193-011॥
अथ दाशार्णको राजा सहसाभ्यागमत्तदा। <br>पाञ्चालराजं द्रुपदं दुःखामर्षसमन्वितः   ॥05-193-012॥
ततः काम्पिल्यमासाद्य दशार्णाधिपतिस्तदा। <br>प्रेषयामास सत्कृत्य दूतं ब्रह्मविदां वरम्   ॥05-193-013॥
ब्रूहि मद्वचनाद्दूत पाञ्चाल्यं तं नृपाधमम्। <br>यद्वै कन्यां स्वकन्यार्थे वृतवानसि दुर्मते। <br>फलं तस्यावलेपस्य द्रक्ष्यस्यद्य न संशयः   ॥05-193-014॥
एवमुक्तस्तु तेनासौ ब्राह्मणो राजसत्तम। <br>दूतः प्रयातो नगरं दाशार्णनृपचोदितः   ॥05-193-015॥
तत आसादयामास पुरोधा द्रुपदं पुरे। <br>तस्मै पाञ्चालको राजा गामर्घ्यं च सुसत्कृतम्। <br>प्रापयामास राजेन्द्र सह तेन शिखण्डिना   ॥05-193-016॥
तां पूजां नाभ्यनन्दत्स वाक्यं चेदमुवाच ह। <br>यदुक्तं तेन वीरेण राज्ञा काञ्चनवर्मणा   ॥05-193-017॥
यत्तेऽहमधमाचार दुहित्रर्थेऽस्मि वञ्चितः। <br>तस्य पापस्य करणात्फलं प्राप्नुहि दुर्मते   ॥05-193-018॥
देहि युद्धं नरपते ममाद्य रणमूर्धनि। <br>उद्धरिष्यामि ते सद्यः सामात्यसुतबान्धवम्   ॥05-193-019॥
तदुपालम्भसंयुक्तं श्रावितः किल पार्थिवः। <br>दशार्णपतिदूतेन मन्त्रिमध्ये पुरोधसा   ॥05-193-020॥
अब्रवीद्भरतश्रेष्ठ द्रुपदः प्रणयानतः। <br>यदाह मां भवान्ब्रह्मन्संबन्धिवचनाद्वचः। <br>तस्योत्तरं प्रतिवचो दूत एव वदिष्यति   ॥05-193-021॥
ततः संप्रेषयामास द्रुपदोऽपि महात्मने। <br>हिरण्यवर्मणे दूतं ब्राह्मणं वेदपारगम्   ॥05-193-022॥
समागम्य तु राज्ञा स दशार्णपतिना तदा। <br>तद्वाक्यमाददे राजन्यदुक्तं द्रुपदेन ह   ॥05-193-023॥
आगमः क्रियतां व्यक्तं कुमारो वै सुतो मम। <br>मिथ्यैतदुक्तं केनापि तन्न श्रद्धेयमित्युत   ॥05-193-024॥
ततः स राजा द्रुपदस्य श्रुत्वा; विमर्शयुक्तो युवतीर्वरिष्ठाः। <br>संप्रेषयामास सुचारुरूपाः; शिखण्डिनं स्त्री पुमान्वेति वेत्तुम्   ॥05-193-025॥
ताः प्रेषितास्तत्त्वभावं विदित्वा; प्रीत्या राज्ञे तच्छशंसुर्हि सर्वम्। <br>शिखण्डिनं पुरुषं कौरवेन्द्र; दशार्णराजाय महानुभावम्   ॥05-193-026॥
ततः कृत्वा तु राजा स आगमं प्रीतिमानथ। <br>संबन्धिना समागम्य हृष्टो वासमुवास ह   ॥05-193-027॥
शिखण्डिने च मुदितः प्रादाद्वित्तं जनेश्वरः। <br>हस्तिनोऽश्वांश्च गाश्चैव दास्यो बहुशतास्तथा। <br>पूजितश्च प्रतिययौ निवर्त्य तनयां किल   ॥05-193-028॥
विनीतकिल्बिषे प्रीते हेमवर्मणि पार्थिवे। <br>प्रतियाते तु दाशार्णे हृष्टरूपा शिखण्डिनी   ॥05-193-029॥
कस्यचित्त्वथ कालस्य कुबेरो नरवाहनः। <br>लोकानुयात्रां कुर्वाणः स्थूणस्यागान्निवेशनम्   ॥05-193-030॥
