Verse
 धृतराष्ट्र उवाच। <br>जम्बूखण्डस्त्वया प्रोक्तो यथावदिह संजय। <br>विष्कम्भमस्य प्रब्रूहि परिमाणं च तत्त्वतः   ॥06-012-001॥
समुद्रस्य प्रमाणं च सम्यगच्छिद्रदर्शन। <br>शाकद्वीपं च मे ब्रूहि कुशद्वीपं च संजय   ॥06-012-002॥
शाल्मलं चैव तत्त्वेन क्रौञ्चद्वीपं तथैव च। <br>ब्रूहि गावल्गणे सर्वं राहोः सोमार्कयोस्तथा   ॥06-012-003॥
 संजय उवाच। <br>राजन्सुबहवो द्वीपा यैरिदं संततं जगत्। <br>सप्त त्वहं प्रवक्ष्यामि चन्द्रादित्यौ ग्रहांस्तथा   ॥06-012-004॥
अष्टादश सहस्राणि योजनानां विशां पते। <br>षट्शतानि च पूर्णानि विष्कम्भो जम्बुपर्वतः   ॥06-012-005॥
लावणस्य समुद्रस्य विष्कम्भो द्विगुणः स्मृतः। <br>नानाजनपदाकीर्णो मणिविद्रुमचित्रितः   ॥06-012-006॥
नैकधातुविचित्रैश्च पर्वतैरुपशोभितः। <br>सिद्धचारणसंकीर्णः सागरः परिमण्डलः   ॥06-012-007॥
शाकद्वीपं च वक्ष्यामि यथावदिह पार्थिव। <br>शृणु मे त्वं यथान्यायं ब्रुवतः कुरुनन्दन   ॥06-012-008॥
जम्बूद्वीपप्रमाणेन द्विगुणः स नराधिप। <br>विष्कम्भेण महाराज सागरोऽपि विभागशः। <br>क्षीरोदो भरतश्रेष्ठ येन संपरिवारितः   ॥06-012-009॥
तत्र पुण्या जनपदा न तत्र म्रियते जनः। <br>कुत एव हि दुर्भिक्षं क्षमातेजोयुता हि ते   ॥06-012-010॥
शाकद्वीपस्य संक्षेपो यथावद्भरतर्षभ। <br>उक्त एष महाराज किमन्यच्छ्रोतुमिच्छसि   ॥06-012-011॥
 धृतराष्ट्र उवाच। <br>शाकद्वीपस्य संक्षेपो यथावदिह संजय। <br>उक्तस्त्वया महाभाग विस्तरं ब्रूहि तत्त्वतः   ॥06-012-012॥
 संजय उवाच। <br>तथैव पर्वता राजन्सप्तात्र मणिभूषिताः। <br>रत्नाकरास्तथा नद्यस्तेषां नामानि मे शृणु। <br>अतीवगुणवत्सर्वं तत्र पुण्यं जनाधिप   ॥06-012-013॥
देवर्षिगन्धर्वयुतः परमो मेरुरुच्यते। <br>प्रागायतो महाराज मलयो नाम पर्वतः। <br>यतो मेघाः प्रवर्तन्ते प्रभवन्ति च सर्वशः   ॥06-012-014॥
ततः परेण कौरव्य जलधारो महागिरिः। <br>यत्र नित्यमुपादत्ते वासवः परमं जलम्। <br>यतो वर्षं प्रभवति वर्षाकाले जनेश्वर   ॥06-012-015॥
उच्चैर्गिरी रैवतको यत्र नित्यं प्रतिष्ठितः। <br>रेवती दिवि नक्षत्रं पितामहकृतो विधिः   ॥06-012-016॥
उत्तरेण तु राजेन्द्र श्यामो नाम महागिरिः। <br>यतः श्यामत्वमापन्नाः प्रजा जनपदेश्वर   ॥06-012-017॥
 धृतराष्ट्र उवाच। <br>सुमहान्संशयो मेऽद्य प्रोक्तं संजय यत्त्वया। <br>प्रजाः कथं सूतपुत्र संप्राप्ताः श्यामतामिह   ॥06-012-018॥
 संजय उवाच। <br>सर्वेष्वेव महाप्राज्ञ द्वीपेषु कुरुनन्दन। <br>गौरः कृष्णश्च वर्णौ द्वौ तयोर्वर्णान्तरं नृप   ॥06-012-019॥
श्यामो यस्मात्प्रवृत्तो वै तत्ते वक्ष्यामि भारत। <br>आस्तेऽत्र भगवान्कृष्णस्तत्कान्त्या श्यामतां गतः   ॥06-012-020॥
ततः परं कौरवेन्द्र दुर्गशैलो महोदयः। <br>केसरी केसरयुतो यतो वातः प्रवायति   ॥06-012-021॥
तेषां योजनविष्कम्भो द्विगुणः प्रविभागशः। <br>वर्षाणि तेषु कौरव्य संप्रोक्तानि मनीषिभिः   ॥06-012-022॥
महामेरुर्महाकाशो जलदः कुमुदोत्तरः। <br>जलधारात्परो राजन्सुकुमार इति स्मृतः   ॥06-012-023॥
रैवतस्य तु कौमारः श्यामस्य तु मणीचकः। <br>केसरस्याथ मोदाकी परेण तु महापुमान्   ॥06-012-024॥
परिवार्य तु कौरव्य दैर्घ्यं ह्रस्वत्वमेव च। <br>जम्बूद्वीपेन विख्यातस्तस्य मध्ये महाद्रुमः   ॥06-012-025॥
शाको नाम महाराज तस्य द्वीपस्य मध्यगः। <br>तत्र पुण्या जनपदाः पूज्यते तत्र शंकरः   ॥06-012-026॥
तत्र गच्छन्ति सिद्धाश्च चारणा दैवतानि च। <br>धार्मिकाश्च प्रजा राजंश्चत्वारोऽतीव भारत   ॥06-012-027॥
वर्णाः स्वकर्मनिरता न च स्तेनोऽत्र दृश्यते। <br>दीर्घायुषो महाराज जरामृत्युविवर्जिताः   ॥06-012-028॥
प्रजास्तत्र विवर्धन्ते वर्षास्विव समुद्रगाः। <br>नद्यः पुण्यजलास्तत्र गङ्गा च बहुधागतिः   ॥06-012-029॥
सुकुमारी कुमारी च सीता कावेरका तथा। <br>महानदी च कौरव्य तथा मणिजला नदी। <br>इक्षुवर्धनिका चैव तथा भरतसत्तम   ॥06-012-030॥
ततः प्रवृत्ताः पुण्योदा नद्यः कुरुकुलोद्वह। <br>सहस्राणां शतान्येव यतो वर्षति वासवः   ॥06-012-031॥
न तासां नामधेयानि परिमाणं तथैव च। <br>शक्यते परिसंख्यातुं पुण्यास्ता हि सरिद्वराः   ॥06-012-032॥
तत्र पुण्या जनपदाश्चत्वारो लोकसंमताः। <br>मगाश्च मशकाश्चैव मानसा मन्दगास्तथा   ॥06-012-033॥
मगा ब्राह्मणभूयिष्ठाः स्वकर्मनिरता नृप। <br>मशकेषु तु राजन्या धार्मिकाः सर्वकामदाः   ॥06-012-034॥
मानसेषु महाराज वैश्याः कर्मोपजीविनः। <br>सर्वकामसमायुक्ताः शूरा धर्मार्थनिश्चिताः। <br>शूद्रास्तु मन्दगे नित्यं पुरुषा धर्मशीलिनः   ॥06-012-035॥
न तत्र राजा राजेन्द्र न दण्डो न च दण्डिकाः। <br>स्वधर्मेणैव धर्मं च ते रक्षन्ति परस्परम्   ॥06-012-036॥
एतावदेव शक्यं तु तस्मिन्द्वीपे प्रभाषितुम्। <br>एतावदेव श्रोतव्यं शाकद्वीपे महौजसि   ॥06-012-037॥
