Verse
 धृतराष्ट्र उवाच। <br>सूर्योदये संजय के नु पूर्वं; युयुत्सवो हृष्यमाणा इवासन्। <br>मामका वा भीष्मनेत्राः समीके; पाण्डवा वा भीमनेत्रास्तदानीम्   ॥06-020-001॥
केषां जघन्यौ सोमसूर्यौ सवायू; केषां सेनां श्वापदा व्याभषन्त। <br>केषां यूनां मुखवर्णाः प्रसन्नाः; सर्वं ह्येतद्ब्रूहि तत्त्वं यथावत्   ॥06-020-002॥
 संजय उवाच। <br>उभे सेने तुल्यमिवोपयाते; उभे व्यूहे हृष्टरूपे नरेन्द्र। <br>उभे चित्रे वनराजिप्रकाशे; तथैवोभे नागरथाश्वपूर्णे   ॥06-020-003॥
उभे सेने बृहती भीमरूपे; तथैवोभे भारत दुर्विषह्ये। <br>तथैवोभे स्वर्गजयाय सृष्टे; तथा ह्युभे सत्पुरुषार्यगुप्ते   ॥06-020-004॥
पश्चान्मुखाः कुरवो धार्तराष्ट्राः; स्थिताः पार्थाः प्राङ्मुखा योत्स्यमानाः। <br>दैत्येन्द्रसेनेव च कौरवाणां; देवेन्द्रसेनेव च पाण्डवानाम्   ॥06-020-005॥
शुक्रो वायुः पृष्ठतः पाण्डवानां; धार्तराष्ट्राञ्श्वापदा व्याभषन्त। <br>गजेन्द्राणां मदगन्धांश्च तीव्रा;न्न सेहिरे तव पुत्रस्य नागाः   ॥06-020-006॥
दुर्योधनो हस्तिनं पद्मवर्णं; सुवर्णकक्ष्यं जातिबलं प्रभिन्नम्। <br>समास्थितो मध्यगतः कुरूणां; संस्तूयमानो बन्दिभिर्मागधैश्च   ॥06-020-007॥
चन्द्रप्रभं श्वेतमस्यातपत्रं; सौवर्णी स्रग्भ्राजते चोत्तमाङ्गे। <br>तं सर्वतः शकुनिः पार्वतीयैः; सार्धं गान्धारैः पाति गान्धारराजः   ॥06-020-008॥
भीष्मोऽग्रतः सर्वसैन्यस्य वृद्धः; श्वेतच्छत्रः श्वेतधनुः सशङ्खः। <br>श्वेतोष्णीषः पाण्डुरेण ध्वजेन; श्वेतैरश्वैः श्वेतशैलप्रकाशः   ॥06-020-009॥
तस्य सैन्यं धार्तराष्ट्राश्च सर्वे; बाह्लीकानामेकदेशः शलश्च। <br>ये चाम्बष्ठाः क्षत्रिया ये च सिन्धौ; तथा सौवीराः पञ्चनदाश्च शूराः   ॥06-020-010॥
शोणैर्हयै रुक्मरथो महात्मा; द्रोणो महाबाहुरदीनसत्त्वः। <br>आस्ते गुरुः प्रयशाः सर्वराज्ञां; पश्चाच्चमूमिन्द्र इवाभिरक्षन्   ॥06-020-011॥
वार्द्धक्षत्रिः सर्वसैन्यस्य मध्ये; भूरिश्रवाः पुरुमित्रो जयश्च। <br>शाल्वा मत्स्याः केकयाश्चापि सर्वे; गजानीकैर्भ्रातरो योत्स्यमानाः   ॥06-020-012॥
शारद्वतश्चोत्तरधूर्महात्मा; महेष्वासो गौतमश्चित्रयोधी। <br>शकैः किरातैर्यवनैः पह्लवैश्च; सार्धं चमूमुत्तरतोऽभिपाति   ॥06-020-013॥
महारथैरन्धकवृष्णिभोजैः; सौराष्ट्रकैर्नैरृतैरात्तशस्त्रैः। <br>बृहद्बलः कृतवर्माभिगुप्तो; बलं त्वदीयं दक्षिणतोऽभिपाति   ॥06-020-014॥
संशप्तकानामयुतं रथानां; मृत्युर्जयो वार्जुनस्येति सृष्टाः। <br>येनार्जुनस्तेन राजन्कृतास्त्राः; प्रयाता वै ते त्रिगर्ताश्च शूराः   ॥06-020-015॥
साग्रं शतसहस्रं तु नागानां तव भारत। <br>नागे नागे रथशतं शतं चाश्वा रथे रथे   ॥06-020-016॥
अश्वेऽश्वे दश धानुष्का धानुष्के दश चर्मिणः। <br>एवं व्यूढान्यनीकानि भीष्मेण तव भारत   ॥06-020-017॥
अव्यूहन्मानुषं व्यूहं दैवं गान्धर्वमासुरम्। <br>दिवसे दिवसे प्राप्ते भीष्मः शांतनवोऽग्रणीः   ॥06-020-018॥
महारथौघविपुलः समुद्र इव पर्वणि। <br>भीष्मेण धार्तराष्ट्राणां व्यूहः प्रत्यङ्मुखो युधि   ॥06-020-019॥
अनन्तरूपा ध्वजिनी त्वदीया; नरेन्द्र भीमा न तु पाण्डवानाम्। <br>तां त्वेव मन्ये बृहतीं दुष्प्रधृष्यां; यस्या नेतारौ केशवश्चार्जुनश्च   ॥06-020-020॥
