Verse
 संजय उवाच। <br>ततो युधिष्ठिरो राजा स्वां सेनां समचोदयत्। <br>प्रतिव्यूहन्ननीकानि भीष्मस्य भरतर्षभ   ॥06-022-001॥
यथोद्दिष्टान्यनीकानि प्रत्यव्यूहन्त पाण्डवाः। <br>स्वर्गं परमभीप्सन्तः सुयुद्धेन कुरूद्वहाः   ॥06-022-002॥
मध्ये शिखण्डिनोऽनीकं रक्षितं सव्यसाचिना। <br>धृष्टद्युम्नस्य च स्वयं भीमेन परिपालितम्   ॥06-022-003॥
अनीकं दक्षिणं राजन्युयुधानेन पालितम्। <br>श्रीमता सात्वताग्र्येण शक्रेणेव धनुष्मता   ॥06-022-004॥
महेन्द्रयानप्रतिमं रथं तु; सोपस्करं हाटकरत्नचित्रम्। <br>युधिष्ठिरः काञ्चनभाण्डयोक्त्रं; समास्थितो नागकुलस्य मध्ये   ॥06-022-005॥
समुच्छ्रितं दान्तशलाकमस्य; सुपाण्डुरं छत्रमतीव भाति। <br>प्रदक्षिणं चैनमुपाचरन्ति; महर्षयः संस्तुतिभिर्नरेन्द्रम्   ॥06-022-006॥
पुरोहिताः शत्रुवधं वदन्तो; महर्षिवृद्धाः श्रुतवन्त एव। <br>जप्यैश्च मन्त्रैश्च तथौषधीभिः; समन्ततः स्वस्त्ययनं प्रचक्रुः   ॥06-022-007॥
ततः स वस्त्राणि तथैव गाश्च; फलानि पुष्पाणि तथैव निष्कान्। <br>कुरूत्तमो ब्राह्मणसान्महात्मा; कुर्वन्ययौ शक्र इवामरेभ्यः   ॥06-022-008॥
सहस्रसूर्यः शतकिङ्किणीकः; परार्ध्यजाम्बूनदहेमचित्रः। <br>रथोऽर्जुनस्याग्निरिवार्चिमाली; विभ्राजते श्वेतहयः सुचक्रः   ॥06-022-009॥
तमास्थितः केशवसंगृहीतं; कपिध्वजं गाण्डिवबाणहस्तः। <br>धनुर्धरो यस्य समः पृथिव्यां; न विद्यते नो भविता वा कदाचित्   ॥06-022-010॥
उद्वर्तयिष्यंस्तव पुत्रसेना;मतीव रौद्रं स बिभर्ति रूपम्। <br>अनायुधो यः सुभुजो भुजाभ्यां; नराश्वनागान्युधि भस्म कुर्यात्   ॥06-022-011॥
स भीमसेनः सहितो यमाभ्यां; वृकोदरो वीररथस्य गोप्ता। <br>तं प्रेक्ष्य मत्तर्षभसिंहखेलं; लोके महेन्द्रप्रतिमानकल्पम्   ॥06-022-012॥
समीक्ष्य सेनाग्रगतं दुरासदं; प्रविव्यथुः पङ्कगता इवोष्ट्राः। <br>वृकोदरं वारणराजदर्पं; योधास्त्वदीया भयविग्नसत्त्वाः   ॥06-022-013॥
अनीकमध्ये तिष्ठन्तं राजपुत्रं दुरासदम्। <br>अब्रवीद्भरतश्रेष्ठं गुडाकेशं जनार्दनः   ॥06-022-014॥
 वासुदेव उवाच। <br>य एष गोप्ता प्रतपन्बलस्थो; यो नः सेनां सिंह इवेक्षते च। <br>स एष भीष्मः कुरुवंशकेतु;र्येनाहृतास्त्रिंशतो वाजिमेधाः   ॥06-022-015॥
एतान्यनीकानि महानुभावं; गूहन्ति मेघा इव घर्मरश्मिम्। <br>एतानि हत्वा पुरुषप्रवीर; काङ्क्षस्व युद्धं भरतर्षभेण   ॥06-022-016॥
 धृतराष्ट्र उवाच। <br>केषां प्रहृष्टास्तत्राग्रे योधा युध्यन्ति संजय। <br>उदग्रमनसः केऽत्र के वा दीना विचेतसः   ॥06-022-017॥
के पूर्वं प्राहरंस्तत्र युद्धे हृदयकम्पने। <br>मामकाः पाण्डवानां वा तन्ममाचक्ष्व संजय   ॥06-022-018॥
कस्य सेनासमुदये गन्धमाल्यसमुद्भवः। <br>वाचः प्रदक्षिणाश्चैव योधानामभिगर्जताम्   ॥06-022-019॥
 संजय उवाच। <br>उभयोः सेनयोस्तत्र योधा जहृषिरे मुदा। <br>स्रग्धूपपानगन्धानामुभयत्र समुद्भवः   ॥06-022-020॥
संहतानामनीकानां व्यूढानां भरतर्षभ। <br>संसर्पतामुदीर्णानां विमर्दः सुमहानभूत्   ॥06-022-021॥
वादित्रशब्दस्तुमुलः शङ्खभेरीविमिश्रितः। <br>कुञ्जराणां च नदतां सैन्यानां च प्रहृष्यताम्   ॥06-022-022॥
