Verse
 श्रीभगवानुवाच। <br>परं भूयः प्रवक्ष्यामि ज्ञानानां ज्ञानमुत्तमम्। <br>यज्ज्ञात्वा मुनयः सर्वे परां सिद्धिमितो गताः   ॥06-036-001॥
इदं ज्ञानमुपाश्रित्य मम साधर्म्यमागताः। <br>सर्गेऽपि नोपजायन्ते प्रलये न व्यथन्ति च   ॥06-036-002॥
मम योनिर्महद्ब्रह्म तस्मिन्गर्भं दधाम्यहम्। <br>संभवः सर्वभूतानां ततो भवति भारत   ॥06-036-003॥
सर्वयोनिषु कौन्तेय मूर्तयः संभवन्ति याः। <br>तासां ब्रह्म महद्योनिरहं बीजप्रदः पिता   ॥06-036-004॥
सत्त्वं रजस्तम इति गुणाः प्रकृतिसंभवाः। <br>निबध्नन्ति महाबाहो देहे देहिनमव्ययम्   ॥06-036-005॥
तत्र सत्त्वं निर्मलत्वात्प्रकाशकमनामयम्। <br>सुखसङ्गेन बध्नाति ज्ञानसङ्गेन चानघ   ॥06-036-006॥
रजो रागात्मकं विद्धि तृष्णासङ्गसमुद्भवम्। <br>तन्निबध्नाति कौन्तेय कर्मसङ्गेन देहिनम्   ॥06-036-007॥
तमस्त्वज्ञानजं विद्धि मोहनं सर्वदेहिनाम्। <br>प्रमादालस्यनिद्राभिस्तन्निबध्नाति भारत   ॥06-036-008॥
सत्त्वं सुखे सञ्जयति रजः कर्मणि भारत। <br>ज्ञानमावृत्य तु तमः प्रमादे सञ्जयत्युत   ॥06-036-009॥
रजस्तमश्चाभिभूय सत्त्वं भवति भारत। <br>रजः सत्त्वं तमश्चैव तमः सत्त्वं रजस्तथा   ॥06-036-010॥
सर्वद्वारेषु देहेऽस्मिन्प्रकाश उपजायते। <br>ज्ञानं यदा तदा विद्याद्विवृद्धं सत्त्वमित्युत   ॥06-036-011॥
लोभः प्रवृत्तिरारम्भः कर्मणामशमः स्पृहा। <br>रजस्येतानि जायन्ते विवृद्धे भरतर्षभ   ॥06-036-012॥
अप्रकाशोऽप्रवृत्तिश्च प्रमादो मोह एव च। <br>तमस्येतानि जायन्ते विवृद्धे कुरुनन्दन   ॥06-036-013॥
यदा सत्त्वे प्रवृद्धे तु प्रलयं याति देहभृत्। <br>तदोत्तमविदां लोकानमलान्प्रतिपद्यते   ॥06-036-014॥
रजसि प्रलयं गत्वा कर्मसङ्गिषु जायते। <br>तथा प्रलीनस्तमसि मूढयोनिषु जायते   ॥06-036-015॥
कर्मणः सुकृतस्याहुः सात्त्विकं निर्मलं फलम्। <br>रजसस्तु फलं दुःखमज्ञानं तमसः फलम्   ॥06-036-016॥
सत्त्वात्संजायते ज्ञानं रजसो लोभ एव च। <br>प्रमादमोहौ तमसो भवतोऽज्ञानमेव च   ॥06-036-017॥
ऊर्ध्वं गच्छन्ति सत्त्वस्था मध्ये तिष्ठन्ति राजसाः। <br>जघन्यगुणवृत्तस्था अधो गच्छन्ति तामसाः   ॥06-036-018॥
नान्यं गुणेभ्यः कर्तारं यदा द्रष्टानुपश्यति। <br>गुणेभ्यश्च परं वेत्ति मद्भावं सोऽधिगच्छति   ॥06-036-019॥
गुणानेतानतीत्य त्रीन्देही देहसमुद्भवान्। <br>जन्ममृत्युजरादुःखैर्विमुक्तोऽमृतमश्नुते   ॥06-036-020॥
 अर्जुन उवाच। <br>कैर्लिङ्गैस्त्रीन्गुणानेतानतीतो भवति प्रभो। <br>किमाचारः कथं चैतांस्त्रीन्गुणानतिवर्तते   ॥06-036-021॥
 श्रीभगवानुवाच। <br>प्रकाशं च प्रवृत्तिं च मोहमेव च पाण्डव। <br>न द्वेष्टि संप्रवृत्तानि न निवृत्तानि काङ्क्षति   ॥06-036-022॥
उदासीनवदासीनो गुणैर्यो न विचाल्यते। <br>गुणा वर्तन्त इत्येव योऽवतिष्ठति नेङ्गते   ॥06-036-023॥
समदुःखसुखः स्वस्थः समलोष्टाश्मकाञ्चनः। <br>तुल्यप्रियाप्रियो धीरस्तुल्यनिन्दात्मसंस्तुतिः   ॥06-036-024॥
मानावमानयोस्तुल्यस्तुल्यो मित्रारिपक्षयोः। <br>सर्वारम्भपरित्यागी गुणातीतः स उच्यते   ॥06-036-025॥
मां च योऽव्यभिचारेण भक्तियोगेन सेवते। <br>स गुणान्समतीत्यैतान्ब्रह्मभूयाय कल्पते   ॥06-036-026॥
ब्रह्मणो हि प्रतिष्ठाहममृतस्याव्ययस्य च। <br>शाश्वतस्य च धर्मस्य सुखस्यैकान्तिकस्य च   ॥06-036-027॥
