Verse
 संजय उवाच। <br>स तुद्यमानस्तु शरैर्धनंजयः; पदा हतो नाग इव श्वसन्बली। <br>बाणेन बाणेन महारथानां; चिच्छेद चापानि रणे प्रसह्य   ॥06-081-001॥
संछिद्य चापानि च तानि राज्ञां; तेषां रणे वीर्यवतां क्षणेन। <br>विव्याध बाणैर्युगपन्महात्मा; निःशेषतां तेष्वथ मन्यमानः   ॥06-081-002॥
निपेतुराजौ रुधिरप्रदिग्धा;स्ते ताडिताः शक्रसुतेन राजन्। <br>विभिन्नगात्राः पतितोत्तमाङ्गा; गतासवश्छिन्नतनुत्रकायाः   ॥06-081-003॥
महीं गताः पार्थबलाभिभूता; विचित्ररूपा युगपद्विनेशुः। <br>दृष्ट्वा हतांस्तान्युधि राजपुत्रां;स्त्रिगर्तराजः प्रययौ क्षणेन   ॥06-081-004॥
तेषां रथानामथ पृष्ठगोपा; द्वात्रिंशदन्येऽब्यपतन्त पार्थम्। <br>तथैव ते संपरिवार्य पार्थं; विकृष्य चापानि महारवाणि। <br>अवीवृषन्बाणमहौघवृष्ट्या; यथा गिरिं तोयधरा जलौघैः   ॥06-081-005॥
संपीड्यमानस्तु शरौघवृष्ट्या; धनंजयस्तान्युधि जातरोषः। <br>षष्ट्या शरैः संयति तैलधौतै;र्जघान तानप्यथ पृष्ठगोपान्   ॥06-081-006॥
षष्टिं रथांस्तानवजित्य संख्ये; धनंजयः प्रीतमना यशस्वी। <br>अथात्वरद्भीष्मवधाय जिष्णु;र्बलानि राज्ञां समरे निहत्य   ॥06-081-007॥
त्रिगर्तराजो निहतान्समीक्ष्य; महारथांस्तानथ बन्धुवर्गान्। <br>रणे पुरस्कृत्य नराधिपांस्ता;ञ्जगाम पार्थं त्वरितो वधाय   ॥06-081-008॥
अभिद्रुतं चास्त्रभृतां वरिष्ठं; धनंजयं वीक्ष्य शिखण्डिमुख्याः। <br>अभ्युद्ययुस्ते शितशस्त्रहस्ता; रिरक्षिषन्तो रथमर्जुनस्य   ॥06-081-009॥
पार्थोऽपि तानापततः समीक्ष्य; त्रिगर्तराज्ञा सहितान्नृवीरान्। <br>विध्वंसयित्वा समरे धनुष्मा;न्गाण्डीवमुक्तैर्निशितैः पृषत्कैः। <br>भीष्मं यियासुर्युधि संददर्श; दुर्योधनं सैन्धवादींश्च राज्ञः   ॥06-081-010॥
आवारयिष्णूनभिसंप्रयाय; मुहूर्तमायोध्य बलेन वीरः। <br>उत्सृज्य राजानमनन्तवीर्यो; जयद्रथादींश्च नृपान्महौजाः। <br>ययौ ततो भीमबलो मनस्वी; गाङ्गेयमाजौ शरचापपाणिः   ॥06-081-011॥
युधिष्ठिरश्चोग्रबलो महात्मा; समाययौ त्वरितो जातकोपः। <br>मद्राधिपं समभित्यज्य संख्ये; स्वभागमाप्तं तमनन्तकीर्तिः। <br>सार्धं स माद्रीसुतभीमसेनै;र्भीष्मं ययौ शांतनवं रणाय   ॥06-081-012॥
तैः संप्रयुक्तः स महारथाग्र्यै;र्गङ्गासुतः समरे चित्रयोधी। <br>न विव्यथे शांतनवो महात्मा; समागतैः पाण्डुसुतैः समस्तैः   ॥06-081-013॥
अथैत्य राजा युधि सत्यसंधो; जयद्रथोऽत्युग्रबलो मनस्वी। <br>चिच्छेद चापानि महारथानां; प्रसह्य तेषां धनुषा वरेण   ॥06-081-014॥
युधिष्ठिरं भीमसेनं यमौ च; पार्थं तथा युधि संजातकोपः। <br>दुर्योधनः क्रोधविषो महात्मा; जघान बाणैरनलप्रकाशैः   ॥06-081-015॥
कृपेण शल्येन शलेन चैव; तथा विभो चित्रसेनेन चाजौ। <br>विद्धाः शरैस्तेऽतिविवृद्धकोपै;र्देवा यथा दैत्यगणैः समेतैः   ॥06-081-016॥
छिन्नायुधं शांतनवेन राजा; शिखण्डिनं प्रेक्ष्य च जातकोपः। <br>अजातशत्रुः समरे महात्मा; शिखण्डिनं क्रुद्ध उवाच वाक्यम्   ॥06-081-017॥
उक्त्वा तथा त्वं पितुरग्रतो मा;महं हनिष्यामि महाव्रतं तम्। <br>भीष्मं शरौघैर्विमलार्कवर्णैः; सत्यं वदामीति कृता प्रतिज्ञा   ॥06-081-018॥
त्वया न चैनां सफलां करोषि; देवव्रतं यन्न निहंसि युद्धे। <br>मिथ्याप्रतिज्ञो भव मा नृवीर; रक्षस्व धर्मं च कुलं यशश्च   ॥06-081-019॥
प्रेक्षस्व भीष्मं युधि भीमवेगं; सर्वांस्तपन्तं मम सैन्यसंघान्। <br>शरौघजालैरतितिग्मतेजैः; कालं यथा मृत्युकृतं क्षणेन   ॥06-081-020॥
निकृत्तचापः समरानपेक्षः; पराजितः शांतनवेन राज्ञा। <br>विहाय बन्धूनथ सोदरांश्च; क्व यास्यसे नानुरूपं तवेदम्   ॥06-081-021॥
दृष्ट्वा हि भीष्मं तमनन्तवीर्यं; भग्नं च सैन्यं द्रवमाणमेवम्। <br>भीतोऽसि नूनं द्रुपदस्य पुत्र; तथा हि ते मुखवर्णोऽप्रहृष्टः   ॥06-081-022॥
आज्ञायमानेऽपि धनंजयेन; महाहवे संप्रसक्ते नृवीर। <br>कथं हि भीष्मात्प्रथितः पृथिव्यां; भयं त्वमद्य प्रकरोषि वीर   ॥06-081-023॥
स धर्मराजस्य वचो निशम्य; रूक्षाक्षरं विप्रलापानुबद्धम्। <br>प्रत्यादेशं मन्यमानो महात्मा; प्रतत्वरे भीष्मवधाय राजन्   ॥06-081-024॥
तमापतन्तं महता जवेन; शिखण्डिनं भीष्ममभिद्रवन्तम्। <br>आवारयामास हि शल्य एनं; शस्त्रेण घोरेण सुदुर्जयेन   ॥06-081-025॥
स चापि दृष्ट्वा समुदीर्यमाण;मस्त्रं युगान्ताग्निसमप्रभावम्। <br>नासौ व्यमुह्यद्द्रुपदस्य पुत्रो; राजन्महेन्द्रप्रतिमप्रभावः   ॥06-081-026॥
तस्थौ च तत्रैव महाधनुष्मा;ञ्शरैस्तदस्त्रं प्रतिबाधमानः। <br>अथाददे वारुणमन्यदस्त्रं; शिखण्ड्यथोग्रं प्रतिघाताय तस्य। <br>तदस्त्रमस्त्रेण विदार्यमाणं; खस्थाः सुरा ददृशुः पार्थिवाश्च   ॥06-081-027॥
भीष्मस्तु राजन्समरे महात्मा; धनुः सुचित्रं ध्वजमेव चापि। <br>छित्त्वानदत्पाण्डुसुतस्य वीरो; युधिष्ठिरस्याजमीढस्य राज्ञः   ॥06-081-028॥
ततः समुत्सृज्य धनुः सबाणं; युधिष्ठिरं वीक्ष्य भयाभिभूतम्। <br>गदां प्रगृह्याभिपपात संख्ये; जयद्रथं भीमसेनः पदातिः   ॥06-081-029॥
तमापतन्तं महता जवेन; जयद्रथः सगदं भीमसेनम्। <br>विव्याध घोरैर्यमदण्डकल्पैः; शितैः शरैः पञ्चशतैः समन्तात्   ॥06-081-030॥
अचिन्तयित्वा स शरांस्तरस्वी; वृकोदरः क्रोधपरीतचेताः। <br>जघान वाहान्समरे समस्ता;नारट्टजान्सिन्धुराजस्य संख्ये   ॥06-081-031॥
