Verse
 संजय उवाच। <br>एवं व्यूढेष्वनीकेषु भूयिष्ठमनुवर्तिषु। <br>ब्रह्मलोकपराः सर्वे समपद्यन्त भारत   ॥06-113-001॥
न ह्यनीकमनीकेन समसज्जत संकुले। <br>न रथा रथिभिः सार्धं न पदाताः पदातिभिः   ॥06-113-002॥
अश्वा नाश्वैरयुध्यन्त न गजा गजयोधिभिः। <br>महान्व्यतिकरो रौद्रः सेनयोः समपद्यत   ॥06-113-003॥
नरनागरथेष्वेवं व्यवकीर्णेषु सर्वशः। <br>क्षये तस्मिन्महारौद्रे निर्विशेषमजायत   ॥06-113-004॥
ततः शल्यः कृपश्चैव चित्रसेनश्च भारत। <br>दुःशासनो विकर्णश्च रथानास्थाय सत्वराः। <br>पाण्डवानां रणे शूरा ध्वजिनीं समकम्पयन्   ॥06-113-005॥
सा वध्यमाना समरे पाण्डुसेना महात्मभिः। <br>त्रातारं नाध्यगच्छद्वै मज्जमानेव नौर्जले   ॥06-113-006॥
यथा हि शैशिरः कालो गवां मर्माणि कृन्तति। <br>तथा पाण्डुसुतानां वै भीष्मो मर्माण्यकृन्तत   ॥06-113-007॥
अतीव तव सैन्यस्य पार्थेन च महात्मना। <br>नगमेघप्रतीकाशाः पातिता बहुधा गजाः   ॥06-113-008॥
मृद्यमानाश्च दृश्यन्ते पार्थेन नरयूथपाः। <br>इषुभिस्ताड्यमानाश्च नाराचैश्च सहस्रशः   ॥06-113-009॥
पेतुरार्तस्वरं कृत्वा तत्र तत्र महागजाः। <br>आबद्धाभरणैः कायैर्निहतानां महात्मनाम्   ॥06-113-010॥
छन्नमायोधनं रेजे शिरोभिश्च सकुण्डलैः। <br>तस्मिन्नतिमहाभीमे राजन्वीरवरक्षये। <br>भीष्मे च युधि विक्रान्ते पाण्डवे च धनंजये   ॥06-113-011॥
ते पराक्रान्तमालोक्य राजन्युधि पितामहम्। <br>न न्यवर्तन्त कौरव्या ब्रह्मलोकपुरस्कृताः   ॥06-113-012॥
इच्छन्तो निधनं युद्धे स्वर्गं कृत्वा परायणम्। <br>पाण्डवानभ्यवर्तन्त तस्मिन्वीरवरक्षये   ॥06-113-013॥
पाण्डवापि महाराज स्मरन्तो विविधान्बहून्। <br>क्लेशान्कृतान्सपुत्रेण त्वया पूर्वं नराधिप   ॥06-113-014॥
भयं त्यक्त्वा रणे शूरा ब्रह्मलोकपुरस्कृताः। <br>तावकांस्तव पुत्रांश्च योधयन्ति स्म हृष्टवत्   ॥06-113-015॥
सेनापतिस्तु समरे प्राह सेनां महारथः। <br>अभिद्रवत गाङ्गेयं सोमकाः सृञ्जयैः सह   ॥06-113-016॥
सेनापतिवचः श्रुत्वा सोमकाः सह सृञ्जयैः। <br>अभ्यद्रवन्त गाङ्गेयं शस्त्रवृष्ट्या समन्ततः   ॥06-113-017॥
वध्यमानस्ततो राजन्पिता शांतनवस्तव। <br>अमर्षवशमापन्नो योधयामास सृञ्जयान्   ॥06-113-018॥
तस्य कीर्तिमतस्तात पुरा रामेण धीमता। <br>संप्रदत्तास्त्रशिक्षा वै परानीकविनाशिनी   ॥06-113-019॥
