Verse
 धृतराष्ट्र उवाच। <br>सर्वेषामेव मे ब्रूहि रथचिह्नानि संजय। <br>ये द्रोणमभ्यवर्तन्त क्रुद्धा भीमपुरोगमाः   ॥07-022-001॥
 संजय उवाच। <br>ऋश्यवर्णैर्हयैर्दृष्ट्वा व्यायच्छन्तं वृकोदरम्। <br>रजताश्वस्ततः शूरः शैनेयः संन्यवर्तत   ॥07-022-002॥
दर्शनीयास्तु काम्बोजाः शुकपत्रपरिच्छदाः। <br>वहन्तो नकुलं शीघ्रं तावकानभिदुद्रुवुः   ॥07-022-003॥
कृष्णास्तु मेघसंकाशाः सहदेवमुदायुधम्। <br>भीमवेगा नरव्याघ्रमवहन्वातरंहसः   ॥07-022-004॥
हेमोत्तमप्रतिच्छन्नैर्हयैर्वातसमैर्जवे। <br>अभ्यवर्तन्त सैन्यानि सर्वाण्येव युधिष्ठिरम्   ॥07-022-005॥
राज्ञस्त्वनन्तरं राजा पाञ्चाल्यो द्रुपदोऽभवत्। <br>जातरूपमयच्छत्रः सर्वैः स्वैरभिरक्षितः   ॥07-022-006॥
ललामैर्हरिभिर्युक्तैः सर्वशब्दक्षमैर्युधि। <br>राज्ञां मध्ये महेष्वासः शान्तभीरभ्यवर्तत   ॥07-022-007॥
तं विराटोऽन्वयात्पश्चात्सह शूरैर्महारथैः। <br>केकयाश्च शिखण्डी च धृष्टकेतुस्तथैव च। <br>स्वैः स्वैः सैन्यैः परिवृता मत्स्यराजानमन्वयुः   ॥07-022-008॥
ते तु पाटलपुष्पाणां समवर्णा हयोत्तमाः। <br>वहमाना व्यराजन्त मत्स्यस्यामित्रघातिनः   ॥07-022-009॥
हारिद्रसमवर्णास्तु जवना हेममालिनः। <br>पुत्रं विराटराजस्य सत्वराः समुदावहन्   ॥07-022-010॥
इन्द्रगोपकवर्णैस्तु भ्रातरः पञ्च केकयाः। <br>जातरूपसमाभासः सर्वे लोहितकध्वजाः   ॥07-022-011॥
ते हेममालिनः शूराः सर्वे युद्धविशारदाः। <br>वर्षन्त इव जीमूताः प्रत्यदृश्यन्त दंशिताः   ॥07-022-012॥
आमपात्रनिभाकाराः पाञ्चाल्यममितौजसम्। <br>दान्तास्ताम्रारुणा युक्ताः शिखण्डिनमुदावहन्   ॥07-022-013॥
तथा द्वादशसाहस्राः पाञ्चालानां महारथाः। <br>तेषां तु षट्सहस्राणि ये शिखण्डिनमन्वयुः   ॥07-022-014॥
पुत्रं तु शिशुपालस्य नरसिंहस्य मारिष। <br>आक्रीडन्तो वहन्ति स्म सारङ्गशबला हयाः   ॥07-022-015॥
धृष्टकेतुश्च चेदीनामृषभोऽतिबलोदितः। <br>काम्बोजैः शबलैरश्वैरभ्यवर्तत दुर्जयः   ॥07-022-016॥
