Verse
 संजय उवाच। <br>समरेऽत्युग्रकर्माणः कर्मभिर्व्यञ्जितश्रमाः। <br>सकृष्णाः पाण्डवाः पञ्च देवैरपि दुरासदाः   ॥07-033-001॥
सत्त्वकर्मान्वयैर्बुद्ध्या प्रकृत्या यशसा श्रिया। <br>नैव भूतो न भविता कृष्णतुल्यगुणः पुमान्   ॥07-033-002॥
सत्यधर्मपरो दाता विप्रपूजादिभिर्गुणैः। <br>सदैव त्रिदिवं प्राप्तो राजा किल युधिष्ठिरः   ॥07-033-003॥
युगान्ते चान्तको राजञ्जामदग्न्यश्च वीर्यवान्। <br>रणस्थो भीमसेनश्च कथ्यन्ते सदृशास्त्रयः   ॥07-033-004॥
प्रतिज्ञाकर्मदक्षस्य रणे गाण्डीवधन्वनः। <br>उपमां नाधिगच्छामि पार्थस्य सदृशीं क्षितौ   ॥07-033-005॥
गुरुवात्सल्यमत्यन्तं नैभृत्यं विनयो दमः। <br>नकुलेऽप्रातिरूप्यं च शौर्यं च नियतानि षट्   ॥07-033-006॥
श्रुतगाम्भीर्यमाधुर्यसत्त्ववीर्यपराक्रमैः। <br>सदृशो देवयोर्वीरः सहदेवः किलाश्विनोः   ॥07-033-007॥
ये च कृष्णे गुणाः स्फीताः पाण्डवेषु च ये गुणाः। <br>अभिमन्यौ किलैकस्था दृश्यन्ते गुणसंचयाः   ॥07-033-008॥
युधिष्ठिरस्य धैर्येण कृष्णस्य चरितेन च। <br>कर्मभिर्भीमसेनस्य सदृशो भीमकर्मणः   ॥07-033-009॥
धनंजयस्य रूपेण विक्रमेण श्रुतेन च। <br>विनयात्सहदेवस्य सदृशो नकुलस्य च   ॥07-033-010॥
 धृतराष्ट्र उवाच। <br>अभिमन्युमहं सूत सौभद्रमपराजितम्। <br>श्रोतुमिच्छामि कार्त्स्न्येन कथमायोधने हतः   ॥07-033-011॥
 संजय उवाच। <br>चक्रव्यूहो महाराज आचार्येणाभिकल्पितः। <br>तत्र शक्रोपमाः सर्वे राजानो विनिवेशिताः   ॥07-033-012॥
संघातो राजपुत्राणां सर्वेषामभवत्तदा। <br>कृताभिसमयाः सर्वे सुवर्णविकृतध्वजाः   ॥07-033-013॥
रक्ताम्बरधराः सर्वे सर्वे रक्तविभूषणाः। <br>सर्वे रक्तपताकाश्च सर्वे वै हेममालिनः   ॥07-033-014॥
तेषां दशसहस्राणि बभूवुर्दृढधन्विनाम्। <br>पौत्रं तव पुरस्कृत्य लक्ष्मणं प्रियदर्शनम्   ॥07-033-015॥
अन्योन्यसमदुःखास्ते अन्योन्यसमसाहसाः। <br>अन्योन्यं स्पर्धमानाश्च अन्योन्यस्य हिते रताः   ॥07-033-016॥
कर्णदुःशासनकृपैर्वृतो राजा महारथैः। <br>देवराजोपमः श्रीमाञ्श्वेतच्छत्राभिसंवृतः। <br>चामरव्यजनाक्षेपैरुदयन्निव भास्करः   ॥07-033-017॥
प्रमुखे तस्य सैन्यस्य द्रोणोऽवस्थितनायके। <br>सिन्धुराजस्तथातिष्ठच्छ्रीमान्मेरुरिवाचलः   ॥07-033-018॥
सिन्धुराजस्य पार्श्वस्था अश्वत्थामपुरोगमाः। <br>सुतास्तव महाराज त्रिंशत्त्रिदशसंनिभाः   ॥07-033-019॥
गान्धारराजः कितवः शल्यो भूरिश्रवास्तथा। <br>पार्श्वतः सिन्धुराजस्य व्यराजन्त महारथाः   ॥07-033-020॥
