Verse
 धृतराष्ट्र उवाच। <br>तथा प्रमथमानं तं महेष्वासमजिह्मगैः। <br>आर्जुनिं मामकाः सर्वे के त्वेनं समवाकिरन्   ॥07-037-001॥
 संजय उवाच। <br>शृणु राजन्कुमारस्य रणे विक्रीडितं महत्। <br>बिभित्सतो रथानीकं भारद्वाजेन रक्षितम्   ॥07-037-002॥
मद्रेशं सादितं दृष्ट्वा सौभाद्रेणाशुगै रणे। <br>शल्यादवरजः क्रुद्धः किरन्बाणान्समभ्ययात्   ॥07-037-003॥
स विद्ध्वा दशभिर्बाणैः साश्वयन्तारमार्जुनिम्। <br>उदक्रोशन्महाशब्दं तिष्ठ तिष्ठेति चाब्रवीत्   ॥07-037-004॥
तस्यार्जुनिः शिरोग्रीवं पाणिपादं धनुर्हयान्। <br>छत्रं ध्वजं नियन्तारं त्रिवेणुं शम्युपस्करम्   ॥07-037-005॥
चक्रे युगेषां तूणीराननुकर्षं च सायकैः। <br>पताकां चक्रगोप्तारौ सर्वोपकरणानि च। <br>व्यधमल्लाघवात्तच्च ददृशे नास्य कश्चन   ॥07-037-006॥
स पपात क्षितौ क्षीणः प्रविद्धाभरणाम्बरः। <br>वायुनेव महाचैत्यः संभग्नोऽमिततेजसा। <br>अनुगाश्चास्य वित्रस्ताः प्राद्रवन्सर्वतोदिशम्   ॥07-037-007॥
आर्जुनेः कर्म तद्दृष्ट्व प्रणेदुश्च समन्ततः। <br>नादेन सर्वभूतानि साधु साध्विति भारत   ॥07-037-008॥
शल्यभ्रातर्यथारुग्णे बहुशस्तस्य सैनिकाः। <br>कुलाधिवासनामानि श्रावयन्तोऽर्जुनात्मजम्   ॥07-037-009॥
अभ्यवर्तन्त संक्रुद्धा विविधायुधपाणयः। <br>रथैरश्वैर्गजैश्चान्ये पादातैश्च बलोत्कटाः   ॥07-037-010॥
बाणशब्देन महता खुरनेमिस्वनेन च। <br>हुंकारैः क्ष्वेडितोत्क्रुष्टैः सिंहनादैः सगर्जितैः   ॥07-037-011॥
ज्यातलत्रस्वनैरन्ये गर्जन्तोऽर्जुननन्दनम्। <br>ब्रुवन्तश्च न नो जीवन्मोक्ष्यसे जीवतामिति   ॥07-037-012॥
तांस्तथा ब्रुवतो दृष्ट्वा सौभद्रः प्रहसन्निव। <br>यो यः स्म प्राहरत्पूर्वं तं तं विव्याध पत्रिभिः   ॥07-037-013॥
संदर्शयिष्यन्नस्त्राणि चित्राणि च लघूनि च। <br>आर्जुनिः समरे शूरो मृदुपूर्वमयुध्यत   ॥07-037-014॥
वासुदेवादुपात्तं यद्यदस्त्रं च धनंजयात्। <br>अदर्शयत तत्कार्ष्णिः कृष्णाभ्यामविशेषयन्   ॥07-037-015॥
दूरमस्यन्गुरुं भारं साधयंश्च पुनः पुनः। <br>संदधद्विसृजंश्चेषून्निर्विशेषमदृश्यत   ॥07-037-016॥
चापमण्डलमेवास्य विस्फुरद्दिक्ष्वदृश्यत। <br>तमो घ्नतः सुदीप्तस्य सवितुर्मण्डलं यथा   ॥07-037-017॥
ज्याशब्दः शुश्रुवे तस्य तलशब्दश्च दारुणः। <br>महाशनिमुचः काले पयोदस्येव निस्वनः   ॥07-037-018॥
ह्रीमानमर्षी सौभद्रो मानकृत्प्रियदर्शनः। <br>संमिमानयिषुर्वीरानिष्वासांश्चाप्ययुध्यत   ॥07-037-019॥
मृदुर्भूत्वा महाराज दारुणः समपद्यत। <br>वर्षाभ्यतीतो भगवाञ्शरदीव दिवाकरः   ॥07-037-020॥
शरान्विचित्रान्महतो रुक्मपुङ्खाञ्शिलाशितान्। <br>मुमोच शतशः क्रुद्धो गभस्तीनिव भास्करः   ॥07-037-021॥
क्षुरप्रैर्वत्सदन्तैश्च विपाठैश्च महायशाः। <br>नाराचैरर्धनाराचैर्भल्लैरज्ञलिकैरपि   ॥07-037-022॥
अवाकिरद्रथानीकं भारद्वाजस्य पश्यतः। <br>ततस्तत्सैन्यमभवद्विमुखं शरपीडितम्   ॥07-037-023॥
