Verse
 संजय उवाच। <br>तयोः संवदतोरेव कृष्णदारुकयोस्तदा। <br>सात्यगाद्रजनी राजन्नथ राजान्वबुध्यत   ॥07-058-001॥
पठन्ति पाणिस्वनिका मागधा मधुपर्किकाः। <br>वैतालिकाश्च सूताश्च तुष्टुवुः पुरुषर्षभम्   ॥07-058-002॥
नर्तकाश्चाप्यनृत्यन्त जगुर्गीतानि गायकाः। <br>कुरुवंशस्तवार्थानि मधुरं रक्तकण्ठिनः   ॥07-058-003॥
मृदङ्गा झर्झरा भेर्यः पणवानकगोमुखाः। <br>आडम्बराश्च शङ्खाश्च दुन्दुभ्यश्च महास्वनाः   ॥07-058-004॥
एवमेतानि सर्वाणि तथान्यान्यपि भारत। <br>वादयन्ति स्म संहृष्टाः कुशलाः साधुशिक्षिताः   ॥07-058-005॥
स मेघसमनिर्घोषो महाञ्शब्दोऽस्पृशद्दिवम्। <br>पार्थिवप्रवरं सुप्तं युधिष्ठिरमबोधयत्   ॥07-058-006॥
प्रतिबुद्धः सुखं सुप्तो महार्हे शयनोत्तमे। <br>उत्थायावश्यकार्यार्थं ययौ स्नानगृहं ततः   ॥07-058-007॥
ततः शुक्लाम्बराः स्नातास्तरुणाष्टोत्तरं शतम्। <br>स्नापकाः काञ्चनैः कुम्भैः पूर्णैः समुपतस्थिरे   ॥07-058-008॥
भद्रासने सूपविष्टः परिधायाम्बरं लघु। <br>सस्नौ चन्दनसंयुक्तैः पानीयैरभिमन्त्रितैः   ॥07-058-009॥
उत्सादितः कषायेण बलवद्भिः सुशिक्षितैः। <br>आप्लुतः साधिवासेन जलेन च सुगन्धिना   ॥07-058-010॥
हरिणा चन्दनेनाङ्गमनुलिप्य महाभुजः। <br>स्रग्वी चाक्लिष्टवसनः प्राङ्मुखः प्राञ्जलिः स्थितः   ॥07-058-011॥
जजाप जप्यं कौन्तेयः सतां मार्गमनुष्ठितः। <br>ततोऽग्निशरणं दीप्तं प्रविवेश विनीतवत्   ॥07-058-012॥
समिद्धं स पवित्राभिरग्निमाहुतिभिस्तथा। <br>मन्त्रपूताभिरर्चित्वा निश्चक्राम गृहात्ततः   ॥07-058-013॥
द्वितीयां पुरुषव्याघ्रः कक्ष्यां निष्क्रम्य पार्थिवः। <br>तत्र वेदविदो विप्रानपश्यद्ब्राह्मणर्षभान्   ॥07-058-014॥
दान्तान्वेदव्रतस्नातान्स्नातानवभृथेषु च। <br>सहस्रानुचरान्सौरानष्टौ दशशतानि च   ॥07-058-015॥
अक्षतैः सुमनोभिश्च वाचयित्वा महाभुजः। <br>तान्द्विजान्मधुसर्पिर्भ्यां फलैः श्रेष्ठैः सुमङ्गलैः   ॥07-058-016॥
प्रादात्काञ्चनमेकैकं निष्कं विप्राय पाण्डवः। <br>अलंकृतं चाश्वशतं वासांसीष्टाश्च दक्षिणाः   ॥07-058-017॥
तथा गाः कपिला दोग्ध्रीः सर्षभाः पाण्डुनन्दनः। <br>हेमशृङ्गी रूप्यखुरा दत्त्वा चक्रे प्रदक्षिणम्   ॥07-058-018॥
स्वस्तिकान्वर्धमानांश्च नन्द्यावर्तांश्च काञ्चनान्। <br>माल्यं च जलकुम्भांश्च ज्वलितं च हुताशनम्   ॥07-058-019॥
पूर्णान्यक्षतपात्राणि रुचकान्रोचनांस्तथा। <br>स्वलंकृताः शुभाः कन्या दधिसर्पिर्मधूदकम्   ॥07-058-020॥
मङ्गल्यान्पक्षिणश्चैव यच्चान्यदपि पूजितम्। <br>दृष्ट्वा स्पृष्ट्वा च कौन्तेयो बाह्यां कक्ष्यामगात्ततः   ॥07-058-021॥
ततस्तस्य महाबाहोस्तिष्ठतः परिचारकाः। <br>सौवर्णं सर्वतोभद्रं मुक्तावैडूर्यमण्डितम्   ॥07-058-022॥
परार्ध्यास्तरणास्तीर्णं सोत्तरच्छदमृद्धिमत्। <br>विश्वकर्मकृतं दिव्यमुपजह्रुर्वरासनम्   ॥07-058-023॥
तत्र तस्योपविष्टस्य भूषणानि महात्मनः। <br>उपजह्रुर्महार्हाणि प्रेष्याः शुभ्राणि सर्वशः   ॥07-058-024॥
युक्ताभरणवेषस्य कौन्तेयस्य महात्मनः। <br>रूपमासीन्महाराज द्विषतां शोकवर्धनम्   ॥07-058-025॥
पाण्डरैश्चन्द्ररश्म्याभैर्हेमदण्डैश्च चामरैः। <br>दोधूयमानः शुशुभे विद्युद्भिरिव तोयदः   ॥07-058-026॥
संस्तूयमानः सूतैश्च वन्द्यमानश्च बन्दिभिः। <br>उपगीयमानो गन्धर्वैरास्ते स्म कुरुनन्दनः   ॥07-058-027॥
ततो मुहूर्तादासीत्तु बन्दिनां निस्वनो महान्। <br>नेमिघोषश्च रथिनां खुरघोषश्च वाजिनाम्   ॥07-058-028॥
ह्रादेन गजघण्टानां शङ्खानां निनदेन च। <br>नराणां पदशब्दैश्च कम्पतीव स्म मेदिनी   ॥07-058-029॥
ततः शुद्धान्तमासाद्य जानुभ्यां भूतले स्थितः। <br>शिरसा वन्दनीयं तमभिवन्द्य जगत्पतिम्   ॥07-058-030॥
कुण्डली बद्धनिस्त्रिंशः संनद्धकवचो युवा। <br>अभिप्रणम्य शिरसा द्वाःस्थो धर्मात्मजाय वै। <br>न्यवेदयद्धृषीकेशमुपयातं महात्मने   ॥07-058-031॥
सोऽब्रवीत्पुरुषव्याघ्रः स्वागतेनैव माधवम्। <br>अर्घ्यं चैवासनं चास्मै दीयतां परमार्चितम्   ॥07-058-032॥
ततः प्रवेश्य वार्ष्णेयमुपवेश्य वरासने। <br>सत्कृत्य सत्कृतस्तेन पर्यपृच्छद्युधिष्ठिरः   ॥07-058-033॥
