Verse
 संजय उवाच। <br>ततो व्यूढेष्वनीकेषु समुत्क्रुष्टेषु मारिष। <br>ताड्यमानासु भेरीषु मृदङ्गेषु नदत्सु च   ॥07-064-001॥
अनीकानां च संह्रादे वादित्राणां च निस्वने। <br>प्रध्मापितेषु शङ्खेषु संनादे लोमहर्षणे   ॥07-064-002॥
अभिहारयत्सु शनकैर्भरतेषु युयुत्सुषु। <br>रौद्रे मुहूर्ते संप्राप्ते सव्यसाची व्यदृश्यत   ॥07-064-003॥
वडानां वायसानां च पुरस्तात्सव्यसाचिनः। <br>बहुलानि सहस्राणि प्राक्रीडंस्तत्र भारत   ॥07-064-004॥
मृगाश्च घोरसंनादाः शिवाश्चाशिवदर्शनाः। <br>दक्षिणेन प्रयातानामस्माकं प्राणदंस्तथा   ॥07-064-005॥
सनिर्घाता ज्वलन्त्यश्च पेतुरुल्काः समन्ततः। <br>चचाल च मही कृत्स्ना भये घोरे समुत्थिते   ॥07-064-006॥
विष्वग्वाताः सनिर्घाता रूक्षाः शर्करवर्षिणः। <br>ववुरायाति कौन्तेये संग्रामे समुपस्थिते   ॥07-064-007॥
नाकुलिस्तु शतानीको धृष्टद्युम्नश्च पार्षतः। <br>पाण्डवानामनीकानि प्राज्ञौ तौ व्यूहतुस्तदा   ॥07-064-008॥
ततो रथसहस्रेण द्विरदानां शतेन च। <br>त्रिभिरश्वसहस्रैश्च पदातीनां शतैः शतैः   ॥07-064-009॥
अध्यर्धमात्रे धनुषां सहस्रे तनयस्तव। <br>अग्रतः सर्वसैन्यानां स्थित्वा दुर्मर्षणोऽब्रवीत्   ॥07-064-010॥
अद्य गाण्डीवधन्वानं तपन्तं युद्धदुर्मदम्। <br>अहमावारयिष्यामि वेलेव मकरालयम्   ॥07-064-011॥
अद्य पश्यन्तु संग्रामे धनंजयममर्षणम्। <br>विषक्तं मयि दुर्धर्षमश्मकूटमिवाश्मनि   ॥07-064-012॥
एवं ब्रुवन्महाराज महात्मा स महामतिः। <br>महेष्वासैर्वृतो राजन्महेष्वासो व्यवस्थितः   ॥07-064-013॥
ततोऽन्तक इव क्रुद्धः सवज्र इव वासवः। <br>दण्डपाणिरिवासह्यो मृत्युः कालेन चोदितः   ॥07-064-014॥
शूलपाणिरिवाक्षोभ्यो वरुणः पाशवानिव। <br>युगान्ताग्निरिवार्चिष्मान्प्रधक्ष्यन्वै पुनः प्रजाः   ॥07-064-015॥
क्रोधामर्षबलोद्धूतो निवातकवचान्तकः। <br>जयो जेता स्थितः सत्ये पारयिष्यन्महाव्रतम्   ॥07-064-016॥
आमुक्तकवचः खड्गी जाम्बूनदकिरीटभृत्। <br>शुभ्रवर्माम्बरधरः स्वङ्गदी चारुकुण्डली   ॥07-064-017॥
रथप्रवरमास्थाय नरो नारायणानुगः। <br>विधुन्वन्गाण्डिवं संख्ये बभौ सूर्य इवोदितः   ॥07-064-018॥
