Verse
 संजय उवाच। <br>ते तथैव महाराज दंशिता रणमूर्धनि। <br>संध्यागतं सहस्रांशुमादित्यमुपतस्थिरे   ॥07-162-001॥
उदिते तु सहस्रांशौ तप्तकाञ्चनसप्रभे। <br>प्रकाशितेषु लोकेषु पुनर्युद्धमवर्तत   ॥07-162-002॥
द्वंद्वानि यानि तत्रासन्संसक्तानि पुरोदयात्। <br>तान्येवाभ्युदिते सूर्ये समसज्जन्त भारत   ॥07-162-003॥
रथैर्हया हयैर्नागाः पादाताश्चापि कुञ्जरैः। <br>हया हयैः समाजग्मुः पादाताश्च पदातिभिः। <br>संसक्ताश्च वियुक्ताश्च योधाः संन्यपतन्रणे   ॥07-162-004॥
ते रात्रौ कृतकर्माणः श्रान्ताः सूर्यस्य तेजसा। <br>क्षुत्पिपासापरीताङ्गा विसंज्ञा बहवोऽभवन्   ॥07-162-005॥
शङ्खभेरीमृदङ्गानां कुञ्जराणां च गर्जताम्। <br>विस्फारितविकृष्टानां कार्मुकाणां च कूजताम्   ॥07-162-006॥
शब्दः समभवद्राजन्दिविस्पृग्भरतर्षभ। <br>द्रवतां च पदातीनां शस्त्राणां विनिपात्यताम्   ॥07-162-007॥
हयानां हेषतां चैव रथानां च निवर्तताम्। <br>क्रोशतां गर्जतां चैव तदासीत्तुमुलं महत्   ॥07-162-008॥
विवृद्धस्तुमुलः शब्दो द्यामगच्छन्महास्वनः। <br>नानायुधनिकृत्तानां चेष्टतामातुरः स्वनः   ॥07-162-009॥
भूमावश्रूयत महांस्तदासीत्कृपणं महत्। <br>पततां पतितानां च पत्त्यश्वरथहस्तिनाम्   ॥07-162-010॥
तेषु सर्वेष्वनीकेषु व्यतिषक्तेष्वनेकशः। <br>स्वे स्वाञ्जघ्नुः परे स्वांश्च स्वे परांश्च परान्परे   ॥07-162-011॥
वीरबाहुविसृष्टाश्च योधेषु च गजेषु च। <br>असयः प्रत्यदृश्यन्त वाससां नेजनेष्विव   ॥07-162-012॥
उद्यतप्रतिपिष्टानां खड्गानां वीरबाहुभिः। <br>स एव शब्दस्तद्रूपो वाससां निज्यतामिव   ॥07-162-013॥
अर्धासिभिस्तथा खड्गैस्तोमरैः सपरश्वधैः। <br>निकृष्टयुद्धं संसक्तं महदासीत्सुदारुणम्   ॥07-162-014॥
गजाश्वकायप्रभवां नरदेहप्रवाहिनीम्। <br>शस्त्रमत्स्यसुसंपूर्णां मांसशोणितकर्दमाम्   ॥07-162-015॥
आर्तनादस्वनवतीं पताकावस्त्रफेनिलाम्। <br>नदीं प्रावर्तयन्वीराः परलोकप्रवाहिनीम्   ॥07-162-016॥
शरशक्त्यर्दिताः क्लान्ता रात्रिमूढाल्पचेतसः। <br>विष्टभ्य सर्वगात्राणि व्यतिष्ठन्गजवाजिनः। <br>संशुष्कवदना वीराः शिरोभिश्चारुकुण्डलैः   ॥07-162-017॥
युद्धोपकरणैश्चान्यैस्तत्र तत्र प्रकाशितैः। <br>क्रव्यादसंघैराकीर्णं मृतैरर्धमृतैरपि। <br>नासीद्रथपथस्तत्र सर्वमायोधनं प्रति   ॥07-162-018॥
मज्जत्सु चक्रेषु रथान्सत्त्वमास्थाय वाजिनः। <br>कथंचिदवहञ्श्रान्ता वेपमानाः शरार्दिताः। <br>कुलसत्त्वबलोपेता वाजिनो वारणोपमाः   ॥07-162-019॥
विह्वलं तत्समुद्भ्रान्तं सभयं भारतातुरम्। <br>बलमासीत्तदा सर्वमृते द्रोणार्जुनावुभौ   ॥07-162-020॥
तावेवास्तां निलयनं तावार्तायनमेव च। <br>तावेवान्ये समासाद्य जग्मुर्वैवस्वतक्षयम्   ॥07-162-021॥
आविग्नमभवत्सर्वं कौरवाणां महद्बलम्। <br>पाञ्चालानां च संसक्तं न प्राज्ञायत किंचन   ॥07-162-022॥
अन्तकाक्रीडसदृशे भीरूणां भयवर्धने। <br>पृथिव्यां राजवंशानामुत्थिते महति क्षये   ॥07-162-023॥
न तत्र कर्णं न द्रोणं नार्जुनं न युधिष्ठिरम्। <br>न भीमसेनं न यमौ न पाञ्चाल्यं न सात्यकिम्   ॥07-162-024॥
न च दुःशासनं द्रौणिं न दुर्योधनसौबलौ। <br>न कृपं मद्रराजं वा कृतवर्माणमेव च   ॥07-162-025॥
न चान्यान्नैव चात्मानं न क्षितिं न दिशस्तथा। <br>पश्याम राजन्संसक्तान्सैन्येन रजसावृतान्   ॥07-162-026॥
संभ्रान्ते तुमुले घोरे रजोमेघे समुत्थिते। <br>द्वितीयामिव संप्राप्ताममन्यन्त निशां तदा   ॥07-162-027॥
