Verse
 धृतराष्ट्र उवाच। <br>तस्मिन्नतिरथे द्रोणे निहते तत्र संजय। <br>मामकाः पाण्डवाश्चैव किमकुर्वन्नतः परम्   ॥07-173-001॥
 संजय उवाच। <br>तस्मिन्नतिरथे द्रोणे निहते पार्षतेन वै। <br>कौरवेषु च भग्नेषु कुन्तीपुत्रो धनंजयः   ॥07-173-002॥
दृष्ट्वा सुमहदाश्चर्यमात्मनो विजयावहम्। <br>यदृच्छयागतं व्यासं पप्रच्छ भरतर्षभ   ॥07-173-003॥
संग्रामे निघ्नतः शत्रूञ्शरौघैर्विमलैरहम्। <br>अग्रतो लक्षये यान्तं पुरुषं पावकप्रभम्   ॥07-173-004॥
ज्वलन्तं शूलमुद्यम्य यां दिशं प्रतिपद्यते। <br>तस्यां दिशि विशीर्यन्ते शत्रवो मे महामुने   ॥07-173-005॥
न पद्भ्यां स्पृशते भूमिं न च शूलं विमुञ्चति। <br>शूलाच्छूलसहस्राणि निष्पेतुस्तस्य तेजसा   ॥07-173-006॥
तेन भग्नानरीन्सर्वान्मद्भग्नान्मन्यते जनः। <br>तेन दग्धानि सैन्यानि पृष्ठतोऽनुदहाम्यहम्   ॥07-173-007॥
भगवंस्तन्ममाचक्ष्व को वै स पुरुषोत्तमः। <br>शूलपाणिर्महान्कृष्ण तेजसा सूर्यसंनिभः   ॥07-173-008॥
 व्यास उवाच। <br>प्रजापतीनां प्रथमं तैजसं पुरुषं विभुम्। <br>भुवनं भूर्भुवं देवं सर्वलोकेश्वरं प्रभुम्   ॥07-173-009॥
ईशानं वरदं पार्थ दृष्टवानसि शंकरम्। <br>तं गच्छ शरणं देवं सर्वादिं भुवनेश्वरम्   ॥07-173-010॥
महादेवं महात्मानमीशानं जटिलं शिवम्। <br>त्र्यक्षं महाभुजं रुद्रं शिखिनं चीरवाससम्। <br>दातारं चैव भक्तानां प्रसादविहितान्वरान्   ॥07-173-011॥
तस्य ते पार्षदा दिव्या रूपैर्नानाविधैः विभोः। <br>वामना जटिला मुण्डा ह्रस्वग्रीवा महोदराः   ॥07-173-012॥
महाकाया महोत्साहा महाकर्णास्तथापरे। <br>आननैर्विकृतैः पादैः पार्थ वेषैश्च वैकृतैः   ॥07-173-013॥
ईदृशैः स महादेवः पूज्यमानो महेश्वरः। <br>स शिवस्तात तेजस्वी प्रसादाद्याति तेऽग्रतः। <br>तस्मिन्घोरे तदा पार्थ संग्रामे लोमहर्षणे   ॥07-173-014॥
द्रोणकर्णकृपैर्गुप्तां महेष्वासैः प्रहारिभिः। <br>कस्तां सेनां तदा पार्थ मनसापि प्रधर्षयेत्। <br>ऋते देवान्महेष्वासाद्बहुरूपान्महेश्वरात्   ॥07-173-015॥
