Verse
 संजय उवाच। <br>हते द्रोणे महेष्वासे तस्मिन्नहनि भारत। <br>कृते च मोघसंकल्पे द्रोणपुत्रे महारथे   ॥08-006-001॥
द्रवमाणे महाराज कौरवाणां बले तथा। <br>व्यूह्य पार्थः स्वकं सैन्यमतिष्ठद्भ्रातृभिः सह   ॥08-006-002॥
तमवस्थितमाज्ञाय पुत्रस्ते भरतर्षभ। <br>द्रवच्च स्वबलं दृष्ट्वा पौरुषेण न्यवारयत्   ॥08-006-003॥
स्वमनीकमवस्थाप्य बाहुवीर्ये व्यवस्थितः। <br>युद्ध्वा च सुचिरं कालं पाण्डवैः सह भारत   ॥08-006-004॥
लब्धलक्षैः परैर्हृष्टैर्व्यायच्छद्भिश्चिरं तदा। <br>संध्याकालं समासाद्य प्रत्याहारमकारयत्   ॥08-006-005॥
कृत्वावहारं सैन्यानां प्रविश्य शिबिरं स्वकम्। <br>कुरवोऽऽत्महितं मन्त्रं मन्त्रयां चक्रिरे तदा   ॥08-006-006॥
पर्यङ्केषु परार्ध्येषु स्पर्ध्यास्तरणवत्सु च। <br>वरासनेषूपविष्टाः सुखशय्यास्विवामराः   ॥08-006-007॥
ततो दुर्योधनो राजा साम्ना परमवल्गुना। <br>तानाभाष्य महेष्वासान्प्राप्तकालमभाषत   ॥08-006-008॥
मतिं मतिमतां श्रेष्ठाः सर्वे प्रब्रूत माचिरम्। <br>एवं गते तु यत्कार्यं भवेत्कार्यकरं नृपाः   ॥08-006-009॥
एवमुक्ते नरेन्द्रेण नरसिंहा युयुत्सवः। <br>चक्रुर्नानाविधाश्चेष्टाः सिंहासनगतास्तदा   ॥08-006-010॥
तेषां निशम्येङ्गितानि युद्धे प्राणाञ्जुहूषताम्। <br>समुद्वीक्ष्य मुखं राज्ञो बालार्कसमवर्चसः। <br>आचार्यपुत्रो मेधावी वाक्यज्ञो वाक्यमाददे   ॥08-006-011॥
रागो योगस्तथा दाक्ष्यं नयश्चेत्यर्थसाधकाः। <br>उपायाः पण्डितैः प्रोक्ताः सर्वे दैवसमाश्रिताः   ॥08-006-012॥
लोकप्रवीरा येऽस्माकं देवकल्पा महारथाः। <br>नीतिमन्तस्तथा युक्ता दक्षा रक्ताश्च ते हताः   ॥08-006-013॥
न त्वेव कार्यं नैराश्यमस्माभिर्विजयं प्रति। <br>सुनीतैरिह सर्वार्थैर्दैवमप्यनुलोम्यते   ॥08-006-014॥
ते वयं प्रवरं नॄणां सर्वैर्गुणगणैर्युतम्। <br>कर्णं सेनापतिं कृत्वा प्रमथिष्यामहे रिपून्   ॥08-006-015॥
ततो दुर्योधनः प्रीतः प्रियं श्रुत्वा वचस्तदा। <br>प्रीतिसंस्कारसंयुक्तं तथ्यमात्महितं शुभम्   ॥08-006-016॥
स्वं मनः समवस्थाप्य बाहुवीर्यमुपाश्रितः। <br>दुर्योधनो महाराज राधेयमिदमब्रवीत्   ॥08-006-017॥
कर्ण जानामि ते वीर्यं सौहृदं च परं मयि। <br>तथापि त्वां महाबाहो प्रवक्ष्यामि हितं वचः   ॥08-006-018॥
श्रुत्वा यथेष्टं च कुरु वीर यत्तव रोचते। <br>भवान्प्राज्ञतमो नित्यं मम चैव परा गतिः   ॥08-006-019॥
भीष्मद्रोणावतिरथौ हतौ सेनापती मम। <br>सेनापतिर्भवानस्तु ताभ्यां द्रविणवत्तरः   ॥08-006-020॥
वृद्धौ च तौ महेष्वासौ सापेक्षौ च धनंजये। <br>मानितौ च मया वीरौ राधेय वचनात्तव   ॥08-006-021॥
पितामहत्वं संप्रेक्ष्य पाण्डुपुत्रा महारणे। <br>रक्षितास्तात भीष्मेण दिवसानि दशैव ह   ॥08-006-022॥
न्यस्तशस्त्रे च भवति हतो भीष्मः पितामहः। <br>शिखण्डिनं पुरस्कृत्य फल्गुनेन महाहवे   ॥08-006-023॥
हते तस्मिन्महाभागे शरतल्पगते तदा। <br>त्वयोक्ते पुरुषव्याघ्र द्रोणो ह्यासीत्पुरःसरः   ॥08-006-024॥
तेनापि रक्षिताः पार्थाः शिष्यत्वादिह संयुगे। <br>स चापि निहतो वृद्धो धृष्टद्युम्नेन सत्वरम्   ॥08-006-025॥
निहताभ्यां प्रधानाभ्यां ताभ्याममितविक्रम। <br>त्वत्समं समरे योधं नान्यं पश्यामि चिन्तयन्   ॥08-006-026॥
भवानेव तु नः शक्तो विजयाय न संशयः। <br>पूर्वं मध्ये च पश्चाच्च तवैव विदितं हि तत्   ॥08-006-027॥
स भवान्धुर्यवत्संख्ये धुरमुद्वोढुमर्हसि। <br>अभिषेचय सेनान्ये स्वयमात्मानमात्मना   ॥08-006-028॥
देवतानां यथा स्कन्दः सेनानीः प्रभुरव्ययः। <br>तथा भवानिमां सेनां धार्तराष्ट्रीं बिभर्तु मे। <br>जहि शत्रुगणान्सर्वान्महेन्द्र इव दानवान्   ॥08-006-029॥
अवस्थितं रणे ज्ञात्वा पाण्डवास्त्वां महारथम्। <br>द्रविष्यन्ति सपाञ्चाला विष्णुं दृष्ट्वेव दानवाः। <br>तस्मात्त्वं पुरुषव्याघ्र प्रकर्षेथा महाचमूम्   ॥08-006-030॥
भवत्यवस्थिते यत्ते पाण्डवा गतचेतसः। <br>भविष्यन्ति सहामात्याः पाञ्चालैः सृञ्जयैः सह   ॥08-006-031॥
यथा ह्यभ्युदितः सूर्यः प्रतपन्स्वेन तेजसा। <br>व्यपोहति तमस्तीव्रं तथा शत्रून्व्यपोह नः   ॥08-006-032॥
 कर्ण उवाच। <br>उक्तमेतन्मया पूर्वं गान्धारे तव संनिधौ। <br>जेष्यामि पाण्डवान्राजन्सपुत्रान्सजनार्दनान्   ॥08-006-033॥
सेनापतिर्भविष्यामि तवाहं नात्र संशयः। <br>स्थिरो भव महाराज जितान्विद्धि च पाण्डवान्   ॥08-006-034॥
 संजय उवाच। <br>एवमुक्तो महातेजास्ततो दुर्योधनो नृपः। <br>उत्तस्थौ राजभिः सार्धं देवैरिव शतक्रतुः। <br>सेनापत्येन सत्कर्तुं कर्णं स्कन्दमिवामराः   ॥08-006-035॥
ततोऽभिषिषिचुस्तूर्णं विधिदृष्टेन कर्मणा। <br>दुर्योधनमुखा राजन्राजानो विजयैषिणः। <br>शातकौम्भमयैः कुम्भैर्माहेयैश्चाभिमन्त्रितैः   ॥08-006-036॥
तोयपूर्णैर्विषाणैश्च द्वीपिखड्गमहर्षभैः। <br>मणिमुक्तामयैश्चान्यैः पुण्यगन्धैस्तथौषधैः   ॥08-006-037॥
औदुम्बरे समासीनमासने क्षौमसंवृतम्। <br>शास्त्रदृष्टेन विधिना संभारैश्च सुसंभृतैः   ॥08-006-038॥
जय पार्थान्सगोविन्दान्सानुगांस्त्वं महाहवे। <br>इति तं बन्दिनः प्राहुर्द्विजाश्च भरतर्षभ   ॥08-006-039॥
जहि पार्थान्सपाञ्चालान्राधेय विजयाय नः। <br>उद्यन्निव सदा भानुस्तमांस्युग्रैर्गभस्तिभिः   ॥08-006-040॥
न ह्यलं त्वद्विसृष्टानां शराणां ते सकेशवाः। <br>कृतघ्नाः सूर्यरश्मीनां ज्वलतामिव दर्शने   ॥08-006-041॥
न हि पार्थाः सपाञ्चालाः स्थातुं शक्तास्तवाग्रतः। <br>आत्तशस्त्रस्य समरे महेन्द्रस्येव दानवाः   ॥08-006-042॥
अभिषिक्तस्तु राधेयः प्रभया सोऽमितप्रभः। <br>व्यत्यरिच्यत रूपेण दिवाकर इवापरः   ॥08-006-043॥
सेनापत्येन राधेयमभिषिच्य सुतस्तव। <br>अमन्यत तदात्मानं कृतार्थं कालचोदितः   ॥08-006-044॥
कर्णोऽपि राजन्संप्राप्य सेनापत्यमरिंदमः। <br>योगमाज्ञापयामास सूर्यस्योदयनं प्रति   ॥08-006-045॥
तव पुत्रैर्वृतः कर्णः शुशुभे तत्र भारत। <br>देवैरिव यथा स्कन्दः संग्रामे तारकामये   ॥08-006-046॥
