Verse
 संजय उवाच। <br>अथ हैमवते प्रस्थे स्थित्वा युद्धाभिनन्दिनः। <br>सर्व एव महाराज योधास्तत्र समागताः   ॥09-005-001॥
शल्यश्च चित्रसेनश्च शकुनिश्च महारथः। <br>अश्वत्थामा कृपश्चैव कृतवर्मा च सात्वतः   ॥09-005-002॥
सुषेणोऽरिष्टसेनश्च धृतसेनश्च वीर्यवान्। <br>जयत्सेनश्च राजानस्ते रात्रिमुषितास्ततः   ॥09-005-003॥
रणे कर्णे हते वीरे त्रासिता जितकाशिभिः। <br>नालभञ्शर्म ते पुत्रा हिमवन्तमृते गिरिम्   ॥09-005-004॥
तेऽब्रुवन्सहितास्तत्र राजानं सैन्यसंनिधौ। <br>कृतयत्ना रणे राजन्संपूज्य विधिवत्तदा   ॥09-005-005॥
कृत्वा सेनाप्रणेतारं परांस्त्वं योद्धुमर्हसि। <br>येनाभिगुप्ताः संग्रामे जयेमासुहृदो वयम्   ॥09-005-006॥
ततो दुर्योधनः स्थित्वा रथे रथवरोत्तमम्। <br>सर्वयुद्धविभागज्ञमन्तकप्रतिमं युधि   ॥09-005-007॥
स्वङ्गं प्रच्छन्नशिरसं कम्बुग्रीवं प्रियंवदम्। <br>व्याकोशपद्माभिमुखं व्याघ्रास्यं मेरुगौरवम्   ॥09-005-008॥
स्थाणोर्वृषस्य सदृशं स्कन्धनेत्रगतिस्वरैः। <br>पुष्टश्लिष्टायतभुजं सुविस्तीर्णघनोरसम्   ॥09-005-009॥
जवे बले च सदृशमरुणानुजवातयोः। <br>आदित्यस्य त्विषा तुल्यं बुद्ध्या चोशनसा समम्   ॥09-005-010॥
कान्तिरूपमुखैश्वर्यैस्त्रिभिश्चन्द्रमसोपमम्। <br>काञ्चनोपलसंघातैः सदृशं श्लिष्टसंधिकम्   ॥09-005-011॥
सुवृत्तोरुकटीजङ्घं सुपादं स्वङ्गुलीनखम्। <br>स्मृत्वा स्मृत्वैव च गुणान्धात्रा यत्नाद्विनिर्मितम्   ॥09-005-012॥
सर्वलक्षणसंपन्नं निपुणं श्रुतिसागरम्। <br>जेतारं तरसारीणामजेयं शत्रुभिर्बलात्   ॥09-005-013॥
दशाङ्गं यश्चतुष्पादमिष्वस्त्रं वेद तत्त्वतः। <br>साङ्गांश्च चतुरो वेदान्सम्यगाख्यानपञ्चमान्   ॥09-005-014॥
आराध्य त्र्यम्बकं यत्नाद्व्रतैरुग्रैर्महातपाः। <br>अयोनिजायामुत्पन्नो द्रोणेनायोनिजेन यः   ॥09-005-015॥
तमप्रतिमकर्माणं रूपेणासदृशं भुवि। <br>पारगं सर्वविद्यानां गुणार्णवमनिन्दितम्। <br>तमभ्येत्यात्मजस्तुभ्यमश्वत्थामानमब्रवीत्   ॥09-005-016॥
यं पुरस्कृत्य सहिता युधि जेष्याम पाण्डवान्। <br>गुरुपुत्रोऽद्य सर्वेषामस्माकं परमा गतिः। <br>भवांस्तस्मान्नियोगात्ते कोऽस्तु सेनापतिर्मम   ॥09-005-017॥
 द्रौणिरुवाच। <br>अयं कुलेन वीर्येण तेजसा यशसा श्रिया। <br>सर्वैर्गुणैः समुदितः शल्यो नोऽस्तु चमूपतिः   ॥09-005-018॥
भागिनेयान्निजांस्त्यक्त्वा कृतज्ञोऽस्मानुपागतः। <br>महासेनो महाबाहुर्महासेन इवापरः   ॥09-005-019॥
एनं सेनापतिं कृत्वा नृपतिं नृपसत्तम। <br>शक्यः प्राप्तुं जयोऽस्माभिर्देवैः स्कन्दमिवाजितम्   ॥09-005-020॥
तथोक्ते द्रोणपुत्रेण सर्व एव नराधिपाः। <br>परिवार्य स्थिताः शल्यं जयशब्दांश्च चक्रिरे। <br>युद्धाय च मतिं चक्रूरावेशं च परं ययुः   ॥09-005-021॥
ततो दुर्योधनः शल्यं भूमौ स्थित्वा रथे स्थितम्। <br>उवाच प्राञ्जलिर्भूत्वा रामभीष्मसमं रणे   ॥09-005-022॥
अयं स कालः संप्राप्तो मित्राणां मित्रवत्सल। <br>यत्र मित्रममित्रं वा परीक्षन्ते बुधा जनाः   ॥09-005-023॥
स भवानस्तु नः शूरः प्रणेता वाहिनीमुखे। <br>रणं च याते भवति पाण्डवा मन्दचेतसः। <br>भविष्यन्ति सहामात्याः पाञ्चालाश्च निरुद्यमाः   ॥09-005-024॥
 शल्य उवाच। <br>यत्तु मां मन्यसे राजन्कुरुराज करोमि तत्। <br>त्वत्प्रियार्थं हि मे सर्वं प्राणा राज्यं धनानि च   ॥09-005-025॥
 दुर्योधन उवाच। <br>सेनापत्येन वरये त्वामहं मातुलातुलम्। <br>सोऽस्मान्पाहि युधां श्रेष्ठ स्कन्दो देवानिवाहवे   ॥09-005-026॥
अभिषिच्यस्व राजेन्द्र देवानामिव पावकिः। <br>जहि शत्रून्रणे वीर महेन्द्रो दानवानिव   ॥09-005-027॥
