Verse
 संजय उवाच। <br>संनिवृत्ते बलौघे तु शाल्वो म्लेच्छगणाधिपः। <br>अभ्यवर्तत संक्रुद्धः पाण्डूनां सुमहद्बलम्   ॥09-019-001॥
आस्थाय सुमहानागं प्रभिन्नं पर्वतोपमम्। <br>दृप्तमैरावतप्रख्यममित्रगणमर्दनम्   ॥09-019-002॥
योऽसौ महाभद्रकुलप्रसूतः; सुपूजितो धार्तराष्ट्रेण नित्यम्। <br>सुकल्पितः शास्त्रविनिश्चयज्ञैः; सदोपवाह्यः समरेषु राजन्   ॥09-019-003॥
तमास्थितो राजवरो बभूव; यथोदयस्थः सविता क्षपान्ते। <br>स तेन नागप्रवरेण राज;न्नभ्युद्ययौ पाण्डुसुतान्समन्तात्। <br>शितैः पृषत्कैर्विददार चापि; महेन्द्रवज्रप्रतिमैः सुघोरैः   ॥09-019-004॥
ततः शरान्वै सृजतो महारणे; योधांश्च राजन्नयतो यमाय। <br>नास्यान्तरं ददृशुः स्वे परे वा; यथा पुरा वज्रधरस्य दैत्याः   ॥09-019-005॥
ते पाण्डवाः सोमकाः सृञ्जयाश्च; तमेव नागं ददृशुः समन्तात्। <br>सहस्रशो वै विचरन्तमेकं; यथा महेन्द्रस्य गजं समीपे   ॥09-019-006॥
संद्राव्यमाणं तु बलं परेषां; परीतकल्पं विबभौ समन्तात्। <br>नैवावतस्थे समरे भृशं भया;द्विमर्दमानं तु परस्परं तदा   ॥09-019-007॥
ततः प्रभग्ना सहसा महाचमूः; सा पाण्डवी तेन नराधिपेन। <br>दिशश्चतस्रः सहसा प्रधाविता; गजेन्द्रवेगं तमपारयन्ती   ॥09-019-008॥
दृष्ट्वा च तां वेगवता प्रभग्नां; सर्वे त्वदीया युधि योधमुख्याः। <br>अपूजयंस्तत्र नराधिपं तं; दध्मुश्च शङ्खाञ्शशिसंनिकाशान्   ॥09-019-009॥
श्रुत्वा निनादं त्वथ कौरवाणां; हर्षाद्विमुक्तं सह शङ्खशब्दैः। <br>सेनापतिः पाण्डवसृञ्जयानां; पाञ्चालपुत्रो न ममर्ष रोषात्   ॥09-019-010॥
ततस्तु तं वै द्विरदं महात्मा; प्रत्युद्ययौ त्वरमाणो जयाय। <br>जम्भो यथा शक्रसमागमे वै; नागेन्द्रमैरावणमिन्द्रवाह्यम्   ॥09-019-011॥
तमापतन्तं सहसा तु दृष्ट्वा; पाञ्चालराजं युधि राजसिंहः। <br>तं वै द्विपं प्रेषयामास तूर्णं; वधाय राजन्द्रुपदात्मजस्य   ॥09-019-012॥
स तं द्विपं सहसाभ्यापतन्त;मविध्यदर्कप्रतिमैः पृषत्कैः। <br>कर्मारधौतैर्निशितैर्ज्वलद्भि;र्नाराचमुख्यैस्त्रिभिरुग्रवेगैः   ॥09-019-013॥
ततोऽपरान्पञ्च शितान्महात्मा; नाराचमुख्यान्विससर्ज कुम्भे। <br>स तैस्तु विद्धः परमद्विपो रणे; तदा परावृत्य भृशं प्रदुद्रुवे   ॥09-019-014॥
तं नागराजं सहसा प्रणुन्नं; विद्राव्यमाणं च निगृह्य शाल्वः। <br>तोत्त्राङ्कुशैः प्रेषयामास तूर्णं; पाञ्चालराजस्य रथं प्रदिश्य   ॥09-019-015॥
दृष्ट्वापतन्तं सहसा तु नागं; धृष्टद्युम्नः स्वरथाच्छीघ्रमेव। <br>गदां प्रगृह्याशु जवेन वीरो; भूमिं प्रपन्नो भयविह्वलाङ्गः   ॥09-019-016॥
स तं रथं हेमविभूषिताङ्गं; साश्वं ससूतं सहसा विमृद्य। <br>उत्क्षिप्य हस्तेन तदा महाद्विपो; विपोथयामास वसुंधरातले   ॥09-019-017॥
पाञ्चालराजस्य सुतं स दृष्ट्वा; तदार्दितं नागवरेण तेन। <br>तमभ्यधावत्सहसा जवेन; भीमः शिखण्डी च शिनेश्च नप्ता   ॥09-019-018॥
शरैश्च वेगं सहसा निगृह्य; तस्याभितोऽभ्यापततो गजस्य। <br>स संगृहीतो रथिभिर्गजो वै; चचाल तैर्वार्यमाणश्च संख्ये   ॥09-019-019॥
ततः पृषत्कान्प्रववर्ष राजा; सूर्यो यथा रश्मिजालं समन्तात्। <br>तेनाशुगैर्वध्यमाना रथौघाः; प्रदुद्रुवुस्तत्र ततस्तु सर्वे   ॥09-019-020॥
तत्कर्म शाल्वस्य समीक्ष्य सर्वे; पाञ्चालमत्स्या नृप सृञ्जयाश्च। <br>हाहाकारैर्नादयन्तः स्म युद्धे; द्विपं समन्ताद्रुरुधुर्नराग्र्याः   ॥09-019-021॥
पाञ्चालराजस्त्वरितस्तु शूरो; गदां प्रगृह्याचलशृङ्गकल्पाम्। <br>असंभ्रमं भारत शत्रुघाती; जवेन वीरोऽनुससार नागम्   ॥09-019-022॥
ततोऽथ नागं धरणीधराभं; मदं स्रवन्तं जलदप्रकाशम्। <br>गदां समाविध्य भृशं जघान; पाञ्चालराजस्य सुतस्तरस्वी   ॥09-019-023॥
स भिन्नकुम्भः सहसा विनद्य; मुखात्प्रभूतं क्षतजं विमुञ्चन्। <br>पपात नागो धरणीधराभः; क्षितिप्रकम्पाच्चलितो यथाद्रिः   ॥09-019-024॥
