Verse
 संजय उवाच। <br>अस्यतां यतमानानां शूराणामनिवर्तिनाम्। <br>संकल्पमकरोन्मोघं गाण्डीवेन धनंजयः   ॥09-024-001॥
इन्द्राशनिसमस्पर्शानविषह्यान्महौजसः। <br>विसृजन्दृश्यते बाणान्धारा मुञ्चन्निवाम्बुदः   ॥09-024-002॥
तत्सैन्यं भरतश्रेष्ठ वध्यमानं किरीटिना। <br>संप्रदुद्राव संग्रामात्तव पुत्रस्य पश्यतः   ॥09-024-003॥
हतधुर्या रथाः केचिद्धतसूतास्तथापरे। <br>भग्नाक्षयुगचक्रेषाः केचिदासन्विशां पते   ॥09-024-004॥
अन्येषां सायकाः क्षीणास्तथान्ये शरपीडिताः। <br>अक्षता युगपत्केचित्प्राद्रवन्भयपीडिताः   ॥09-024-005॥
केचित्पुत्रानुपादाय हतभूयिष्ठवाहनाः। <br>विचुक्रुशुः पितॄनन्ये सहायानपरे पुनः   ॥09-024-006॥
बान्धवांश्च नरव्याघ्र भ्रातॄन्संबन्धिनस्तथा। <br>दुद्रुवुः केचिदुत्सृज्य तत्र तत्र विशां पते   ॥09-024-007॥
बहवोऽत्र भृशं विद्धा मुह्यमाना महारथाः। <br>निष्टनन्तः स्म दृश्यन्ते पार्थबाणहता नराः   ॥09-024-008॥
तानन्ये रथमारोप्य समाश्वास्य मुहूर्तकम्। <br>विश्रान्ताश्च वितृष्णाश्च पुनर्युद्धाय जग्मिरे   ॥09-024-009॥
तानपास्य गताः केचित्पुनरेव युयुत्सवः। <br>कुर्वन्तस्तव पुत्रस्य शासनं युद्धदुर्मदाः   ॥09-024-010॥
पानीयमपरे पीत्वा पर्याश्वास्य च वाहनम्। <br>वर्माणि च समारोप्य केचिद्भरतसत्तम   ॥09-024-011॥
समाश्वास्यापरे भ्रातॄन्निक्षिप्य शिबिरेऽपि च। <br>पुत्रानन्ये पितॄनन्ये पुनर्युद्धमरोचयन्   ॥09-024-012॥
सज्जयित्वा रथान्केचिद्यथामुख्यं विशां पते। <br>आप्लुत्य पाण्डवानीकं पुनर्युद्धमरोचयन्   ॥09-024-013॥
ते शूराः किङ्किणीजालैः समाच्छन्ना बभासिरे। <br>त्रैलोक्यविजये युक्ता यथा दैतेयदानवाः   ॥09-024-014॥
आगम्य सहसा केचिद्रथैः स्वर्णविभूषितैः। <br>पाण्डवानामनीकेषु धृष्टद्युम्नमयोधयन्   ॥09-024-015॥
धृष्टद्युम्नोऽपि पाञ्चाल्यः शिखण्डी च महारथः। <br>नाकुलिश्च शतानीको रथानीकमयोधयन्   ॥09-024-016॥
पाञ्चाल्यस्तु ततः क्रुद्धः सैन्येन महता वृतः। <br>अभ्यद्रवत्सुसंरब्धस्तावकान्हन्तुमुद्यतः   ॥09-024-017॥
ततस्त्वापततस्तस्य तव पुत्रो जनाधिप। <br>बाणसंघाननेकान्वै प्रेषयामास भारत   ॥09-024-018॥
धृष्टद्युम्नस्ततो राजंस्तव पुत्रेण धन्विना। <br>नाराचैर्बहुभिः क्षिप्रं बाह्वोरुरसि चार्पितः   ॥09-024-019॥
सोऽतिविद्धो महेष्वासस्तोत्त्रार्दित इव द्विपः। <br>तस्याश्वांश्चतुरो बाणैः प्रेषयामास मृत्यवे। <br>सारथेश्चास्य भल्लेन शिरः कायादपाहरत्   ॥09-024-020॥
ततो दुर्योधनो राजा पृष्ठमारुह्य वाजिनः। <br>अपाक्रामद्धतरथो नातिदूरमरिंदमः   ॥09-024-021॥
दृष्ट्वा तु हतविक्रान्तं स्वमनीकं महाबलः। <br>तव पुत्रो महाराज प्रययौ यत्र सौबलः   ॥09-024-022॥
ततो रथेषु भग्नेषु त्रिसाहस्रा महाद्विपाः। <br>पाण्डवान्रथिनः पञ्च समन्तात्पर्यवारयन्   ॥09-024-023॥
ते वृताः समरे पञ्च गजानीकेन भारत। <br>अशोभन्त नरव्याघ्रा ग्रहा व्याप्ता घनैरिव   ॥09-024-024॥
ततोऽर्जुनो महाराज लब्धलक्षो महाभुजः। <br>विनिर्ययौ रथेनैव श्वेताश्वः कृष्णसारथिः   ॥09-024-025॥
तैः समन्तात्परिवृतः कुञ्जरैः पर्वतोपमैः। <br>नाराचैर्विमलैस्तीक्ष्णैर्गजानीकमपोथयत्   ॥09-024-026॥
