Verse
 वैशंपायन उवाच। <br>तस्मान्नदीगतं चापि उदपानं यशस्विनः। <br>त्रितस्य च महाराज जगामाथ हलायुधः   ॥09-035-001॥
तत्र दत्त्वा बहु द्रव्यं पूजयित्वा तथा द्विजान्। <br>उपस्पृश्य च तत्रैव प्रहृष्टो मुसलायुधः   ॥09-035-002॥
तत्र धर्मपरो ह्यासीत्त्रितः स सुमहातपाः। <br>कूपे च वसता तेन सोमः पीतो महात्मना   ॥09-035-003॥
तत्र चैनं समुत्सृज्य भ्रातरौ जग्मतुर्गृहान्। <br>ततस्तौ वै शशापाथ त्रितो ब्राह्मणसत्तमः   ॥09-035-004॥
 जनमेजय उवाच। <br>उदपानं कथं ब्रह्मन्कथं च सुमहातपाः। <br>पतितः किं च संत्यक्तो भ्रातृभ्यां द्विजसत्तमः   ॥09-035-005॥
कूपे कथं च हित्वैनं भ्रातरौ जग्मतुर्गृहान्। <br>एतदाचक्ष्व मे ब्रह्मन्यदि श्राव्यं हि मन्यसे   ॥09-035-006॥
 वैशंपायन उवाच। <br>आसन्पूर्वयुगे राजन्मुनयो भ्रातरस्त्रयः। <br>एकतश्च द्वितश्चैव त्रितश्चादित्यसंनिभाः   ॥09-035-007॥
सर्वे प्रजापतिसमाः प्रजावन्तस्तथैव च। <br>ब्रह्मलोकजितः सर्वे तपसा ब्रह्मवादिनः   ॥09-035-008॥
तेषां तु तपसा प्रीतो नियमेन दमेन च। <br>अभवद्गौतमो नित्यं पिता धर्मरतः सदा   ॥09-035-009॥
स तु दीर्घेण कालेन तेषां प्रीतिमवाप्य च। <br>जगाम भगवान्स्थानमनुरूपमिवात्मनः   ॥09-035-010॥
राजानस्तस्य ये पूर्वे याज्या ह्यासन्महात्मनः। <br>ते सर्वे स्वर्गते तस्मिंस्तस्य पुत्रानपूजयन्   ॥09-035-011॥
तेषां तु कर्मणा राजंस्तथैवाध्ययनेन च। <br>त्रितः स श्रेष्ठतां प्राप यथैवास्य पिता तथा   ॥09-035-012॥
तं स्म सर्वे महाभागा मुनयः पुण्यलक्षणाः। <br>अपूजयन्महाभागं तथा विद्वत्तयैव तु   ॥09-035-013॥
कदाचिद्धि ततो राजन्भ्रातरावेकतद्वितौ। <br>यज्ञार्थं चक्रतुश्चित्तं धनार्थं च विशेषतः   ॥09-035-014॥
तयोश्चिन्ता समभवत्त्रितं गृह्य परंतप। <br>याज्यान्सर्वानुपादाय प्रतिगृह्य पशूंस्ततः   ॥09-035-015॥
सोमं पास्यामहे हृष्टाः प्राप्य यज्ञं महाफलम्। <br>चक्रुश्चैव महाराज भ्रातरस्त्रय एव ह   ॥09-035-016॥
तथा तु ते परिक्रम्य याज्यान्सर्वान्पशून्प्रति। <br>याजयित्वा ततो याज्याँल्लब्ध्वा च सुबहून्पशून्   ॥09-035-017॥
याज्येन कर्मणा तेन प्रतिगृह्य विधानतः। <br>प्राचीं दिशं महात्मान आजग्मुस्ते महर्षयः   ॥09-035-018॥
त्रितस्तेषां महाराज पुरस्ताद्याति हृष्टवत्। <br>एकतश्च द्वितश्चैव पृष्ठतः कालयन्पशून्   ॥09-035-019॥
तयोश्चिन्ता समभवद्दृष्ट्वा पशुगणं महत्। <br>कथं न स्युरिमा गाव आवाभ्यां वै विना त्रितम्   ॥09-035-020॥
तावन्योन्यं समाभाष्य एकतश्च द्वितश्च ह। <br>यदूचतुर्मिथः पापौ तन्निबोध जनेश्वर   ॥09-035-021॥
त्रितो यज्ञेषु कुशलस्त्रितो वेदेषु निष्ठितः। <br>अन्यास्त्रितो बहुतरा गावः समुपलप्स्यते   ॥09-035-022॥
तदावां सहितौ भूत्वा गाः प्रकाल्य व्रजावहे। <br>त्रितोऽपि गच्छतां काममावाभ्यां वै विनाकृतः   ॥09-035-023॥
तेषामागच्छतां रात्रौ पथिस्थाने वृकोऽभवत्। <br>तथा कूपोऽविदूरेऽभूत्सरस्वत्यास्तटे महान्   ॥09-035-024॥
अथ त्रितो वृकं दृष्ट्वा पथि तिष्ठन्तमग्रतः। <br>तद्भयादपसर्पन्वै तस्मिन्कूपे पपात ह। <br>अगाधे सुमहाघोरे सर्वभूतभयंकरे   ॥09-035-025॥
त्रितस्ततो महाभागः कूपस्थो मुनिसत्तमः। <br>आर्तनादं ततश्चक्रे तौ तु शुश्रुवतुर्मुनी   ॥09-035-026॥
तं ज्ञात्वा पतितं कूपे भ्रातरावेकतद्वितौ। <br>वृकत्रासाच्च लोभाच्च समुत्सृज्य प्रजग्मतुः   ॥09-035-027॥
भ्रातृभ्यां पशुलुब्धाभ्यामुत्सृष्टः स महातपाः। <br>उदपाने महाराज निर्जले पांसुसंवृते   ॥09-035-028॥
त्रित आत्मानमालक्ष्य कूपे वीरुत्तृणावृते। <br>निमग्नं भरतश्रेष्ठ पापकृन्नरके यथा   ॥09-035-029॥
बुद्ध्या ह्यगणयत्प्राज्ञो मृत्योर्भीतो ह्यसोमपः। <br>सोमः कथं नु पातव्य इहस्थेन मया भवेत्   ॥09-035-030॥
स एवमनुसंचिन्त्य तस्मिन्कूपे महातपाः। <br>ददर्श वीरुधं तत्र लम्बमानां यदृच्छया   ॥09-035-031॥
पांसुग्रस्ते ततः कूपे विचिन्त्य सलिलं मुनिः। <br>अग्नीन्संकल्पयामास होत्रे चात्मानमेव च   ॥09-035-032॥
ततस्तां वीरुधं सोमं संकल्प्य सुमहातपाः। <br>ऋचो यजूंषि सामानि मनसा चिन्तयन्मुनिः। <br>ग्रावाणः शर्कराः कृत्वा प्रचक्रेऽभिषवं नृप   ॥09-035-033॥
आज्यं च सलिलं चक्रे भागांश्च त्रिदिवौकसाम्। <br>सोमस्याभिषवं कृत्वा चकार तुमुलं ध्वनिम्   ॥09-035-034॥
स चाविशद्दिवं राजन्स्वरः शैक्षस्त्रितस्य वै। <br>समवाप च तं यज्ञं यथोक्तं ब्रह्मवादिभिः   ॥09-035-035॥
वर्तमाने तथा यज्ञे त्रितस्य सुमहात्मनः। <br>आविग्नं त्रिदिवं सर्वं कारणं च न बुध्यते   ॥09-035-036॥
ततः सुतुमुलं शब्दं शुश्रावाथ बृहस्पतिः। <br>श्रुत्वा चैवाब्रवीद्देवान्सर्वान्देवपुरोहितः   ॥09-035-037॥
त्रितस्य वर्तते यज्ञस्तत्र गच्छामहे सुराः। <br>स हि क्रुद्धः सृजेदन्यान्देवानपि महातपाः   ॥09-035-038॥
तच्छ्रुत्वा वचनं तस्य सहिताः सर्वदेवताः। <br>प्रययुस्तत्र यत्रासौ त्रितयज्ञः प्रवर्तते   ॥09-035-039॥
