Verse
 संजय उवाच। <br>वातिकानां सकाशात्तु श्रुत्वा दुर्योधनं हतम्। <br>हतशिष्टास्ततो राजन्कौरवाणां महारथाः   ॥09-064-001॥
विनिर्भिन्नाः शितैर्बाणैर्गदातोमरशक्तिभिः। <br>अश्वत्थामा कृपश्चैव कृतवर्मा च सात्वतः। <br>त्वरिता जवनैरश्वैरायोधनमुपागमन्   ॥09-064-002॥
तत्रापश्यन्महात्मानं धार्तराष्ट्रं निपातितम्। <br>प्रभग्नं वायुवेगेन महाशालं यथा वने   ॥09-064-003॥
भूमौ विवेष्टमानं तं रुधिरेण समुक्षितम्। <br>महागजमिवारण्ये व्याधेन विनिपातितम्   ॥09-064-004॥
विवर्तमानं बहुशो रुधिरौघपरिप्लुतम्। <br>यदृच्छया निपतितं चक्रमादित्यगोचरम्   ॥09-064-005॥
महावातसमुत्थेन संशुष्कमिव सागरम्। <br>पूर्णचन्द्रमिव व्योम्नि तुषारावृतमण्डलम्   ॥09-064-006॥
रेणुध्वस्तं दीर्घभुजं मातङ्गसमविक्रमम्। <br>वृतं भूतगणैर्घोरैः क्रव्यादैश्च समन्ततः। <br>यथा धनं लिप्समानैर्भृत्यैर्नृपतिसत्तमम्   ॥09-064-007॥
भ्रुकुटीकृतवक्त्रान्तं क्रोधादुद्वृत्तचक्षुषम्। <br>सामर्षं तं नरव्याघ्रं व्याघ्रं निपतितं यथा   ॥09-064-008॥
ते तु दृष्ट्वा महेष्वासा भूतले पतितं नृपम्। <br>मोहमभ्यागमन्सर्वे कृपप्रभृतयो रथाः   ॥09-064-009॥
अवतीर्य रथेभ्यस्तु प्राद्रवन्राजसंनिधौ। <br>दुर्योधनं च संप्रेक्ष्य सर्वे भूमावुपाविशन्   ॥09-064-010॥
ततो द्रौणिर्महाराज बाष्पपूर्णेक्षणः श्वसन्। <br>उवाच भरतश्रेष्ठं सर्वलोकेश्वरेश्वरम्   ॥09-064-011॥
न नूनं विद्यतेऽसह्यं मानुष्ये किंचिदेव हि। <br>यत्र त्वं पुरुषव्याघ्र शेषे पांसुषु रूषितः   ॥09-064-012॥
भूत्वा हि नृपतिः पूर्वं समाज्ञाप्य च मेदिनीम्। <br>कथमेकोऽद्य राजेन्द्र तिष्ठसे निर्जने वने   ॥09-064-013॥
दुःशासनं न पश्यामि नापि कर्णं महारथम्। <br>नापि तान्सुहृदः सर्वान्किमिदं भरतर्षभ   ॥09-064-014॥
दुःखं नूनं कृतान्तस्य गतिं ज्ञातुं कथंचन। <br>लोकानां च भवान्यत्र शेते पांसुषु रूषितः   ॥09-064-015॥
एष मूर्धावसिक्तानामग्रे गत्वा परंतपः। <br>सतृणं ग्रसते पांसुं पश्य कालस्य पर्ययम्   ॥09-064-016॥
क्व ते तदमलं छत्रं व्यजनं क्व च पार्थिव। <br>सा च ते महती सेना क्व गता पार्थिवोत्तम   ॥09-064-017॥
दुर्विज्ञेया गतिर्नूनं कार्याणां कारणान्तरे। <br>यद्वै लोकगुरुर्भूत्वा भवानेतां दशां गतः   ॥09-064-018॥
अध्रुवा सर्वमर्त्येषु ध्रुवं श्रीरुपलक्ष्यते। <br>भवतो व्यसनं दृष्ट्वा शक्रविस्पर्धिनो भृशम्   ॥09-064-019॥
तस्य तद्वचनं श्रुत्वा दुःखितस्य विशेषतः। <br>उवाच राजन्पुत्रस्ते प्राप्तकालमिदं वचः   ॥09-064-020॥
विमृज्य नेत्रे पाणिभ्यां शोकजं बाष्पमुत्सृजन्। <br>कृपादीन्स तदा वीरान्सर्वानेव नराधिपः   ॥09-064-021॥
ईदृशो मर्त्यधर्मोऽयं धात्रा निर्दिष्ट उच्यते। <br>विनाशः सर्वभूतानां कालपर्यायकारितः   ॥09-064-022॥
सोऽयं मां समनुप्राप्तः प्रत्यक्षं भवतां हि यः। <br>पृथिवीं पालयित्वाहमेतां निष्ठामुपागतः   ॥09-064-023॥
दिष्ट्या नाहं परावृत्तो युद्धे कस्यांचिदापदि। <br>दिष्ट्याहं निहतः पापैश्छलेनैव विशेषतः   ॥09-064-024॥
