**Sloka**,Verse
1-1-1,"Divine sage Narada arrives at the hermitage of Sage Valmiki in order to enlighten him and keep him informed of his duty to author the epic poem Ramayana. In the dialogue between these two sages, Valmiki elicits from Narada about most virtuous person on earth, namely Rama. In this opening chapter, while eulogizing Rama Narada gives an outline of Ramayana, truly highlighting those aspects that are the keynotes in this epic, like virtuosity, generosity, morality, chastity and the like."
1-1-2,"Valmiki Ramayana is said to have been composed basing on each of the twenty-four letters of Gayatri Hymn, and a thousand verses are arranged into one book under the caption of each letter. Though that classification, or dividing verses into thousand chapters is unavailable now, the twenty-four verses identified with the 24 letters of Gayatri hymn, called as Gayatri Ramayana, is available and it is given in the endnote of this page. In tune with the scheme of Gayatri, Ramayana starts the first verse with letter <em>ta</em> an auspicious letter."
1-1-3,"The ascetic Valmiki inquired Naarada - 'who engaged deeply in austerity and study of Vedas, best among the eloquent and eminent among sages' (as follows:). [1-1-1]"
1-1-4,"Who really is that person in this present world, who is virtuous and vigorous, a conscientious one, one who is mindful of good deeds done to him, and also a speaker of truth and who is determined in his deed... [1-1-2]"
1-1-5,"Who is appropriate in disposition... who is interested in welfare of all beings... who is adept and also an able one... also uniquely pleasant to look at... [1-1-3]"
1-1-6,"Who is that self-composed one, who controlled his ire, who is brilliant, non-jealous and whom do eventhe gods fear, when provoked to war... [1-1-4]"
1-1-7,"All this I wish to listen from you, oh! Great Sage, you are competent to know this kind of man, and indeed my inquisitiveness is immense... Thus Valmiki enquired with Narada. [1-1-5]"
1-1-8,"On listening all those words of Valmiki, Narada, the knower of all the three worlds, said let it be heard... and beckoning at Sage Valmiki to listen attentively, he spoke these words very gladly. [1-1-6]"
1-1-9,"Oh! Sage Valmiki, the merits which you have extolled are many, and unattainable. I, after having known from Brahma of such a man with all these merits, will speak on...Let it be heard. Thus Narada started to say. [1-1-7]"
1-1-10,"One emerged from Ikshvaku dynasty, known to people as Rama by name. He is with a controlled self, highly valorous, resplendent, steadfast and a controller of (vice and vile... or) his own senses. [1-1-8]"
1-1-11,"He is a wise one, moralist, eloquent, glorious, and a destroyer of enemies. His arms are lengthy, with three lines in the neck [indicative of good fortune], and cheekbones high... [1-1-9]"
1-1-12,"He is lion-chested, with concealed collarbones, knee-length are his arms, and his is a long bow, an enemy-subjugator, and his emperor&#39;s countenance is with a crowning-head and an ample forehead, and his gait is majestic like that of a lion... [1-1-10]"
1-1-13,"He is built proportionately physically, with limbs poised symmetrically, sinew-chested, wide-eyed, complexioned charmingly... he is a prosperous one with all the auspicious features ... [1-1-11]"
1-1-14,"He is the knower of rectitude, bidden by the truth, also his concern is in the welfare of subjects, proficient in prudence, clean in his conduct, self-controlled and an attentive one... [1-1-12]"
1-1-15,"He equals Lord Vishnu, the Lord of all creatures, Sustainer of the Universe, together with Sri Lakshmi (shriimaan = lakShmiivaan), Eliminator of enemies, Protector of the world of living creatures and complete Guardian of probity... [1-1-13]"
1-1-16,"He is the preserver of his own righteousness and also a champion for adherent&#39;s welfare in the same righteousness, and he is a scholar in the essence of Veda-s and their ancillaries, too. He is an expert in <font color=""#B3003A"">dhanurVeda</font>, the Art of Archery... [1-1-14]"
1-1-17,"He is the knower of the meaning and essence of all the scriptures, excellent at memory, a brilliant one, and dear to all the worlds, gentle, level-headed and clear-headed in discriminating and distinguishing... [1-1-15]"
1-1-18,"Like an ocean that is reached by rivers, that reverential one too is always accessible and reachable by clean-minded ones, and he treats all equally, and ever a feast to eye... [1-1-16]"
1-1-19,"He who betters the happiness of his mother Kausalya is an embodiment of all noble merits, and in profundity he is like an unfathomable ocean, and by fortitude he is unalterable like the kingly Himalayan mountain... [1-1-17]"
1-1-20,"In valour Rama is comparable to Vishnu, and in his looks he is attractive like the moon, he equals the earth in his forgiveness, but he is matchable to world ending fire in his wrath... and in benevolence he is identical to Kubera, God of Wealth, and in his candour he is like Dharma itself, the Truth personified, with none to rival him... [1-1-18, 19a]"
1-1-21,"Lord of the land King Dasaratha with an intent for doing good to the people, affectionately desired to endow with regent-hood to that Rama, the eldest and a dear son to Dasaratha and who possessed such merits with true valour, together with best of qualities, and concerned for welfare of the people....[1-1-29b, 20, 21a]"
1-1-22,"Then seeing the arrangements for the anointment of Rama as crown-prince, Kaikeyi, the dear wife and a queen of Dasaratha, solicited boons that were once accorded to her by Dasharatha, for the banishment of Rama and anointment of Bharata as boons. [1-1-21b, 22]"
1-1-23,"Bound by his true plighted word and by the noose of righteousness that king Dasharatha exiled his dear son Rama to forests. [1-1-23]"
1-1-24,"That warrior Rama went to forest for pleasing Kaikeyi, and as directed by his father, and to follow his father&#39;s word of honour. [1-1-24]"
1-1-25,"While that Rama was going on exile, Lakshmana, endowed with humbleness, and augmentor of his mother Sumitra's joy, and a loving and a dear brother to Rama, followed him out of affection, showing brotherly fraternity.[1-1-25, 26a]"
1-1-26,"Even Seetha, daughter-in-law of Dasaratha, and Rama's beloved wife equalling to Rama's life, ever well disposed, born in the family of Janaka and one as though fashioned by a Divine marvel, endowed with all good characteristics and the best among women, followed Rama to forest, like Rohini following the Moon... [1-1-26b, 27, 28a]"
1-1-27,"The citizens of Ayodhya and his father Dasaratha followed virtuous Rama for a distance when he started on his exile. Later Rama reached the tribal chief named Guha, who liked Rama, on the bank of River Ganga in a town called Sringaberapura. Together with Guha, Lakshmana and Seetha, he left off the charioteer. [1-1-28b, 29, 30a]"
1-1-28,"That trio of Seetha, Rama and Lakshmana after going from forest to forest and crossing many a river with much waters, by the ordainment of Bharadwaja, arrived at Chitrakuta, and building a handsome cottage there, they lived happily and delightfully in the woods there, like gods and gandharvas... [1-1-30b, 31, 32a]"
1-1-29,"On Rama going to Chitrakuta thus, King Dasharatha tormented by the grief for son, went to heavens weeping for son... [1-1-32b, 33a]"
