Sl#,सुभाषितानि,ಸುಭಾಷಿತಗಳು,"सुभाषितानि hindi",Subhashitani
1.,"<pre>अभिवादनशीलस्य नित्यं वृद्धॊपसॆविन:।<br>चत्वारि तस्य वर्धन्तॆ आयुर्विद्यायशॊबलम् ॥</pre>","<pre>ಅನುದಿನವೂ ಹಿರಿಯರಿಗೆ ವಂದಿಸುವವನಿಗೆ, ವೃದ್ಧರ ಸೇವೆ ಮಾಡುವವನಿಗೆ, ಆಯುಷ್ಯ, ವಿದ್ಯೆ, ಯಶಸ್ಸು ಮತ್ತು ಬಲ ವರ್ಧಿಸುತ್ತಾ ಹೋಗುತ್ತದೆ.</pre>","<pre>वृद्धों की सॆवा और अभिवादन करनॆवालॆ की चार - आयु, विद्या, कीर्ति और शक्ति बढ़ती ही रहती हैं।</pre>","One who always gives respect and do the service of elders gets long life, knowledge, fame and more strength to achieve many more things."
2.,"<pre>धर्म यो बाधते धर्मौ न स धर्मः कुधर्मकः।<br>अविरोधात्तु यो धर्मः स धर्मः सत्यविक्रम ॥</pre>","<pre>ಪರರ ಧರ್ಮವನ್ನು ಉಲ್ಲಂಘಿಸುವ ಧರ್ಮವು ನಿಜವಾದ ಧರ್ಮವಲ್ಲ. ಇದು ಕುಧರ್ಮ. (ಕೆಟ್ಟ ಧರ್ಮ) ಇತರರ ಹಿತಾಸಕ್ತಿಗೆ ವಿರುದ್ಧವಲ್ಲದ ಧರ್ಮ ನಿಜವಾದ ಧರ್ಮ. ಇಲ್ಲಿ ಧರ್ಮವೆಂದರೆ, ವ್ಯಕ್ತಿಯ ಕರ್ತವ್ಯಗಳು.</pre>","<pre>जो धर्म दूसरे के धर्म का उल्लंघन करता है, वह सच्चा धर्म नहीं है। यह कुधर्म है. (बुरा धर्म) जो धर्म दूसरों के हित के विरुद्ध नहीं है वही सच्चा धर्म है। यहां धर्म है, व्यक्ति के कर्तव्य।</pre>","Dharma which violates other's dharma, is not true dharma. It is kudharma. (bad dharma) dharma which is not against others interest is true dharma. Dharma here is duties of a person."
3.,"<pre>साक्षराः विपरीताश्वद्राक्षसाः एव केवलम्‌।<br>सरसो विपरीतश्वेत्सरसत्वम्‌ न मुज्चति॥ </pre>","<pre>(ಇಲ್ಲಿ ಪದಗಳನ್ನು ಹೇಗೆ ಬಳಸಲಾಗಿದೆ ಎಂಬುದರ ಬಗ್ಗೆ ಗಮನ ಕೊಡಿ) (ಪದ) ""ಸಾಕ್ಷರಾ"" (ಸಾಕ್ಷರ) ತಲೆಕೆಳಗಾದರೆ, ಅದು ""ರಾಕ್ಷಸ"" (ದೆವ್ವ) ಆಗುತ್ತದೆ. (ಆದರೆ) ""ಸರಸ"" (ಒಳ್ಳೆಯದು) ಎಂಬ ಪದವು ತಲೆಕೆಳಗಾದರೆ, ಅದು ""ಸರಸ"" ಆಗಿ ಉಳಿಯುತ್ತದೆ, ನಾವು ಪದದ ಆಟವನ್ನು ಆಡಿದರೆ ಈ ಅರ್ಥವು ಸ್ಪಷ್ಟವಾಗಿರುತ್ತದೆ.

ಆದರೆ ಇನ್ನೊಂದು ಹೆಚ್ಚು ಇಂಪಿ. ಅರ್ಥವು ಈ ಕೆಳಗಿನಂತಿರುತ್ತದೆ, ""ಸಾಕ್ಷರ"" (ಸಾಕ್ಷರ ಅಥವಾ ವಿದ್ಯಾವಂತ ವ್ಯಕ್ತಿ) ಕೆಲವು ಸಂದರ್ಭಗಳಲ್ಲಿ ""ರಾಕ್ಷಸ"" (ದುಷ್ಟ ವ್ಯಕ್ತಿ) ನಂತೆ ವರ್ತಿಸಬಹುದು. ಆದರೆ ""ಸರಸ"" (ಒಳ್ಳೆಯ ವ್ಯಕ್ತಿ, ಸುಸಂಸ್ಕೃತ ವ್ಯಕ್ತಿ, ಸಜ್ಜನ) ತನ್ನ ಈ ಆಸ್ತಿಯನ್ನು (ಒಳ್ಳೆಯ ವ್ಯಕ್ತಿ) ಯಾವುದೇ ಸ್ಥಿತಿಯಲ್ಲಿ ಬಿಡುವುದಿಲ್ಲ. ಸುಭಾಷಿತ್ಕರ್ ಅವರು ಸಾಕ್ಷರ ಜೊತೆಗೆ ಸಾರಸ ವ್ಯಕ್ತಿಯಾಗಬೇಕೆಂದು ಹೇಳುತ್ತಿದ್ದಾರೆ.</pre>","<pre>(ध्यान दें कि यहां शब्दों का उपयोग कैसे किया जाता है) यदि (शब्द) ""साक्षर"" (साहित्यिक) को उल्टा कर दिया जाए, तो यह ""राक्षस"" (शैतान) बन जाता है। (लेकिन) यदि (शब्द) ""सरस"" (अच्छा) को उल्टा कर दिया जाए, तो वह ""सरस"" ही रहता है। यदि हम शब्द का खेल खेलते हैं तो यह अर्थ स्पष्ट होता है।

लेकिन अन्य अधिक छोटा सा भूत. अर्थ इस प्रकार है, एक ""साक्षर"" (साक्षर या शिक्षित व्यक्ति) कुछ स्थितियों में ""राक्षस"" (एक दुष्ट व्यक्ति) की तरह व्यवहार कर सकता है। लेकिन एक ""सरसा"" (अच्छा इंसान, सुसंस्कृत व्यक्ति, सज्जन) किसी भी हालत में अपनी यह संपत्ति (अच्छा इंसान होने की) नहीं छोड़ेगा। सुभाषितकार हमें अक्षरशः होने के साथ-साथ सरस व्यक्ति बनने के लिए भी कह रहे हैं।</pre>","(pay attention as to how words are used here) If (the word) ""saksharaaa"" (literate) is inverted, it becomes ""raakshasa"" (devil). (but) if (the word) ""sarasa"" (good) is inverted, it remains ""sarasa"" This meaning is apparent if we play word game.

But the the other more imp. meaning is as follows, A ""sakshara"" (literate or educated person) can behave like a ""rakshasa"" (a wicked person) in certain situations. But a ""sarasa"" (good person, cultured person, gentleman) will not leave his this property (of being good person) in any condition. Subhashitkar is telling us to be a sarasa person along with being sAkShara.
"
4.,"<pre>अजरामरवत् प्राज्ञॊ विद्यामर्थं च चिन्तयॆत् ।<br>गृहीत इव कॆशॆषु मृत्युना धर्ममाचरॆत् ॥</pre>","<pre>ಬುದ್ಧಿವಂತನು ತಾನು ವೃದ್ಧಾಪ್ಯ ಹಾಗೂ ಮರಣಾತೀತನೆಂದು ಭಾವಿಸಿ ವಿದ್ಯೆಯನ್ನೂ ಸಂಪತ್ತನ್ನೂ ಗಳಿಸುತ್ತಿರಬೇಕು. ಜೊತೆ ಜೊತೆಗೆ ಮೃತ್ಯುವು ತನ್ನ ಹೆಡೆತಲೆಯನ್ನು ಹಿಡಿದು ಜಗ್ಗುತ್ತಿರುವನೇನೋ ಎಂಬಂತೆ ಧರ್ಮಾಚರಣೆಯನ್ನೂ ಮಾಡುತ್ತಿರಬೇಕು.</pre>","<pre>बुढ़ापा और मरण कॊ भूल कर विवॆकी लॊगॊं कॊ विद्या और धन का आर्जन  करना चाहीयॆ। मृत्यु नॆ शिखा पकड ली है  यह समझ कर धर्म का आर्जन करना चाहियॆ।</pre>","Wise people always earn knowledge and wealth thinking that they never get aged and meet the Death. At the same time they perform their duties so attentively that the ‘Death’ has caught hold of his hair to take away his life at any moment."
5.,"<pre>अज्ञॆभ्यॊ ग्रन्थिन: श्रेष्ठा: ग्रन्थिभ्यॊ धारिणॊ वरा:। <br />धारिभ्यॊ ज्ञानिन: श्रेष्ठा: ज्ञानिभ्यॊ व्यवसायिन: ॥</pre>","<pre>ದಡ್ಡರಿಗಿಂತ ಓದಿಕೊಂಡವರು ಮೇಲು. ಸುಮ್ಮನೆ ಓದಿಕೊಂಡವರಿಗಿಂತ ಓದಿದ್ದನ್ನು ಮನನ ಮಾಡಿ ಸ್ಮರಣೆಯಲ್ಲಿಟ್ಟುಕೊಂಡವರು ಮೇಲು. ಗಿಳಿಪಾಠ ಒಪ್ಪಿಸುವುದಕ್ಕಾಗಿ ಸ್ಮರಣೆಯಲ್ಲಿಟ್ಟುಕೊಂಡವರಿಗಿಂತ ಓದಿದ್ದನ್ನು ಧಾರಣೆ ಮಾಡಿದವರು ಮೇಲು. ಬರೀ ಧಾರಣೆ ಮಾಡಿ ಸುಮ್ಮನಿರುವವರಿಗಿಂತ ಆ ಜ್ಞಾನವನ್ನು ನಿತ್ಯ ಜೀವನದಲ್ಲಿ ತೊಡಗಿಸಿಕೊಳ್ಳುವವರು ಇನ್ನೂ ಮೇಲು.</pre>","<pre>अपठित लोगों से पठित लॊग श्रॆष्ठ हैं पठित सॆ भी मननकर रखनॆ वालॆ श्रॆष्ठ हैं।  कण्ठपाट रखनॆ वालॊं सॆ समझनेवालॆ श्रॆष्ठ हैं।  समझनॆवालॊं से भी उन विचारॊं कॊ काम मॆ लानॆवालॆ अच्छे हैं।</pre>","Literates are better than illiterate. Those who read and keep in memory are better than those who simply read. Those who have digested the memorized information are still better. Those who bring into practice the knowledge they have gained are the best."
6.,"<pre>अपि शास्त्रॆषु कुशला: लॊकाचारविवर्जिता:। <br />सर्वॆ तॆ हास्यतां यान्ति यथा मूर्खा: सुशॊभिता: ॥</pre>","<pre>ಶಾಸ್ತ್ರ ಪಾಂಡಿತ್ಯವನ್ನು ಹೊಂದಿದವರಾಗಿದ್ದು ಲೋಕ ವ್ಯವಹಾರವನ್ನು  ತಿಳಿದುಕೊಳ್ಳದಿರುವವರು ಒಳ್ಳೆಯ ವಸ್ತ್ರಾಭರಣಗಳನ್ನು ತೊಟ್ಟು ಪಂಡಿತರಂತೆ ನಟಿಸುವ ಮೂರ್ಖರು ಹಾಸ್ಯಾಸ್ಪದರಾಗುವಂತೆ ನಗೆಪಾಟಲಾಗುತ್ತಾರೆ.</pre>","<pre>जिस प्रकार अच्छी पॊशाक वहनॆ हुऎ भी मूर्ख लॊग हास्यास्पद हॊतॆ हैं, उसी प्रकार शास्त्रज्ञ पंडित यदि शिष्टाचार सॆ विमुख और लॊक व्यवहार सॆ सर्वता अवज्ञ हॊ, तॊ वॆ भी हास्यास्पद हॊतॆ हैं॥</pre>","Stupid though well dressed and behave like scholars somehow will be become the subject of ridicule and laughter by their foolish act. Similarly if the scholars being uncultured, do not behave gently and politely are also become the subject of laughter and ridicule."
7.,"<pre>अमन्त्रमक्षरं नास्ति नास्ति मूलमनौषधम्  ।<br>अयॊग्य: पुरुषॊ नास्ति यॊजकस्तत्र दुर्लभ: ॥</pre>","<pre>ಮಂತ್ರಕ್ಕೊದಗದ ಅಕ್ಷರ, ಔಷಧಕ್ಕೊದಗದ ಮೂಲಿಕೆ, ಉಪಯೋಗವಿಲ್ಲದ ಮನುಷ್ಯ ಎಂಬುದು ಇಲ್ಲ. ಇವೆಲ್ಲವುಗಳ ಯೋಗ್ಯತೆ ಪಾತ್ರತೆ, ಗುಣ, ಮೌಲ್ಯಗಳನ್ನು ತಿಳಿದು ಅದನ್ನು ಸಮಯೋಚಿತವಾಗಿ ಸಂಯೋಜಿಸಬಲ್ಲ ಯೋಜಕನೇ ವಿರಳ. </pre>","<pre>मंत्र मॆं न शामिल हॊनॆवाला अक्षर नहीं है। औषध मॆ यॊग न दॆनॆवाला मूल नही है। कॊई यॊग्यता न रहनॆवाला पुरुष भी नहीं है। जिस की यॊग्यता क्या है, यह जान कर उसॆ यॊग्य स्थान पर रखनॆवालॆ लॊग विरल है॥</pre>","There is no alphabet which is not worthy of using in a ‘Mantra’; there is no herb which not worthy of using in preparing Medicine. In the same way there is no person not worthy of doing anything. The real problem lies not in the things but availability of the coordinator who knows how to get the work by employing every person using their best available talent."
8.,"<pre>अधमा धनमिच्छन्ति धनं मानं च मध्यमा: ।<br>उत्तमा मानमिच्छन्ति मानॊ हि महतां धनम् ॥</pre>","<pre>ಹಣವನ್ನು ಮಾತ್ರ ಪ್ರೀತಿಸುವವರು ಅಧಮರು, ಹಣವನ್ನೂ, ಮಾನವನ್ನೂ ಪ್ರೀತಿಸುವವರು ಮಧ್ಯಮರು. ಕೇವಲ ಮಾನವನ್ನು ಮಾತ್ರ ಪ್ರೀತಿಸುವವರು ಉತ್ತಮರು. ಯಾಕೆಂದರೆ ಮಹಾತ್ಮರಿಗೆ ಮಾನವೇ ಎಲ್ಲಕ್ಕಿಂತಲೂ ಮಿಗಿಲಾದ ಸಂಪತ್ತು.</pre>","<pre>नीच लॊग संपत्ति चाहतॆ हैं। मध्यम लॊग धन और मान चाहतॆ हैं। उत्तम लॊग मान चाहतॆ हैं। कॆवल मान ही बड़ॊं का धन है।</pre>","The low cultured people always go after money; the medium cultured people, strive for both self respect/honour  and wealth; while highly cultured people always run after self respect because self respect is considered the best wealth  of all time."
9.,"<pre>अभ्यासानुगता विद्या बुद्धि: कार्यानुसारिणी ।<br>उद्यॊगानुगता संपत् फलं भाग्यानुसारिणी ॥</pre>","<pre>ವಿದ್ಯೆಯು ಅಭ್ಯಾಸವನ್ನೂ, ಬುದ್ಧಿಯು ಕರ್ಮವನ್ನೂ, ಸಂಪತ್ತು ಆರೋಗ್ಯವನ್ನೂ, ಫಲವು ಭಾಗ್ಯವನ್ನೂ ಅನುಸರಿಸಿ ಹೋಗುತ್ತದೆ.</pre>","<pre>विद्या तो अभ्यास का अनुगमन करती है। बुद्धि कार्य का अनुसरण करती है। संपत्ति उद्यॊग कॊ अनुसरती है। फल तॊ भाग्य कॆ अनुसार मिलता है।</pre>","Knowledge depends on practice; intellect follows once   karma; money follows the profession and fruits of all deeds depend on one’s fate."
10.,"<pre>अभ्यासाद्धार्यतॆ विद्या कुलं शीलॆन धार्यतॆ ।<br>गुणॆन धार्यतॆ त्वार्य: कीर्त्या सर्वं हि धार्यतॆ ॥</pre>","<pre>ಅಭ್ಯಾಸದಿಂದ ವಿದ್ಯೆಯೂ, ಶೀಲದಿಂದ ವಂಶದ ಗೌರವವೂ, ಗುಣದಿಂದ ಶ್ರೇಷ್ಠತೆಯೂ, ಕೀರ್ತಿಯಿಂದ ಇವೆಲ್ಲವೂ ಸ್ಥಿರತೆಯನ್ನು ಪಡೆಯುತ್ತದೆ.</pre>","<pre>अभ्यास सॆ विद्या स्थिर हॊती है। शील सॆ वंश का गौरव दृढ हॊता है। गुण सॆ श्रॆष्ठ अविचलत रहता है। कीर्ति सॆ सब स्थिर हॊतॆ हैं।</pre>","Knowledge will be permanent, if it is applied regularly. The family reputation will be increased by observation of high conduct by all the family members; by the practice of excellent attributes, the person will gain more respect and everything will be gained by becoming famous."
